,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
0,michael_schumacher,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,alonso,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,massa,3,3,3,3,3,3,3,6,20,19,19,19,19,19,19,18,18,18,17,17,16,16,15,15,15,13,12,12,12,11,11,11,12,11,11,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,8,8,8,8
3,montoya,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,3,3,3,2,1,1,1,1,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5
4,barrichello,5,5,5,6,6,6,6,5,5,5,5,5,5,5,5,5,12,11,11,11,11,11,13,14,14,14,13,13,13,12,12,12,11,12,13,13,13,14,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0
5,button,6,6,6,5,5,5,5,4,4,4,3,3,3,3,3,2,2,2,8,8,8,8,7,5,5,5,5,5,4,4,3,3,3,3,3,3,2,2,2,1,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4
6,fisichella,7,7,7,8,8,8,8,8,7,8,8,8,8,8,8,10,15,13,13,13,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,webber,8,9,9,9,9,9,9,9,8,7,7,7,7,7,7,7,6,6,5,5,5,4,5,7,7,7,7,7,7,6,5,5,5,5,5,5,5,5,5,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
8,klien,9,8,8,7,7,7,7,7,6,6,6,6,6,6,6,6,5,5,4,4,4,6,9,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
9,coulthard,10,10,11,12,13,13,13,13,12,12,12,12,12,13,13,13,11,10,10,10,10,10,8,6,6,6,6,6,6,7,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9
10,villeneuve,11,11,10,10,10,10,10,10,9,9,9,9,9,9,9,9,8,8,7,7,7,7,6,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,liuzzi,12,12,13,13,12,12,12,12,11,11,11,11,11,11,11,11,9,9,9,9,9,9,10,10,10,10,10,10,10,9,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10
12,raikkonen,13,13,12,11,11,11,11,11,10,10,10,10,10,10,10,8,7,7,6,6,6,5,4,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3
13,speed,14,15,15,15,15,16,16,16,15,15,16,15,15,15,15,15,14,14,14,14,13,12,12,12,12,16,15,15,14,13,13,13,13,13,12,12,12,12,12,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,0
14,trulli,15,14,14,14,14,14,14,15,14,14,14,14,14,14,14,14,13,12,12,12,12,14,16,16,16,15,14,14,15,14,14,15,15,15,15,15,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0
15,ralf_schumacher,16,16,16,16,17,17,17,17,16,16,15,16,17,17,17,17,17,17,16,16,15,15,14,13,13,12,16,16,16,15,15,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0
16,sato,17,18,18,18,19,19,19,19,18,18,18,18,18,18,18,19,19,19,19,19,19,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,0,0,0,0
17,ide,18,20,20,20,20,20,20,20,19,20,20,20,20,20,20,20,20,20,20,20,20,19,19,19,19,19,19,19,19,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,heidfeld,19,17,17,17,16,15,15,14,13,13,13,13,13,12,12,12,10,15,15,15,14,13,11,11,11,11,11,11,11,10,10,10,10,10,10,11,11,11,11,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,0
19,monteiro,20,19,19,19,18,18,18,18,17,17,17,17,16,16,16,16,16,16,18,18,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0,0
