,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
0,hamilton,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,bottas,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,vettel,3,3,3,3,3,3,3,2,2,2,2,2,2,2,3,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,raikkonen,4,4,4,4,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,leclerc,5,5,5,5,5,4,4,14,13,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,10,9,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
5,ricciardo,6,6,6,6,6,5,5,3,3,3,3,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6,grosjean,7,7,7,7,7,6,7,17,17,17,16,16,16,16,16,16,16,16,15,15,15,15,15,15,14,14,14,13,13,13,13,12,12,12,12,12,12,12,12,11,11,10,10,10,9,9,9,9,9,9,9,9,9,9,0
7,ocon,8,8,8,8,8,8,8,6,6,6,6,6,6,6,6,7,7,8,17,17,17,17,16,16,15,15,15,14,14,12,11,11,11,11,11,11,11,10,10,10,10,9,9,9,0,0,0,0,0,0,0,0,0,0,0
8,max_verstappen,9,9,9,9,9,7,6,4,4,4,4,4,4,4,4,3,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
9,perez,10,10,10,10,10,9,9,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,7,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
10,sainz,11,11,11,11,11,10,11,9,9,9,9,9,9,8,8,8,8,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
11,ericsson,12,12,12,12,12,12,10,8,8,8,8,8,8,9,9,9,9,9,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,gasly,13,13,13,13,13,13,12,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,8,8,7,7,7,15,14,14,14,14,13,13,13,13,13,13,12,11,11,11,10,10,0,0,0,0,0,0,0,0,0
13,alonso,14,14,14,14,14,14,13,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,9,10,10,16,16,16,16,15,15,15,14,14,14,14,14,14,13,13,13,13,12,12,11,11,11,11,11,11,11,11,0
14,stroll,15,15,15,15,16,16,15,13,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,12,12,12,11,11,10,10,10,10,10,10,10,10,11,11,12,14,14,14,14,13,13,12,12,12,12,12,12,12,12,0
15,kevin_magnussen,16,16,16,16,15,15,14,12,12,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,11,11,11,10,10,9,9,9,9,9,9,9,9,9,9,9,9,12,12,12,11,11,10,10,10,10,10,10,10,10,0
16,vandoorne,17,17,17,17,17,17,16,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,13,13,13,12,12,11,12,13,13,13,15,15,15,15,15,15,15,15,15,15,14,14,13,13,13,13,13,13,13,13,0
17,sirotkin,18,18,18,18,18,18,17,16,16,16,17,17,17,17,17,17,17,17,16,16,16,16,17,17,16,16,16,15,15,14,15,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,14,14,14,14,14,14,14,14,0
