,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
8,1013,822,bottas,131,1,1,Finished,110893,218485,326089,433787,541337,649228,757320,865924,974895,1084144,1193613,1308470,1433088,1541178,1648599,1755037,1861124,1967818,2074233,2179980,2285807,2391746,2497637,2603781,2710070,2816551,2922500,3028263,3134355,3240487,3346186,3454041.0,3560580.0,3666467.0,3772713.0,3878518.0,3983783.0,4089402.0,4194664.0,4338077.0,4463195.0,4569188.0,4675034.0,4779522.0,4884394.0,4989807.0,5094683.0,5199566.0,5304161.0,5408185.0,5512942.0
0,1013,1,hamilton,131,2,1,Finished,112789,220576,328398,436402,544122,652415,760941,869587,978201,1086973,1196793,1307170,1421721,1546004,1652592,1758838,1865008,1970875,2076558,2182128,2287750,2394506,2501822,2607840,2713568,2819000,2924659,3030267,3135692,3241503,3347297,3455238.0,3562801.0,3668761.0,3774536.0,3880058.0,3985682.0,4091077.0,4196825.0,4340556.0,4466754.0,4572044.0,4677076.0,4781660.0,4886283.0,4991169.0,5096183.0,5200349.0,5304985.0,5409677.0,5514466.0
3,1013,20,vettel,6,3,1,Finished,113543,223247,332279,440635,549856,659013,767289,876229,985238,1094728,1209532,1333256,1440187,1547039,1654131,1761139,1867731,1974264,2080201,2186272,2292067,2397990,2504170,2609977,2716280,2822269,2927909,3033644,3139314,3244951,3350703,3457461.0,3564940.0,3671026.0,3776720.0,3882219.0,3987651.0,4093431.0,4199960.0,4344794.0,4469450.0,4574394.0,4679992.0,4784826.0,4890385.0,4995014.0,5100262.0,5205352.0,5310590.0,5416516.0,5524681.0
6,1013,815,perez,211,6,1,Finished,114440,224597,334286,443709,553487,666055,777635,889471,1000488,1116897,1242901,1354568,1462294,1570143,1678215,1786635,1894476,2002047,2109531,2216986,2324342,2432046,2539826,2647621,2755119,2863635,2971056,3078854,3186557,3294061,3401783,3509467.0,3616756.0,3724405.0,3831332.0,3938418.0,4045269.0,4151758.0,4282550.0,4422968.0,4529815.0,4635855.0,4741610.0,4847341.0,4953401.0,5059062.0,5164640.0,5270319.0,5375843.0,5482466.0,5589358.0
11,1013,830,max_verstappen,9,4,1,Finished,115904,225142,334694,444032,553595,663163,771336,880305,989421,1099541,1208784,1317519,1426762,1540465,1664696,1771016,1877957,1984444,2090363,2195932,2301461,2407121,2512508,2618133,2723958,2829706,2935265,3041078,3146988,3252564,3357615,3464228.0,3569274.0,3675458.0,3781082.0,3886191.0,3991360.0,4096788.0,4201582.0,4347170.0,4471725.0,4577836.0,4683542.0,4789036.0,4894828.0,4999765.0,5105812.0,5211289.0,5317065.0,5423514.0,5530435.0
17,1013,846,norris,1,8,1,Finished,115962,226733,336905,446523,556117,667520,778470,890740,1009210,1134970,1243506,1354960,1463712,1572428,1680811,1788867,1896604,2004468,2112226,2219959,2327722,2435351,2542929,2650367,2757919,2865565,2972792,3080276,3188092,3295399,3402929,3509862.0,3617917.0,3725231.0,3832558.0,3938833.0,4045808.0,4152445.0,4286362.0,4437371.0,4543501.0,4649147.0,4754541.0,4861055.0,4967735.0,5075683.0,5182984.0,5290273.0,5397598.0,5505409.0,5613210.0
10,1013,826,kvyat,5,19,4,Collision,117033,227870,338292,452255,574407,703542,812941,922111,1030986,1139683,1249043,1357957,1467407,1576096,1685199,1793386,1901847,2010167,2119046,2228601,2337086,2445370,2553244,2664242,2772171,2879972,2988118,3095799,3203797,3311810,3452716,3569051.0,3691535.0,,,,,,,,,,,,,,,,,,
12,1013,832,sainz,1,7,1,Finished,117065,228426,338254,448103,558500,668496,778733,890576,1001749,1113329,1224934,1342092,1465925,1574079,1682044,1791424,1899045,2006452,2113635,2221098,2329295,2437291,2544743,2652495,2760233,2867983,2975368,3082846,3190327,3297642,3404872,3512216.0,3619385.0,3726657.0,3833897.0,3940722.0,4047507.0,4153970.0,4285702.0,4425258.0,4532670.0,4638795.0,4744602.0,4850792.0,4956792.0,5062692.0,5169263.0,5275657.0,5382559.0,5489522.0,5596768.0
7,1013,817,ricciardo,4,20,4,Collision,118555,229328,340661,452471,563553,674842,786054,898145,1011665,1131843,1259609,1369374,1478098,1586771,1695055,1803235,1910774,2018943,2126984,2234976,2342935,2451311,2559407,2667887,2775422,2882859,2990124,3097401,3204168,3311959,3479205,,,,,,,,,,,,,,,,,,,,
16,1013,844,leclerc,6,5,1,Finished,119143,229430,338908,448161,556013,665909,773718,881497,989254,1097457,1205143,1312469,1419987,1527735,1635139,1742621,1850057,1957167,2064329,2171375,2278410,2385724,2493067,2600129,2706936,2813405,2919679,3026298,3132803,3239336,3346116,3454993.0,3564426.0,3677418.0,3800816.0,3906729.0,4012304.0,4119740.0,4238398.0,4385689.0,4501017.0,4606806.0,4712271.0,4816821.0,4923416.0,5029451.0,5140464.0,5263754.0,5372537.0,5475546.0,5582049.0
