,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
0,bottas,1,1,1,1,1,1,1,1,1,1,1,2,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,hamilton,2,2,2,2,2,2,2,2,2,2,2,1,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,vettel,3,3,3,3,3,3,3,3,3,3,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,perez,4,4,4,4,4,6,6,6,6,7,10,9,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6
4,max_verstappen,5,5,5,5,5,4,4,4,5,5,4,4,3,2,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5,norris,6,6,6,6,7,7,7,8,8,14,11,10,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6,kvyat,7,7,8,10,19,19,18,16,15,15,13,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,sainz,8,8,7,7,8,8,8,7,7,6,6,7,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,7,7,7,7,7,7,7,7,7,7,7,7
8,ricciardo,9,9,11,11,10,10,10,10,10,12,16,16,15,15,14,14,14,14,13,13,12,12,12,11,11,11,11,11,11,11,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,leclerc,10,10,9,8,6,5,5,5,4,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
10,stroll,11,11,10,9,9,9,9,9,9,11,17,17,16,16,16,15,15,15,15,14,14,14,14,13,12,12,12,12,12,12,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9
11,albon,12,12,12,12,11,11,11,11,11,9,9,13,19,19,19,19,19,18,18,18,18,18,18,18,17,17,16,16,16,16,14,14,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,0
12,kevin_magnussen,13,13,13,13,12,12,15,17,16,16,14,14,12,12,12,12,12,12,12,12,13,13,13,12,13,13,14,14,14,14,12,13,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,0
13,hulkenberg,14,14,14,14,13,14,13,15,18,18,18,18,17,17,17,16,16,16,16,16,16,16,16,15,16,16,17,17,17,17,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,0
14,giovinazzi,15,15,15,15,14,16,17,19,19,19,19,19,18,18,18,18,17,17,17,17,17,17,17,16,15,15,15,15,15,15,13,12,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,0
15,grosjean,16,16,16,16,16,15,14,13,13,10,8,8,7,8,9,10,10,11,11,11,11,11,11,17,18,18,18,18,18,18,16,16,16,16,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0
16,raikkonen,17,17,17,17,17,18,19,18,17,17,15,15,14,13,13,13,13,13,14,15,15,15,15,14,14,14,13,13,13,13,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,0
17,russell,18,18,19,19,18,17,16,14,14,13,12,12,13,14,15,17,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,18,18,17,17,17,17,17,15,15,15,15,15,15,15,15,15,15,15,0,0
18,gasly,19,19,18,18,15,13,12,12,12,8,7,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
