,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
14,234,77,berger,22,13,5,Engine,112853,220596,328486,436693,545047,653126,761286,869409,977533,1085668,1193555,1301818,1410211,1518121.0,1626357.0,1734513.0,1842883.0,1951516.0,2059768.0,2167911.0,2275908.0,2383590.0,2496089.0,2625504.0,2733634.0,2841673.0,2949578.0,3057958.0,3166446.0,3274705.0,3382925.0,3491520.0,3600003.0,3708529.0,3816760.0,3925346.0,4033380.0,4141805.0,4250409.0,4359027.0,4467646.0,4576813.0,,,
6,234,55,alesi,22,2,1,Finished,114037,221935,329578,437625,545981,654449,762673,871037,979508,1087593,1195503,1303388,1411433,1519646.0,1627983.0,1736400.0,1844752.0,1952938.0,2060883.0,2169430.0,2277421.0,2388938.0,2518365.0,2627373.0,2736702.0,2845690.0,2954059.0,3062215.0,3170680.0,3278978.0,3387357.0,3495738.0,3604149.0,3712926.0,3822006.0,3930955.0,4039347.0,4148019.0,4256693.0,4365036.0,4473726.0,4582286.0,4693149.0,4803258.0,4914869.0
12,234,71,damon_hill,3,1,1,Finished,115214,223107,330923,438477,546872,655150,763534,871885,980120,1088336,1196423,1304297,1412366,1520345.0,1628699.0,1737246.0,1845739.0,1953885.0,2062045.0,2174108.0,2299720.0,2406812.0,2513859.0,2622295.0,2728879.0,2835383.0,2942209.0,3048901.0,3155626.0,3262967.0,3370011.0,3476886.0,3584038.0,3694461.0,3818975.0,3926624.0,4033872.0,4142193.0,4250748.0,4359660.0,4468035.0,4577473.0,4685418.0,4792918.0,4903417.0
2,234,30,michael_schumacher,6,4,1,Finished,115884,225419,334037,442848,551714,660402,769479,878570,988379,1097044,1205656,1314360,1423139,1532544.0,1641876.0,1751106.0,1860329.0,1969627.0,2078706.0,2187648.0,2296786.0,2409577.0,2542306.0,2651278.0,2760037.0,2869011.0,2977982.0,3087175.0,3196414.0,3306891.0,3416060.0,3525054.0,3633974.0,3743006.0,3852304.0,3961247.0,4070235.0,4179480.0,4288451.0,4397422.0,4507078.0,4616117.0,4725370.0,4834841.0,4944934.0
0,234,14,coulthard,1,5,1,Finished,116820,226121,334891,443745,552337,661038,770089,879226,988966,1097742,1206359,1315090,1423896,1533239.0,1642491.0,1755511.0,1880745.0,1990581.0,2101860.0,2211428.0,2320121.0,2428349.0,2536256.0,2644371.0,2752421.0,2860426.0,2968539.0,3078596.0,3186945.0,3294974.0,3402830.0,3515583.0,3640078.0,3748058.0,3856163.0,3964564.0,4072721.0,4180927.0,4289254.0,4398022.0,4507649.0,4616721.0,4725864.0,4835352.0,4945613.0
3,234,35,villeneuve,3,3,1,Finished,117479,227257,336352,445165,553710,662521,771214,880052,989269,1098539,1207341,1315967,1424956,1533960.0,1643037.0,1752406.0,1860985.0,1970081.0,2079350.0,2188245.0,2297713.0,2410427.0,2540931.0,2649053.0,2756956.0,2865635.0,2974283.0,3083463.0,3193511.0,3305830.0,3414600.0,3523294.0,3632006.0,3740337.0,3848788.0,3957538.0,4066493.0,4175310.0,4284016.0,4392395.0,4500776.0,4609226.0,4718602.0,4828164.0,4937343.0
7,234,56,irvine,6,14,5,Engine,117939,227967,336898,445804,555177,664036,772738,881074,989862,1099769,1208297,1316861,1425548,1538336.0,1666786.0,1775736.0,1884489.0,1993517.0,2103668.0,2213611.0,2324368.0,2434623.0,2543699.0,2652292.0,2760908.0,2869884.0,2978809.0,3087944.0,3197259.0,3311366.0,3437491.0,3546034.0,3654574.0,3763150.0,,,,,,,,,,,
8,234,57,hakkinen,1,18,6,Gearbox,118304,228286,337325,446167,555532,664508,773372,881862,990551,1100223,1208880,1317691,1429896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,234,22,barrichello,17,6,1,Finished,119868,230266,340581,450783,560792,670391,780063,889901,999712,1109668,1219416,1329319,1439082,1548885.0,1658890.0,1768978.0,1879297.0,1990287.0,2100878.0,2211309.0,2326054.0,2456812.0,2566751.0,2676624.0,2786566.0,2896125.0,3009091.0,3120685.0,3230851.0,3340797.0,3450564.0,3560511.0,3670410.0,3782237.0,3892679.0,4002680.0,4112775.0,4222728.0,4335011.0,4446101.0,4557151.0,4668540.0,4781067.0,4893494.0,5005516.0
17,234,84,brundle,17,10,11,+1 Lap,120404,231128,341259,451543,561690,671397,781284,891079,1000989,1110998,1220835,1330552,1440388,1550489.0,1660491.0,1770436.0,1880503.0,1991721.0,2103168.0,2213240.0,2323966.0,2537674.0,2674551.0,2783727.0,2893774.0,3003258.0,3113060.0,3222682.0,3332443.0,3442595.0,3553418.0,3663502.0,3772972.0,3882649.0,3992326.0,4102147.0,4212965.0,4323970.0,4434214.0,4544062.0,4653684.0,4763710.0,4873803.0,4984252.0,
5,234,49,frentzen,15,8,11,+1 Lap,120954,232031,341830,452301,562592,672379,782445,892607,1002394,1112634,1223204,1333332,1443785,1554069.0,1664358.0,1778505.0,1905865.0,2016012.0,2126237.0,2236187.0,2346886.0,2458187.0,2568673.0,2679141.0,2789808.0,2900007.0,3010387.0,3121524.0,3232171.0,3342604.0,3456320.0,3582809.0,3692992.0,3802765.0,3913243.0,4023804.0,4133963.0,4244186.0,4354369.0,4466365.0,4578840.0,4689684.0,4800390.0,4910766.0,
4,234,44,panis,27,7,1,Finished,121465,232494,342272,457602,584257,692545,801214,910308,1020776,1130186,1239177,1350003,1461276,1572753.0,1683034.0,1792465.0,1901628.0,2010733.0,2119610.0,2228525.0,2338549.0,2448812.0,2562967.0,2694762.0,2804542.0,2913893.0,3023774.0,3133697.0,3243409.0,3352778.0,3462703.0,3572487.0,3682351.0,3793209.0,3903698.0,4013643.0,4123824.0,4234232.0,4344892.0,4455551.0,4565788.0,4675953.0,4785977.0,4896013.0,5007329.0
10,234,64,diniz,27,16,5,Engine,121946,233629,344406,454692,564491,674116,784376,894137,1004295,1114350,1224090,1334168,1444701,1555078.0,1665806.0,1777380.0,1888035.0,1998054.0,2108010.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11,234,65,herbert,15,15,76,Vibrations,122800,235025,346695,458439,569819,681135,792365,903547,1015026,1126260,1237619,1349016,1460913,1572474.0,1684764.0,1822111.0,2080794.0,2191098.0,2302986.0,2413375.0,2524243.0,2634812.0,2745552.0,2856476.0,2998288.0,,,,,,,,,,,,,,,,,,,,
9,234,63,salo,25,9,11,+1 Lap,123262,235625,347299,459070,570573,681893,793225,904586,1015910,1127093,1238360,1349628,1461801,1573467.0,1685224.0,1796433.0,1907676.0,2018529.0,2129548.0,2240539.0,2351578.0,2462748.0,2577108.0,2707075.0,2817628.0,2928623.0,3039652.0,3150948.0,3262293.0,3374046.0,3485323.0,3596828.0,3709346.0,3822971.0,3935275.0,4046782.0,4158385.0,4270106.0,4381727.0,4493565.0,4605440.0,4717351.0,4830591.0,4942768.0,
