,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
0,berger,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0
1,alesi,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2
2,damon_hill,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1
3,michael_schumacher,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,4,4,4
4,coulthard,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,8,7,7,7,6,6,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,5,5,5
5,villeneuve,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3
6,irvine,7,7,7,7,7,7,7,7,7,7,7,7,7,7,11,9,9,9,9,9,8,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0
7,hakkinen,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,barrichello,9,9,9,9,9,9,9,9,9,9,9,9,9,8,7,7,6,6,6,6,9,9,9,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,6,6,6
9,brundle,10,10,10,10,10,10,10,10,10,10,10,10,10,9,8,8,7,8,8,8,7,14,14,14,14,14,14,14,14,14,13,13,13,13,12,12,12,11,11,11,11,11,10,10,0
10,frentzen,11,11,11,11,11,11,11,11,11,11,11,11,11,10,9,11,12,12,12,11,11,10,10,9,9,9,9,9,9,9,9,10,10,10,9,9,9,9,9,9,9,9,8,8,0
11,panis,12,12,12,13,17,17,17,17,16,15,15,15,14,13,12,12,11,11,11,10,10,8,8,10,10,10,10,10,10,10,10,9,9,9,8,8,8,8,8,8,8,8,7,7,7
12,diniz,13,13,13,12,12,12,12,12,12,12,12,12,12,11,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,herbert,14,14,14,14,13,13,13,13,13,13,13,13,13,12,13,15,16,16,16,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,salo,15,15,15,15,14,14,14,14,14,14,14,14,15,14,14,13,13,13,13,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,9,9,0
15,lamy,16,16,16,16,15,15,15,15,15,16,16,16,17,16,16,16,15,15,15,14,14,13,12,12,12,12,12,12,12,13,14,14,14,14,13,13,13,13,13,13,13,13,12,0,0
16,rosset,17,17,17,17,16,16,16,16,17,17,17,17,16,15,15,14,14,14,14,13,13,12,13,13,13,13,13,13,13,12,12,12,12,12,11,11,11,12,12,12,12,12,11,11,0
