,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
17,212.0,71.0,damon_hill,21.0,5.0,Engine,96576.0,181675.0,266448.0,351171.0,436568.0,521839.0,608269.0,694977.0,781458.0,868661.0,952832.0,1036593.0,1120486.0,1204546.0,1288708.0,1372746.0,1464130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,212.0,56.0,irvine,12.0,11.0,+1 Lap,96954.0,182553.0,267185.0,351811.0,436984.0,522489.0,608861.0,695783.0,781778.0,869019.0,957504.0,1042106.0,1126077.0,1209954.0,1295099.0,1379674.0,1463766.0,1547948.0,1633121.0,1737994.0,1823634.0,1907495.0,1991449.0,2075913.0,2160544.0,2248363.0,2335913.0,2427315.0,2529222.0,2612061.0,2697703.0,2781678.0,2866864.0,2953208.0,3039513.0,3124749.0,3210869.0,3297289.0,3383617.0,3471013.0,3557526.0,3643654.0,3729110.0,3814243.0,3899089.0,3983914.0,4068641.0,4153164.0,4240007.0,4343057.0,4428646.0,4514297.0,4599892.0,4685455.0,4771183.0,4860309.0,4945605.0,5030987.0,5119458.0,5228824.0,5314090.0,5399304.0,5485313.0,
8,212.0,44.0,panis,2.0,1.0,Finished,97351.0,183034.0,267776.0,352218.0,437395.0,522920.0,609237.0,696118.0,782295.0,869360.0,957624.0,1042995.0,1126885.0,1210914.0,1295592.0,1380293.0,1464440.0,1548465.0,1632144.0,1714918.0,1797598.0,1880193.0,1962665.0,2045361.0,2130433.0,2233571.0,2316248.0,2400400.0,2482822.0,2565450.0,2648719.0,2735674.0,2818881.0,2902032.0,2985441.0,3068556.0,3152921.0,3238348.0,3322611.0,3405838.0,3488263.0,3570880.0,3653373.0,3738875.0,3840755.0,3923378.0,4007589.0,4091509.0,4175395.0,4259787.0,4344546.0,4429266.0,4514666.0,4600194.0,4685672.0,4771429.0,4856707.0,4941300.0,5024926.0,5108190.0,5191158.0,5274089.0,5357161.0,5441700.0
18,212.0,75.0,nakano,20.0,6.0,Gearbox,97784.0,183625.0,268729.0,353052.0,438054.0,523443.0,609867.0,696672.0,782670.0,869956.0,957925.0,1046841.0,1133120.0,1217998.0,1302520.0,1387899.0,1472693.0,1556747.0,1640423.0,1724333.0,1807849.0,1893969.0,2002629.0,2086391.0,2170225.0,2263063.0,2348311.0,2433135.0,2518275.0,2603085.0,2688072.0,2773059.0,2864152.0,2963758.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,212.0,50.0,verstappen,11.0,11.0,+1 Lap,98464.0,184732.0,270428.0,355848.0,442074.0,527163.0,612642.0,698637.0,784812.0,871126.0,958983.0,1047549.0,1134988.0,1221156.0,1306919.0,1393252.0,1479066.0,1564689.0,1650905.0,1736459.0,1823878.0,1928378.0,2013303.0,2098589.0,2183351.0,2268253.0,2353608.0,2438804.0,2524093.0,2611344.0,2697346.0,2784038.0,2869688.0,2956311.0,3041582.0,3126957.0,3212371.0,3298331.0,3385009.0,3471318.0,3558992.0,3662666.0,3747183.0,3831834.0,3916589.0,4001782.0,4086908.0,4171874.0,4257003.0,4342444.0,4428254.0,4513901.0,4599299.0,4685090.0,4770724.0,4856519.0,4943987.0,5029835.0,5116947.0,5203461.0,5290057.0,5376679.0,5463478.0,
4,212.0,22.0,barrichello,18.0,5.0,Engine,98813.0,185648.0,271458.0,358238.0,443258.0,528260.0,613983.0,699679.0,785472.0,871764.0,959337.0,1047832.0,1135424.0,1221630.0,1307823.0,1393667.0,1480100.0,1565233.0,1651303.0,1737003.0,1824766.0,1932167.0,2015731.0,2099888.0,2184528.0,2269320.0,2354262.0,2439571.0,2524814.0,2609472.0,2693838.0,2778821.0,2864443.0,2949820.0,3034551.0,3119124.0,3203962.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,212.0,81.0,morbidelli,14.0,12.0,+2 Laps,99619.0,186398.0,272409.0,358877.0,443971.0,528965.0,614507.0,700222.0,786137.0,877146.0,987321.0,1072582.0,1157849.0,1243456.0,1329072.0,1414495.0,1500289.0,1586245.0,1672349.0,1758519.0,1844244.0,1933664.0,2040328.0,2124975.0,2210201.0,2295258.0,2380307.0,2465730.0,2551062.0,2636508.0,2721608.0,2807190.0,2893065.0,2980156.0,3067330.0,3154871.0,3241267.0,3328413.0,3414383.0,3500652.0,3590549.0,3733570.0,3820095.0,3908206.0,3993480.0,4079438.0,4166183.0,4251930.0,4338182.0,4424278.0,4510139.0,4596201.0,4682000.0,4767338.0,4852542.0,4937858.0,5022865.0,5107866.0,5193556.0,5278525.0,5364963.0,5450087.0,,
15,212.0,64.0,diniz,16.0,5.0,Engine,99988.0,187984.0,274095.0,359834.0,445529.0,530779.0,616114.0,702638.0,788109.0,874177.0,959990.0,1048165.0,1144148.0,1229604.0,1314656.0,1400417.0,1485955.0,1571134.0,1656106.0,1740425.0,1824941.0,1911028.0,2018160.0,2101876.0,2185773.0,2270357.0,2355436.0,2440457.0,2525403.0,2611711.0,2698207.0,2784362.0,2869981.0,2956651.0,3042153.0,3127250.0,3213009.0,3299922.0,3385433.0,3471534.0,3558265.0,3645467.0,3753340.0,3837702.0,3922706.0,4007170.0,4093463.0,4178516.0,4265066.0,4351888.0,4437975.0,4522914.0,4608173.0,,,,,,,,,,,
21,212.0,79.0,katayama,22.0,6.0,Gearbox,100416.0,188504.0,275658.0,361931.0,448760.0,535408.0,622316.0,708711.0,795634.0,882245.0,983606.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,212.0,23.0,ralf_schumacher,17.0,5.0,Engine,100681.0,186608.0,271786.0,356250.0,440433.0,524470.0,610389.0,697043.0,783087.0,870273.0,958392.0,1048868.0,1152556.0,1235340.0,1318864.0,1402661.0,1486912.0,1571791.0,1657365.0,1743662.0,1830131.0,1917798.0,2006623.0,2093469.0,2182865.0,2288725.0,2373926.0,2458217.0,2542673.0,2627763.0,2712955.0,2797803.0,2882699.0,2967804.0,3053162.0,3137986.0,3222791.0,3307967.0,3392613.0,3476974.0,3561893.0,3646644.0,3731643.0,3816042.0,3900298.0,3986919.0,4090986.0,4174881.0,4258946.0,4343767.0,,,,,,,,,,,,,,
2,212.0,15.0,trulli,15.0,12.0,+2 Laps,102089.0,191281.0,278570.0,365323.0,451635.0,537792.0,624304.0,710839.0,797589.0,884850.0,971571.0,1057947.0,1145264.0,1232590.0,1320843.0,1407874.0,1494436.0,1580934.0,1667383.0,1753790.0,1843115.0,1952286.0,2038292.0,2124589.0,2211954.0,2298843.0,2385121.0,2471733.0,2559673.0,2646957.0,2742093.0,2859730.0,2946144.0,3031786.0,3117572.0,3203375.0,3289482.0,3376416.0,3463790.0,3548473.0,3633310.0,3718432.0,3809434.0,3914705.0,3998918.0,4084037.0,4169279.0,4254937.0,4341154.0,4427258.0,4513037.0,4598631.0,4684244.0,4769590.0,4855328.0,4941149.0,5027720.0,5114671.0,5202071.0,5287616.0,5373184.0,5459358.0,,
19,212.0,76.0,magnussen,13.0,11.0,+1 Lap,102348.0,189295.0,276155.0,362633.0,449223.0,535969.0,622800.0,709467.0,796206.0,882906.0,969073.0,1054933.0,1141010.0,1227004.0,1313354.0,1400004.0,1489213.0,1600697.0,1686537.0,1772047.0,1857474.0,1942998.0,2029147.0,2115123.0,2201515.0,2290403.0,2376660.0,2462786.0,2548304.0,2633809.0,2719656.0,2805253.0,2890968.0,2976475.0,3062362.0,3149732.0,3238040.0,3327260.0,3437775.0,3523075.0,3610897.0,3699734.0,3786406.0,3872935.0,3960064.0,4046479.0,4132558.0,4218406.0,4304623.0,4390681.0,4476920.0,4563263.0,4650393.0,4737659.0,4825715.0,4912206.0,5000058.0,5087068.0,5173899.0,5260540.0,5346792.0,5432477.0,5518723.0,
