Race,Lap,Position,Overtaker,Overtakee,Live,Turn
Australia,3,11,Magnussen,Katayama,,
Australia,4,9,Barrichello,Fisichella,,
Australia,18,12,Katayama,Trulli,,
Australia,18,13,Katayama,Nakano,,
Brazil,2,12,Frentzen,Barrichello,,
Brazil,2,14,Irvine,Trulli,,
Brazil,2,15,Diniz,Trulli,,
Brazil,2,16,Larini,Trulli,,
Brazil,3,11,Frentzen,Herbert,,
Brazil,3,17,Nakano,Trulli,,
Brazil,4,3,Berger,Hakkinen,,
Brazil,8,14,Diniz,Irvine,,
Brazil,12,2,Berger,M.Schumacher,Yes,1
Brazil,12,15,Larini,Irvine,,
Brazil,15,14,Larini,Diniz,,
Brazil,20,16,Herbert,Verstappen,Replay,4
Brazil,24,13,Herbert,Trulli,,
Brazil,25,13,Coulthard,Trulli,Replay,Finish Line
Brazil,26,10,Herbert,Nakano,,
Brazil,26,11,Coulthard,Nakano,,
Brazil,28,11,R.Schumacher,Nakano,,
Brazil,28,12,R.Schumacher,Trulli,,
Brazil,29,13,Fisichella,Larini,,
Brazil,29,14,Fisichella,Trulli,,
Brazil,29,14,Larini,Trulli,,
Brazil,31,12,Fisichella,Nakano,,
Brazil,32,4,Hakkinen,Hill,,
Brazil,35,13,Larini,Nakano,,
Brazil,38,4,M.Schumacher,Hill,Yes,1
Brazil,38,5,Alesi,Hill,Yes,1
Brazil,48,10,Fisichella,Coulthard,,
Brazil,50,9,Fisichella,Hill,,
Brazil,50,16,Irvine,Nakano,,
Brazil,52,16,Nakano,Irvine,,
Brazil,53,16,Verstappen,Irvine,,
Brazil,55,10,Coulthard,Hill,,
Brazil,64,8,Fisichella,Frentzen,,
Argentina,5,15,Berger,Salo,,
Argentina,5,17,Barrichello,Larini,,
Argentina,5,18,Barrichello,Nakano,,
Argentina,7,6,R.Schumacher,Herbert,,
Argentina,7,15,Barrichello,Salo,,
Argentina,8,5,R.Schumacher,Hill,Yes,1
Argentina,8,6,Herbert,Hill,,
Argentina,9,14,Barrichello,Berger,,
Argentina,9,17,Magnussen,Larini,,
Argentina,9,18,Magnussen,Nakano,,
Argentina,10,13,Barrichello,Trulli,,
Argentina,11,5,Herbert,R.Schumacher,,
Argentina,11,12,Barrichello,Nakano,,
Argentina,11,14,Berger,Trulli,,
Argentina,11,15,Salo,Trulli,,
Argentina,12,13,Berger,Katayama,,
Argentina,12,16,Magnussen,Trulli,,
Argentina,13,14,Magnussen,Katayama,,
Argentina,13,15,Magnussen,Salo,,
Argentina,13,17,Larini,Trulli,,
Argentina,15,15,Salo,Katayama,,
Argentina,16,16,Larini,Katayama,,
Argentina,17,17,Trulli,Katayama,,
Argentina,17,18,Nakano,Katayama,,
Argentina,21,10,Alesi,Hill,,
Argentina,24,12,Larini,Salo,,
Argentina,25,5,Hakkinen,Diniz,,
Argentina,27,6,Alesi,Diniz,,
Argentina,27,8,Berger,Hill,,
Argentina,29,7,Berger,Diniz,Replay,1
Argentina,31,8,Hill,Diniz,,
Argentina,34,13,Larini,Nakano,,
Argentina,35,12,Larini,Katayama,Yes,1
Argentina,42,10,Larini,Salo,,
Argentina,56,6,Berger,Alesi,,
Argentina,58,9,Salo,Trulli,,
San Marino,5,18,Hill,Katayama,,
San Marino,12,12,Larini,Barrichello,,
San Marino,18,5,Irvine,Panis,Yes,Piratella
San Marino,18,6,Fisichella,Panis,Yes,Piratella
San Marino,38,5,Fisichella,Irvine,Yes,Rivazza 1
Monaco,2,4,Barrichello,Frentzen,,
Monaco,2,5,Herbert,Frentzen,Yes,Portier
Monaco,2,6,Coulthard,Frentzen,Yes,Portier
Monaco,2,6,Panis,Frentzen,,
Monaco,2,11,Salo,Berger,,
Monaco,2,13,Magnussen,Verstappen,,
Monaco,2,14,Magnussen,Trulli,,
Monaco,3,8,Irvine,Alesi,Yes,Mirabeau
Monaco,3,8,Alesi,Villeneuve,Yes,Mirabeau
Monaco,3,9,Salo,Alesi,Yes,Mirabeau
Monaco,3,9,Irvine,Villeneuve,Yes,Mirabeau
Monaco,3,10,Salo,Villeneuve,Yes,Mirabeau
Monaco,3,11,Berger,Villeneuve,,
Monaco,3,12,Magnussen,Villeneuve,,
Monaco,3,13,Verstappen,Villeneuve,,
Monaco,4,7,Irvine,Frentzen,,
Monaco,4,8,Salo,Frentzen,,
Monaco,5,9,Alesi,Frentzen,Yes,Tabac
Monaco,5,13,Katayama,Trulli,,
Monaco,5,14,Nakano,Trulli,,
Monaco,6,2,Barrichello,Fisichella,Yes,Chicane
Monaco,6,3,R.Schumacher,Fisichella,Yes,Swimming Pool
Monaco,8,15,Frentzen,Trulli,Replay,Mirabeau
Monaco,11,11,Frentzen,Nakano,,
Monaco,14,10,Frentzen,Katayama,,
Monaco,14,12,Villeneuve,Nakano,Yes,Tabac
Monaco,15,10,Katayama,Frentzen,,
Monaco,18,9,Frentzen,Katayama,,
Monaco,34,3,Panis,Fisichella,Yes,Swimming Pool
Monaco,35,4,Irvine,Fisichella,Yes,Chicane
Monaco,38,6,Magnussen,Fisichella,,
Spain,2,18,R.Schumacher,Diniz,,
Spain,2,19,R.Schumacher,Katayama,,
Spain,2,21,Magnussen,Trulli,,
Spain,3,17,R.Schumacher,Morbidelli,,
Spain,4,16,R.Schumacher,Barrichello,,
Spain,5,15,R.Schumacher,Verstappen,,
Spain,11,10,Hill,Salo,,
Spain,12,11,Irvine,Salo,,
Spain,12,12,Panis,Salo,,
Spain,13,8,Fisichella,Berger,,
Spain,13,16,Magnussen,Diniz,,
Spain,14,2,Coulthard,M.Schumacher,Yes,1
Spain,15,18,R.Schumacher,Trulli,,
Spain,24,8,Fisichella,Frentzen,,
Spain,25,18,Morbidelli,Salo,,
Spain,25,19,Morbidelli,Trulli,,
Spain,27,3,Alesi,Hakkinen,,4
Spain,27,4,M.Schumacher,Hakkinen,Replay,4
Spain,28,6,Panis,Fisichella,,
Spain,30,12,Barrichello,Verstappen,,
Spain,31,14,Irvine,Diniz,,
Spain,32,13,Irvine,Verstappen,,
Spain,40,3,Panis,Coulthard,Yes,1
Spain,64,5,Herbert,Coulthard,,
Spain,64,8,Frentzen,Fisichella,,
Canada,2,7,Wurz,Barrichello,,
Canada,2,15,Morbidelli,Katayama,,
Canada,3,16,Nakano,Katayama,,
Canada,6,5,R.Schumacher,Frentzen,,
Canada,10,12,Morbidelli,Trulli,,
Canada,10,14,Panis,Nakano,,
Canada,11,13,Panis,Trulli,,
Canada,12,7,Verstappen,Barrichello,Yes,13
Canada,13,12,Panis,Morbidelli,,
Canada,17,7,Salo,Barrichello,Yes,10
Canada,17,8,Herbert,Barrichello,Yes,13
Canada,17,15,Frentzen,Hill,,
Canada,19,13,Frentzen,Nakano,,
Canada,20,12,Frentzen,Trulli,,
Canada,21,11,Frentzen,Morbidelli,Replay,10
Canada,22,10,Frentzen,Diniz,Replay,13
Canada,23,9,Frentzen,Barrichello,Replay,10
Canada,26,7,Frentzen,Verstappen,Replay,13
Canada,27,14,Panis,Hill,,
Canada,30,6,Frentzen,Wurz,Replay,5
Canada,31,13,Panis,Nakano,,
Canada,36,6,Frentzen,Verstappen,Replay,13
Canada,42,7,Panis,Salo,,
France,14,17,Katayama,Fontana,,
France,39,14,Hill,Diniz,,
France,53,8,Wurz,Fisichella,,
France,56,10,Herbert,Trulli,,
