Race,Lap,Position,Overtaker,Overtakee,Live,Turn
Australia,9,16,Stroll,Ericsson,Replay,1
Australia,19,8,Perez,Sainz,Replay,3
China,2,16,Giovinazzi,Vandoorne,Yes,2
China,3,8,Ocon,Kvyat,,
China,3,9,Ocon,Alonso,,
China,3,9,Alonso,Kvyat,,
China,3,10,Ocon,Massa,,
China,8,3,Verstappen,Raikkonen,Yes,7
China,8,6,Sainz,Alonso,,14
China,8,8,Perez,Kvyat,Yes,5
China,8,9,Perez,Massa,Yes,2
China,8,9,Magnussen,Kvyat,,
China,8,10,Magnussen,Massa,,
China,8,11,Bottas,Massa,,
China,8,17,Grosjean,Ericsson,,
China,9,12,Ocon,Massa,,
China,9,14,Vandoorne,Palmer,,
China,9,15,Hulkenberg,Palmer,,
China,10,10,Bottas,Kvyat,,
China,10,14,Hulkenberg,Vandoorne,,
China,11,2,Verstappen,Ricciardo,Yes,6
China,11,13,Hulkenberg,Massa,,
China,18,9,Bottas,Magnussen,Replay,14
China,20,4,Vettel,Raikkonen,Yes,6
China,22,3,Vettel,Ricciardo,Yes,7
China,22,10,Perez,Ocon,Replay,14
China,25,7,Bottas,Alonso,Yes,14
China,27,13,Grosjean,Palmer,Yes,6
China,33,5,Verstappen,Bottas,Yes,6
China,33,7,Sainz,Alonso,Yes,14
China,33,15,Palmer,Ericsson,,
China,38,12,Grosjean,Hulkenberg,Yes,6
China,39,9,Magnussen,Ocon,Yes,14
China,41,5,Raikkonen,Sainz,Yes,14
China,44,6,Bottas,Sainz,Yes,14
China,45,10,Ocon,Massa,Yes,14
China,48,8,Magnussen,Perez,Yes,14
China,48,11,Grosjean,Massa,Replay,2
Bahrain,5,12,Perez,Palmer,,
Bahrain,8,6,Raikkonen,Massa,Yes,1
Bahrain,12,9,Vettel,Sainz,,
Bahrain,12,10,Vettel,Perez,Yes,1
Bahrain,12,17,Stroll,Wehrlein,,
Bahrain,13,13,Grosjean,Ocon,Bkgrnd/Replay,2
Bahrain,17,3,Hamilton,Ricciardo,Yes,1
Bahrain,17,4,Massa,Ricciardo,Background,4
Bahrain,17,5,Raikkonen,Ricciardo,Yes,12
Bahrain,17,7,Perez,Hulkenberg,Yes,14
Bahrain,17,8,Perez,Ericsson,,
Bahrain,17,9,Grosjean,Ericsson,,
Bahrain,17,10,Ocon,Ericsson,,
Bahrain,18,12,Palmer,Alonso,,
Bahrain,18,12,Alonso,Palmer,Yes,6
Bahrain,19,11,Alonso,Ericsson,Yes,12
Bahrain,20,12,Palmer,Ericsson,Yes,1
Bahrain,20,13,Kvyat,Ericsson,Yes,10
Bahrain,22,14,Wehrlein,Ericsson,,
Bahrain,24,4,Raikkonen,Massa,Yes,1
Bahrain,24,11,Palmer,Alonso,Yes,4
Bahrain,24,12,Kvyat,Alonso,Yes,5
Bahrain,29,5,Ricciardo,Massa,Yes,1
Bahrain,30,11,Kvyat,Palmer,Yes,1
Bahrain,30,12,Alonso,Palmer,Yes,5
Bahrain,32,6,Bottas,Perez,Yes,14
Bahrain,34,5,Bottas,Massa,Yes,1
Bahrain,34,13,Grosjean,Wehrlein,Yes,11
Bahrain,35,12,Grosjean,Palmer,Yes,1
