Race,Lap,Position,Overtaker,Overtakee,Live?,Turn
Australia,2,3,Montoya,Heidfeld,Yes,16
Australia,2,10,Wilson,Panis,,
Australia,2,15,Raikkonen,Pizzonia,,
Australia,3,4,Frentzen,Heidfeld,,
Australia,3,6,Alonso,Villeneuve,Yes,1
Australia,3,7,Villeneuve,Button,,
Australia,3,7,Alonso,Button,Yes,1
Australia,3,10,Panis,Wilson,,
Australia,4,5,Alonso,Heidfeld,Yes,11
Australia,4,7,Trulli,Button,Yes,1
Australia,4,10,R.Schumacher,Wilson,,
Australia,4,11,Webber,Wilson,,
Australia,4,18,Coulthard,Verstappen,,
Australia,5,4,Alonso,Frentzen,Yes,1
Australia,5,6,Trulli,Heidfeld,Yes,9
Australia,5,7,R.Schumacher,Heidfeld,Yes,13
Australia,5,8,R.Schumacher,Panis,Yes,13
Australia,5,9,Webber,Panis,Yes,13
Australia,5,11,Firman,Wilson,,
Australia,5,12,Raikkonen,Wilson,,
Australia,5,14,Fisichella,Pizzonia,,
Australia,6,6,Webber,Heidfeld,Yes,1
Australia,6,7,Panis,Heidfeld,,
Australia,6,8,Firman,Heidfeld,,
Australia,6,9,Raikkonen,Heidfeld,,
Australia,6,11,Fisichella,Wilson,,
Australia,6,12,Pizzonia,Wilson,,
Australia,6,13,Da Matta,Wilson,,
Australia,6,17,Villeneuve,Button,,
Australia,6,18,Villeneuve,Verstappen,,
Australia,7,9,Fisichella,Heidfeld,,
Australia,7,10,Pizzonia,Heidfeld,,
Australia,7,11,Da Matta,Heidfeld,,
Australia,7,12,Coulthard,Heidfeld,,
Australia,7,13,Coulthard,Wilson,,
Australia,7,15,Button,Frentzen,,
Australia,12,4,Raikkonen,Webber,Yes,1
Australia,12,5,Schumacher,Webber,Yes,3
Australia,12,9,Button,Panis,,
Australia,13,15,Wilson,Heidfeld,,
Australia,15,14,Wilson,Pizzonia,,
Australia,21,6,Montoya,Panis,Yes,3
Australia,31,8,Alonso,Pizzonia,,
Australia,31,9,R.Schumacher,Pizzonia,,
Australia,31,10,Villeneuve,Panis,,
Australia,31,11,Villeneuve,Pizzonia,,
Australia,33,4,Schumacher,Coulthard,,
Australia,39,8,Villeneuve,Frentzen,,
Australia,40,4,Alonso,Trulli,,
Malaysia,2,11,Schumacher,Firman,,
Malaysia,3,2,Raikkonen,Heidfeld,Yes,1
Malaysia,3,10,Trulli,Firman,,
Malaysia,4,7,R.Schumacher,Wilson,,
Malaysia,4,8,Webber,Wilson,,
Malaysia,5,4,Barrichello,Button,Yes,1
Malaysia,5,5,Panis,Button,Background,4
Malaysia,5,9,Trulli,Wilson,,
Malaysia,9,8,Trulli,Webber,,
Malaysia,10,3,Barrichello,Heidfeld,Yes,1
Malaysia,13,10,Panis,Firman,Yes,4
Malaysia,17,12,Webber,Wilson,,
Malaysia,17,15,Montoya,Verstappen,,
Malaysia,20,6,Trulli,Firman,Yes,1
Malaysia,20,6,Firman,Trulli,Yes,1
Malaysia,22,6,Trulli,Firman,,
Malaysia,41,5,Schumacher,Button,Yes,15
Malaysia,41,6,Schumacher,Trulli,Yes,1
Malaysia,55,5,Trulli,Button,,
Malaysia,55,6,Schumacher,Button,Background,Finish Line
Malaysia,55,9,Frentzen,Firman,,
Brazil,9,1,Coulthard,Barrichello,Yes,1
Brazil,9,3,Raikkonen,Webber,No,12
Brazil,9,5,Montoya,Trulli,,
Brazil,9,6,Montoya,R.Schumacher,,
Brazil,9,7,Montoya,Schumacher,Background,1
Brazil,9,12,Wilson,Da Matta,,
Brazil,9,14,Frentzen,Verstappen,,
Brazil,10,2,Raikkonen,Barrichello,Yes,1
Brazil,10,3,Montoya,Barrichello,Yes,4
Brazil,10,4,Montoya,Webber,Background,1
Brazil,10,6,R.Schumacher,Trulli,,
Brazil,10,15,Pizzonia,Verstappen,,
Brazil,11,1,Raikkonen,Coulthard,Yes,1
Brazil,11,2,Montoya,Coulthard,Yes,3
Brazil,11,4,Webber,Barrichello,,
Brazil,11,5,Schumacher,Barrichello,Yes,12
Brazil,11,6,Schumacher,R.Schumacher,,
Brazil,11,7,Schumacher,Trulli,,
Brazil,11,11,R.Schumacher,Wilson,,
Brazil,11,14,Pizzonia,Frentzen,,
Brazil,12,10,R.Schumacher,Villeneuve,,
Brazil,14,2,Coulthard,Montoya,Yes,13
Brazil,15,4,Schumacher,Webber,Yes,13
Brazil,16,3,Schumacher,Montoya,Yes,9
Brazil,18,5,Barrichello,Webber,,
Brazil,23,4,Barrichello,Da Matta,Yes,4
Brazil,23,8,Webber,Frentzen,Yes,1
Brazil,23,11,R.Schumacher,Verstappen,,
Brazil,23,14,Alonso,Trulli,,
Brazil,24,5,Montoya,Da Matta,,
Brazil,24,9,R.Schumacher,Button,,
Brazil,25,11,Alonso,Villeneuve,,
Brazil,26,10,Alonso,Fisichella,,
Brazil,27,4,R.Schumacher,Webber,,
Brazil,27,8,Alonso,Verstappen,,
Brazil,30,7,Raikkonen,Verstappen,,
Brazil,30,8,Raikkonen,Fisichella,,
Brazil,30,12,Da Matta,Frentzen,,
Brazil,31,11,Frentzen,Da Matta,,
Brazil,37,9,Webber,Villeneuve,Background,1
Brazil,37,10,Da Matta,Villeneuve,Background,1
Brazil,38,3,Raikkonen,R.Schumacher,Yes,4
Brazil,38,4,Raikkonen,Alonso,Yes,1
Brazil,38,8,Webber,Frentzen,,
Brazil,38,10,Villeneuve,Da Matta,,
Brazil,40,4,Alonso,R.Schumacher,Replay,10
Brazil,45,1,Barrichello,Coulthard,Yes,2
Brazil,48,6,Alonso,Frentzen,,
Brazil,49,4,Alonso,Trulli,,
Brazil,50,5,Frentzen,Trulli,Yes,11
Brazil,53,8,R.Schumacher,Webber,,
Brazil,54,1,Fisichella,Raikkonen,Yes,10
San Marino,32,14,Fisichella,Da Matta,,
San Marino,42,15,Firman,Trulli,,
San Marino,52,3,Barrichello,R.Schumacher,Yes,Variante Bassa
Spain,6,5,Montoya,Button,Yes,1
Spain,6,11,Panis,Verstappen,,
Spain,6,14,Coulthard,Firman,,
Spain,6,15,Coulthard,Frentzen,,
Spain,9,12,Webber,Verstappen,,
Spain,9,13,Coulthard,Verstappen,Yes,4
Spain,13,8,Panis,Wilson,,
Spain,13,9,Panis,Fisichella,,
Spain,19,10,Panis,Heidfeld,,
Spain,22,9,Panis,Frentzen,,
Spain,24,7,Panis,Firman,Yes,4
Spain,27,13,Firman,Fisichella,Background,12
Spain,28,11,Verstappen,Wilson,Background,7
Spain,28,12,Firman,Wilson,Background,11
Spain,29,9,Webber,Heidfeld,,
Spain,29,12,Button,Wilson,,
Spain,29,13,Button,Fisichella,,
Spain,37,2,Schumacher,R.Schumacher,Yes,7
Spain,39,4,Barrichello,Montoya,,
Spain,39,13,Verstappen,Wilson,,
Spain,41,2,Alonso,R.Schumacher,Yes,3
Spain,46,5,Montoya,R.Schumacher,Yes,7
Austria,5,12,Firman,Coulthard,,2
Austria,12,15,Webber,Alonso,,
Austria,17,15,Firman,Pizzonia,,
Austria,18,16,Webber,Pizzonia,,
Austria,19,14,Webber,Trulli,Aftermath,2
Austria,19,16,Pizzonia,Da Matta,,
Austria,23,13,Webber,Firman,,
Austria,31,9,Villeneuve,Fisichella,,
Austria,31,10,Coulthard,Fisichella,Yes,3
Austria,32,2,Schumacher,Raikkonen,Replay,2
Austria,33,7,Villeneuve,Heidfeld,,
Austria,34,8,Coulthard,Heidfeld,Replay,1
Austria,35,3,Barrichello,Button,Yes,2
Austria,44,9,Pizzonia,Fisichella,Yes,2
Canada,2,12,Heidfeld,Verstappen,,
Canada,3,14,Fisichella,Button,,
Canada,4,4,Montoya,Webber,Replay,13
Canada,9,16,Barrichello,Firman,,
