Race,Lap,Position,Overtaker,Overtakee,Live,Turn
Brazil,2,2,Schumacher,Alesi,Yes,12
Brazil,2,8,Berger,Verstappen,,
Brazil,2,10,Barrichello,Morbidelli,,
Brazil,2,14,Blundell,Fittipaldi,,
Brazil,3,5,Hakkinen,Frentzen,,
Brazil,3,15,Brundle,Fittipaldi,,
Brazil,10,12,Brundle,Blundell,,
Brazil,15,17,Lamy,Panis,,
Brazil,27,5,Wendlinger,Martini,Background,4
Brazil,28,6,Barrichello,Martini,Yes,4
Brazil,28,11,Katayama,Herbert,,
Brazil,28,11,Katayama,Comas,,
Brazil,28,12,Herbert,Comas,,
Brazil,29,7,Brundle,Martini,,
Brazil,30,13,Lamy,Comas,,
Brazil,31,13,Comas,Lamy,,
Brazil,33,16,Bernard,Brabham,,
Brazil,45,9,Comas,Martini,,
Brazil,55,9,Martini,Comas,,
Brazil,67,5,Katayama,Wendlinger,,
Pacific,4,7,Frentzen,Hill,Background,10
Pacific,4,8,Verstappen,Hill,Yes,10
Pacific,6,8,Hill,Verstappen,Yes,7
Pacific,7,7,Hill,Frentzen,Yes,7
Pacific,7,14,Wendlinger,Suzuki,,
Pacific,9,6,Hill,Fittipaldi,,
Pacific,12,5,Hill,Brundle,Yes,7
Pacific,13,4,Hill,Barrichello,Yes,6
Pacific,16,19,Comas,Ratzenberger,,
Pacific,18,15,Katayama,Bernard,,
Pacific,21,8,Hill,Morbidelli,,
Pacific,22,18,Comas,Ratzenberger,,
Pacific,35,16,Comas,Herbert,,
Pacific,38,5,Brundle,Fittipaldi,Yes,10
Pacific,42,19,Panis,Bernard,,
Pacific,45,13,Comas,Herbert,,
Monaco,2,15,Panis,Bernard,,
Monaco,7,9,De Cesaris,Comas,,
Monaco,15,7,Alboreto,Katayama,,
Monaco,16,8,De Cesaris,Katayama,,
Monaco,29,14,Lehto,Brabham,,
Monaco,31,12,Lehto,Bernard,,
Monaco,41,12,Comas,Brabham,,
Monaco,42,2,Brundle,Berger,Yes,Mirabeau
Monaco,65,8,Beretta,Herbert,,
Spain,2,13,Frentzen,Morbidelli,,
Spain,2,14,Katayama,Morbidelli,,
Spain,2,22,Bernard,Brabham,,
Spain,7,13,Katayama,Frentzen,,
Spain,12,18,Fittipaldi,Panis,,
Spain,13,17,Fittipaldi,Herbert,,
Spain,16,22,Bernard,Gachot,,
Spain,20,10,Brundle,Fittipaldi,,
Spain,21,8,Brundle,Blundell,,
Spain,23,16,Coulthard,Panis,,
Spain,24,14,Coulthard,Herbert,,
Spain,31,5,Brundle,Alesi,,
Spain,40,12,Bernard,Zanardi,,
Spain,44,7,Alesi,Irvine,,
Canada,6,18,Lehto,Zanardi,,
Canada,6,19,Comas,Zanardi,,
Canada,7,18,Comas,Lehto,,
Canada,10,17,Comas,Alboreto,,
Canada,12,16,Comas,Martini,,
Canada,12,18,Lehto,Alboreto,,
Canada,15,3,Hill,Berger,Replay,6
Canada,17,5,Barrichello,Coulthard,Yes,9
Canada,18,7,Morbidelli,Irvine,Yes,16
Canada,19,13,Blundell,Martini,,
Canada,21,20,Katayama,Bernard,,
Canada,21,22,Zanardi,Brabham,,
Canada,22,10,Hakkinen,Beretta,,
Canada,22,11,Blundell,Beretta,,
Canada,23,4,Morbidelli,Coulthard,Replay,3
Canada,23,18,Comas,Panis,,
Canada,24,12,Lehto,Martini,,
Canada,25,18,Katayama,Panis,,
Canada,26,11,Lehto,Beretta,,
Canada,31,7,Hakkinen,Barrichello,,
Canada,33,14,Katayama,Alboreto,,
Canada,40,11,Blundell,Herbert,,
Canada,41,14,Beretta,Katayama,,
Canada,44,9,Blundell,Fittipaldi,,
Canada,44,14,Katayama,Beretta,,
Canada,55,8,Lehto,Barrichello,,
Canada,66,7,Barrichello,Lehto,,
Canada,68,7,Lehto,Barrichello,,
France,2,8,Barrichello,Hakkinen,,
France,6,7,Barrichello,Frentzen,,
France,10,6,Barrichello,Irvine,,
France,17,25,Verstappen,Gounon,,
France,21,22,Verstappen,Brabham,,
France,22,17,Morbidelli,Bernard,,
France,24,16,Katayama,Panis,Yes,Estoril
France,26,11,De Cesaris,Comas,,
France,27,7,Brundle,Fittipaldi,,
France,29,13,Katayama,Morbidelli,Replay,Adelaide
France,43,10,Herbert,Fittipaldi,,
France,47,6,Katayama,Fittipaldi,,
France,54,5,Martini,Fittipaldi,,
France,54,6,De Cesaris,Fittipaldi,,
France,60,7,Herbert,Fittipaldi,,
Great Britain,2,12,Martini,De Cesaris,,
Great Britain,2,13,Blundell,De Cesaris,,
Great Britain,2,14,Blundell,Herbert,,
Great Britain,2,18,Coulthard,Comas,,
Great Britain,2,19,Coulthard,Brabham,,
Great Britain,2,20,Coulthard,Beretta,,
Great Britain,2,21,Coulthard,Bernard,,
Great Britain,2,21,Beretta,Bernard,,
Great Britain,2,23,Zanardi,Gounon,,
Great Britain,3,12,Blundell,Martini,,
Great Britain,3,16,Coulthard,Alboreto,,
Great Britain,3,17,Coulthard,Fittipaldi,,
Great Britain,3,20,Beretta,Brabham,,
Great Britain,4,14,Coulthard,De Cesaris,,
Great Britain,4,15,Coulthard,Herbert,,
Great Britain,4,15,Herbert,De Cesaris,,
Great Britain,4,22,Zanardi,Bernard,,
Great Britain,5,12,Coulthard,Martini,,
Great Britain,8,16,Fittipaldi,Alboreto,,
Great Britain,8,17,Comas,Alboreto,,
Great Britain,8,20,Bernard,Brabham,,
Great Britain,9,9,Panis,Frentzen,,
Great Britain,9,10,Blundell,Frentzen,,
Great Britain,10,11,Coulthard,Frentzen,,
Great Britain,11,9,Blundell,Panis,Yes,Stowe
Great Britain,11,10,Coulthard,Panis,Yes,Vale
Great Britain,12,18,Bernard,Beretta,,
Great Britain,19,6,Hakkinen,Verstappen,,
Great Britain,20,17,Bernard,Gounon,,
Great Britain,22,1,Schumacher,Berger,Yes,Brooklands
Great Britain,24,8,Coulthard,Katayama,,
Great Britain,25,12,Fittipaldi,Herbert,,
Great Britain,33,5,Coulthard,Hakkinen,,
Great Britain,37,15,Panis,Beretta,,
Great Britain,43,5,Coulthard,Frentzen,,
Great Britain,54,12,Bernard,Beretta,,
Germany,2,5,Bernard,Verstappen,,
Germany,3,11,Brundle,Brabham,,
Germany,4,10,Brundle,Beretta,,
Germany,6,8,Brundle,Comas,,
Germany,7,7,Brundle,Fittipaldi,,
Germany,10,6,Brundle,Morbidelli,,
Germany,14,2,Schumacher,Panis,Replay,Sachskurve
Germany,14,3,Schumacher,Bernard,Yes,Nordkurve
Germany,15,8,Brundle,Beretta,,
Germany,17,6,Brundle,Comas,,
Germany,28,9,Hill,Gounon,,
Germany,32,8,Hill,Brabham,,
Hungary,2,18,Herbert,Bernard,,
Hungary,5,14,Comas,Alboreto,,
Hungary,13,6,Alesi,Panis,Yes,12
Hungary,22,16,Comas,De Cesaris,,
Hungary,45,13,Comas,Brabham,,
Belgium,2,8,Frentzen,Irvine,Background,Les Combes
Belgium,2,10,Berger,Brundle,,
Belgium,2,19,Katayama,Comas,,
Belgium,2,21,Brabham,Alliot,,
Belgium,2,23,Fittipaldi,Gounon,,
Belgium,2,24,Herbert,Gounon,,
Belgium,2,25,Herbert,Adams,,
Belgium,3,2,Hill,Barrichello,,
Belgium,3,3,Coulthard,Barrichello,,
Belgium,3,4,Hakkinen,Barrichello,Yes,Bus Stop
Belgium,3,11,Blundell,Martini,,
Belgium,3,14,Panis,De Cesaris,,
Belgium,3,20,Fittipaldi,Brabham,,
Belgium,3,21,Fittipaldi,Alliot,,
Belgium,3,22,Herbert,Alliot,,
Belgium,4,8,Berger,Irvine,,
Belgium,4,13,Panis,Morbidelli,,
Belgium,4,17,Katayama,Alboreto,,
Belgium,4,20,Herbert,Brabham,,
Belgium,5,15,Katayama,Bernard,,
Belgium,6,6,Frentzen,Verstappen,Yes,Bus Stop
Belgium,6,12,Panis,Martini,,
Belgium,6,15,Katayama,De Cesaris,,
Belgium,7,14,Katayama,Morbidelli,,
Belgium,8,13,Katayama,Martini,,
Belgium,9,7,Berger,Verstappen,,
Belgium,9,12,Katayama,Panis,,
Belgium,10,9,Brundle,Irvine,,
Belgium,11,16,Alboreto,Bernard,,
Belgium,11,19,Alliot,Brabham,,
Belgium,12,5,Verstappen,Hakkinen,Yes,La Source
Belgium,13,5,Hakkinen,Verstappen,,
Belgium,13,11,Blundell,Martini,,
Belgium,14,10,Blundell,Panis,,
Belgium,16,11,Morbidelli,Katayama,,
Belgium,38,3,Hakkinen,Coulthard,Replay,Eau Rouge
Italy,2,18,Herbert,Brabham,,
Italy,2,20,Irvine,Gounon,,
Italy,3,6,Katayama,Frentzen,,
Italy,3,17,Herbert,Dalmas,,
Italy,3,19,Irvine,Brabham,,
Italy,4,5,Katayama,Hakkinen,,
Italy,4,8,Barrichello,De Cesaris,,
Italy,4,18,Irvine,Dalmas,,
Italy,5,11,Blundell,Lehto,,
Italy,6,10,Blundell,Brundle,,
Italy,7,9,Blundell,De Cesaris,Yes,Parabolica
Italy,7,11,Lehto,Brundle,,
Italy,8,16,Herbert,Alboreto,Replay,Ascari
Italy,10,9,Lehto,De Cesaris,,
Italy,12,20,Blundell,Gounon,,
Italy,12,21,Bernard,Gounon,,
Italy,13,9,Brundle,De Cesaris,,
Italy,15,18,Blundell,Brabham,,
Italy,15,19,Bernard,Brabham,,
Italy,17,12,Katayama,Irvine,,
Italy,18,15,Blundell,Dalmas,,
Italy,19,11,Katayama,Comas,,
Italy,19,14,Blundell,Alboreto,,
Italy,21,14,Bernard,Alboreto,,
Italy,22,9,Katayama,Martini,,
Italy,25,25,Katayama,Fittipaldi,,
Italy,30,6,Blundell,Barrichello,,
Italy,33,4,Katayama,Hakkinen,Replay,Roggia
Italy,36,14,Panis,Brabham,,
Italy,39,5,Katayama,Barrichello,,
Italy,44,8,Bernard,Comas,,
Portugal,2,15,Herbert,De Cesaris,,
Portugal,2,18,Bernard,Alboreto,,
Portugal,4,16,Morbidelli,De Cesaris,,
Portugal,6,17,Bernard,De Cesaris,,
Portugal,9,22,Gounon,Martini,,
Portugal,11,15,Bernard,Morbidelli,,
Portugal,12,23,Katayama,Adams,,
Portugal,14,20,Brabham,Dalmas,,
Portugal,14,22,Katayama,Gounon,,
Portugal,15,20,Dalmas,Brabham,,
Portugal,15,21,Katayama,Dalmas,,
Portugal,16,18,Katayama,Alboreto,Yes,Finish line
Portugal,16,19,Katayama,Comas,,
Portugal,17,15,Morbidelli,Bernard,,
Portugal,18,9,Blundell,Fittipaldi,,
Portugal,26,11,Panis,Blundell,,
Portugal,28,1,Hill,Coulthard,Yes,9
Portugal,34,6,Verstappen,Fittipaldi,,
Portugal,36,8,Blundell,Panis,,
Portugal,43,13,Bernard,Herbert,,
Portugal,51,17,Martini,Dalmas,,
Portugal,52,7,Blundell,Fittipaldi,Yes,1
Portugal,54,13,Bernard,De Cesaris,,
Portugal,54,16,Martini,Alboreto,,
Portugal,58,9,Irvine,Panis,,
Portugal,58,10,Lehto,Panis,,
Portugal,66,7,Irvine,Fittipaldi,,
Europe,2,5,Mansell,Berger,,
Europe,6,4,Mansell,Barrichello,Yes,6
Europe,6,23,Katayama,Schiattarella,,
Europe,8,22,Katayama,Brabham,,
Europe,12,4,Barrichello,Mansell,Yes,9
Europe,12,20,Katayama,Bernard,,
Europe,14,19,Katayama,Zanardi,,
Europe,19,10,Katayama,Comas,,
Europe,24,18,Mansell,Zanardi,,
Europe,25,17,Mansell,Martini,,
Europe,32,16,Mansell,Alboreto,,
Europe,33,15,Mansell,Comas,,
Europe,34,9,Panis,Alesi,,
Europe,35,14,Mansell,De Cesaris,,
Europe,67,12,Barrichello,Blundell,,
Japan,2,18,Salo,Lagorce,,
Japan,2,19,Salo,Comas,,
Japan,3,19,Comas,Lagorce,,
Australia,2,4,Mansell,Barrichello,Yes,11
Australia,2,4,Barrichello,Mansell,Yes,11
Australia,2,14,Zanardi,Katayama,,
Australia,3,23,Brabham,Noda,,
Australia,4,18,Fittipaldi,Martini,,
Australia,4,21,Salo,Lagorce,,
Australia,5,17,Fittipaldi,Alboreto,,
Australia,5,19,Morbidelli,Martini,,
Australia,8,16,Fittipaldi,Lehto,,
Australia,15,4,Mansell,Barrichello,,
Australia,18,7,Berger,Frentzen,,
Australia,19,3,Mansell,Hakkinen,Yes,11
Australia,19,3,Hakkinen,Mansell,Yes,11
Australia,24,14,Blundell,Salo,,
Australia,29,5,Alesi,Hakkinen,Yes,11
Australia,29,6,Hakkinen,Barrichello,Yes,10
Australia,29,6,Alesi,Barrichello,Yes,11
Australia,34,17,Salo,Lagorce,,
Australia,48,13,Salo,Lehto,,
Australia,71,7,Alesi,Frentzen,Yes,5
