Race,Lap,Position,Overtaker,Overtakee,Live?,Turn
Australia,3,14,Sutil,Bourdais,,
Australia,5,12,Glock,Piquet,,
Australia,5,13,Sutil,Piquet,,
Australia,5,14,Bourdais,Piquet,,
Australia,9,14,Nakajima,Piquet,Replay,9
Australia,11,15,Massa,Piquet,Replay,11
Australia,14,11,Glock,Sato,Replay,11
Australia,17,14,Massa,Nakajima,Replay,1
Australia,19,6,Raikkonen,Barrichello,Replay,3
Australia,20,11,Massa,Sato,Yes,14
Australia,22,8,Alonso,Rosberg,Yes,3
Australia,49,5,Alonso,Kovalainen,Yes,14
Australia,49,5,Kovalainen,Raikkonen,Replay,13
Australia,49,6,Alonso,Raikkonen,Replay,13
Australia,57,4,Kovalainen,Alonso,Yes,14
Malaysia,3,15,Nakajima,Barrichello,,
Malaysia,4,8,Heidfeld,Alonso,Yes,15
Malaysia,4,9,Alonso,Coulthard,Yes,Finish Line
Malaysia,4,9,Heidfeld,Coulthard,Yes,15
Malaysia,8,13,Nakajima,Vettel,Yes,1
Malaysia,22,14,Rosberg,Sato,Replay,15
Bahrain,2,5,Heidfeld,Trulli,Yes,1
Bahrain,2,8,Webber,Alonso,,
Bahrain,2,15,Coulthard,Sato,Foreground,8
Bahrain,2,15,Davidson,Nakajima,,
Bahrain,3,2,Raikkonen,Kubica,Yes,2
Bahrain,3,4,Heidfeld,Kovalainen,Replay,10
Bahrain,3,14,Piquet,Sato,,
Bahrain,3,15,Piquet,Davidson,,
Bahrain,4,16,Nakajima,Davidson,,
Bahrain,7,15,Nakajima,Sato,,
Bahrain,11,13,Piquet,Bourdais,Yes,1
Bahrain,22,16,Hamilton,Davidson,Replay,6
Bahrain,24,14,Hamilton,Sato,Yes,1
Bahrain,31,13,Hamilton,Fisichella,Yes,1
Bahrain,53,13,Hamilton,Nakajima,Yes,1
Spain,7,17,Sato,Davidson,,
Spain,55,9,Heidfeld,Fisichella,Yes,1
Spain,61,12,Coulthard,Sato,Yes,10
Turkey,3,4,Raikkonen,Alonso,Yes,12
Turkey,12,17,Kovalainen,Sutil,Replay,12
Turkey,17,16,Kovalainen,Vettel,Replay,12
Turkey,24,1,Hamilton,Massa,Yes,12
Turkey,25,11,Kovalainen,Piquet,Replay,12
Turkey,34,13,Kovalainen,Glock,Yes,12
Turkey,34,13,Glock,Kovalainen,Yes,14
Turkey,34,13,Kovalainen,Glock,Yes,Finish Line
Turkey,35,11,Piquet,Button,Yes,13
Turkey,36,12,Kovalainen,Button,Yes,1
Turkey,48,10,Kovalainen,Coulthard,Yes,12
Turkey,49,8,Kovalainen,Rosberg,Yes,12
Turkey,49,8,Rosberg,Kovalainen,Yes,14
Turkey,50,8,Kovalainen,Rosberg,Yes,1
Turkey,54,12,Kovalainen,Glock,Yes,3
Monaco,2,10,Webber,Nakajima,,
Monaco,2,15,Sutil,Piquet,,
Monaco,3,13,Sutil,Bourdais,,
Monaco,4,14,Vettel,Piquet,,
Monaco,7,12,Bourdais,Sutil,,
Monaco,8,12,Piquet,Vettel,,
Monaco,11,10,Piquet,Sutil,,
Monaco,11,14,Kovalainen,Fisichella,,
Monaco,12,6,Alonso,Webber,Replay,Mirabeau
Monaco,12,15,Rosberg,Fisichella,,
Monaco,12,16,Glock,Fisichella,,
Monaco,13,17,Button,Fisichella,,
Monaco,14,7,Sutil,Nakajima,Yes,Loews
Monaco,14,8,Sutil,Barrichello,,
Monaco,14,9,Sutil,Piquet,,
Monaco,14,10,Trulli,Piquet,,
Monaco,14,14,Rosberg,Kovalainen,Yes,Loews
Monaco,15,9,Trulli,Barrichello,,
Monaco,17,7,Trulli,Nakajima,,
Monaco,17,8,Barrichello,Nakajima,Yes,Chicane
Monaco,23,10,Kovalainen,Vettel,,
Monaco,23,11,Kovalainen,Piquet,Replay,Mirabeau
Monaco,36,10,Vettel,Piquet,,
Monaco,36,15,Rosberg,Alonso,Replay,Saint Devote
Monaco,36,16,Kovalainen,Alonso,Background,Rascasse
Monaco,42,11,Rosberg,Button,Yes,Loews
Monaco,46,10,Rosberg,Piquet,Yes,Tunnel
Monaco,46,11,Button,Piquet,Yes,Rascasse
Monaco,50,6,Barrichello,Webber,Replay,A.Noghes
Monaco,50,7,Nakajima,Webber,Replay,A.Noghes
Monaco,50,8,Vettel,Webber,,Finish Line
Monaco,54,4,Raikkonen,Sutil,Yes,Beau Rivage
Monaco,67,11,Alonso,Button,,
Canada,5,8,Heidfeld,Barrichello,Yes,10
Canada,5,18,Vettel,Bourdais,,
Canada,9,14,Piquet,Glock,Yes,1
Canada,12,13,Piquet,Trulli,Yes,10
Canada,25,15,Rosberg,Bourdais,,
Canada,29,15,Massa,Bourdais,,
Canada,31,7,Kubica,Heidfeld,Yes,1
Canada,33,2,Coulthard,Nakajima,Replay,10
Canada,34,13,Massa,Webber,Yes,8
Canada,39,8,Massa,Button,,
Canada,39,9,Massa,Nakajima,Replay,1
Canada,44,2,Alonso,Heidfeld,Yes,10
Canada,44,2,Heidfeld,Alonso,Yes,11
Canada,49,8,Glock,Webber,,
