Race,Lap,Position,Overtaker,Overtakee,Live,Turn
Brazil,2,9,Salo,Katayama,,
Brazil,2,21,Gachot,Moreno,,
Brazil,3,12,Suzuki,Barrichello,,
Brazil,5,13,Morbidelli,Barrichello,,
Brazil,5,14,Morbidelli,Blundell,,
Brazil,6,11,Suzuki,Frentzen,,
Brazil,6,14,Blundell,Barrichello,,
Brazil,6,20,Gachot,Montermini,,
Brazil,6,23,Schiattarella,Diniz,,
Brazil,10,18,Badoer,Inoue,,
Brazil,10,22,Schiattarella,Moreno,Yes,1
Brazil,10,22,Moreno,Schiattarella,Background,5
Brazil,16,16,Gachot,Inoue,,
Brazil,20,4,Schumacher,Berger,Yes,1
Brazil,21,8,Alesi,Wendlinger,,
Brazil,23,1,Hill,Hakkinen,Yes,4
Brazil,24,9,Herbert,Morbidelli,,
Brazil,24,10,Herbert,Blundell,,
Brazil,26,5,Salo,Alesi,,
Brazil,29,5,Hakkinen,Alesi,Yes,4
Brazil,53,6,Morbidelli,Salo,,
Brazil,57,7,Blundell,Salo,,
Argentina,2,14,Morbidelli,Schiattarella,,
Argentina,2,18,Barrichello,Inoue,,
Argentina,3,15,Panis,Schiattarella,,
Argentina,3,17,Barrichello,Moreno,,
Argentina,3,18,Inoue,Moreno,,
Argentina,6,7,Herbert,Katayama,,
Argentina,7,4,Alesi,Salo,,
Argentina,7,8,Blundell,Katayama,,
Argentina,7,11,Berger,Suzuki,,
Argentina,9,9,Verstappen,Katayama,,
Argentina,9,10,Berger,Katayama,,
Argentina,9,16,Suzuki,Schiattarella,Yes,16
Argentina,9,17,Schiattarella,Moreno,,
Argentina,9,17,Suzuki,Moreno,Yes,8
Argentina,10,8,Berger,Verstappen,,
Argentina,11,1,Hill,Schumacher,Yes,1
Argentina,11,17,Inoue,Diniz,,
Argentina,16,2,Coulthard,Schumacher,Yes,1
Argentina,17,4,Herbert,Frentzen,,
Argentina,17,7,Morbidelli,Katayama,,
Argentina,18,17,Moreno,Diniz,,
Argentina,19,8,Salo,Katayama,,
Argentina,19,9,Barrichello,Katayama,,
Argentina,22,7,Salo,Morbidelli,,
Argentina,31,11,Berger,Martini,,
Argentina,32,9,Panis,Katayama,,
Argentina,60,10,Diniz,Moreno,,
San Marino,2,6,Barrichello,Hakkinen,,
San Marino,2,9,Katayama,Frentzen,,
San Marino,2,10,Katayama,Salo,,
San Marino,2,11,Katayama,Herbert,,
San Marino,2,11,Verstappen,Salo,,
San Marino,2,12,Verstappen,Herbert,,
San Marino,2,13,Mansell,Herbert,,
San Marino,2,15,Martini,Suzuki,,
San Marino,2,22,Moreno,Montermini,,
San Marino,2,23,Moreno,Inoue,,
San Marino,2,23,Diniz,Montermini,,
San Marino,2,24,Diniz,Inoue,,
San Marino,3,18,Suzuki,Schiattarella,,
San Marino,4,18,Schiattarella,Suzuki,,
San Marino,4,21,Montermini,Diniz,,
San Marino,5,10,Verstappen,Frentzen,,
San Marino,5,20,Montermini,Moreno,,
San Marino,5,23,Badoer,Inoue,,
San Marino,5,24,Wendlinger,Inoue,,
San Marino,7,16,Panis,Gachot,,
San Marino,7,20,Montermini,Moreno,,
San Marino,7,21,Badoer,Moreno,,
San Marino,7,22,Badoer,Diniz,,
San Marino,7,25,Morbidelli,Inoue,,
San Marino,8,9,Verstappen,Katayama,,
San Marino,9,22,Wendlinger,Diniz,,
San Marino,10,10,Salo,Barrichello,,
San Marino,10,23,Badoer,Diniz,,
San Marino,11,20,Wendlinger,Moreno,,
San Marino,12,20,Badoer,Moreno,,
San Marino,13,22,Morbidelli,Diniz,,
San Marino,13,23,Wendlinger,Diniz,,
San Marino,14,21,Morbidelli,Moreno,,
San Marino,15,12,Panis,Martini,,
San Marino,16,20,Wendlinger,Moreno,,
San Marino,17,16,Herbert,Suzuki,,
San Marino,20,13,Herbert,Schiattarella,,
San Marino,24,13,Suzuki,Gachot,,
