Race,Lap,Position,Overtaker,Overtakee,Live?,Turn
Bahrain,2,16,Buemi,Kovalainen,,
Bahrain,2,18,Kubica,Glock,,
Bahrain,2,19,Kubica,Di Grassi,,
Bahrain,2,20,Kubica,Trulli,Background,1
Bahrain,2,21,Sutil,Trulli,,
Bahrain,3,13,De La Rosa,Hulkenberg,Yes,1
Bahrain,3,16,Kubica,Kovalainen,,
Bahrain,4,18,Sutil,Glock,,
Bahrain,5,17,Sutil,Kovalainen,Yes,1
Bahrain,6,21,Hulkenberg,Senna,,
Bahrain,10,12,De La Rosa,Kobayashi,Replay,1
Bahrain,13,17,Glock,Kovalainen,Yes,4
Bahrain,13,19,Hulkenberg,Trulli,Replay,4
Bahrain,14,16,Kovalainen,Glock,,
Bahrain,14,17,Hulkenberg,Glock,,
Bahrain,17,10,Webber,Buemi,Yes,4
Bahrain,17,16,Hulkenberg,Kovalainen,Yes,4
Bahrain,19,5,Hamilton,Barrichello,Yes,1
Bahrain,22,9,Liuzzi,Buemi,Replay,1
Bahrain,23,10,Barrichello,Buemi,Yes,1
Bahrain,24,12,Kubica,De La Rosa,Replay,1
Bahrain,25,11,Kubica,Buemi,Yes,4
Bahrain,26,16,Hulkenberg,Kovalainen,Yes,12
Bahrain,34,1,Alonso,Vettel,Yes,14
Bahrain,35,2,Massa,Vettel,Yes,1
Bahrain,38,3,Hamilton,Vettel,Yes,1
Bahrain,41,16,Kovalainen,Trulli,,
Australia,5,16,Glock,Chandhok,,
Australia,5,16,Alonso,Glock,Yes,9
Australia,5,17,Alonso,Chandhok,,
Australia,5,17,Schumacher,Glock,Yes,14
Australia,5,17,Glock,Schumacher,Yes,15
Australia,5,18,Schumacher,Chandhok,,
Australia,5,19,Schumacher,Di Grassi,,
Australia,5,19,Di Grassi,Chandhok,,
Australia,6,2,Webber,Massa,Yes,6
Australia,6,6,Hamilton,Button,Yes,3
Australia,6,13,Alonso,Kovalainen,,
Australia,6,15,Schumacher,Glock,,
Australia,7,7,Barrichello,Sutil,,
Australia,7,8,Petrov,Sutil,,
