Race,Lap,Position,Overtaker,Overtakee,Live?,Turn
Australia,2,9,Verstappen,Irvine,,
Australia,2,11,De La Rosa,Fisichella,,
Australia,2,19,Alesi,Mazzacane,,
Australia,3,10,De La Rosa,Irvine,,
Australia,3,15,Wurz,Button,,
Australia,3,18,Alesi,Heidfeld,,
Australia,11,14,Alesi,Heidfeld,,
Australia,13,13,Alesi,Diniz,,
Australia,37,8,Salo,Zonta,,
Australia,38,8,Zonta,Salo,,
Australia,50,6,Salo,Zonta,Replay,13
Brazil,2,1,M.Schumacher,Hakkinen,Yes,1
Brazil,2,8,Trulli,Zonta,Background,2
Brazil,2,13,Alesi,Button,Background,2
Brazil,2,16,De La Rosa,Heidfeld,Background,1
Brazil,3,10,Verstappen,Villeneuve,Background,1
Brazil,3,12,Alesi,R.Schumacher,,
Brazil,4,7,Trulli,Frentzen,,
Brazil,4,9,Verstappen,Zonta,,
Brazil,4,11,Alesi,Villeneuve,,
Brazil,7,6,Trulli,Fisichella,Replay,1
Brazil,7,8,Verstappen,Frentzen,,
Brazil,9,10,Alesi,Zonta,,
Brazil,9,12,R.Schumacher,Villeneuve,,
Brazil,9,13,Button,Villeneuve,,
Brazil,11,7,Verstappen,Fisichella,,
Brazil,11,9,Alesi,Frentzen,,1
Brazil,15,2,Barrichello,Hakkinen,Yes,1
Brazil,15,14,De La Rosa,Herbert,,
Brazil,16,5,Trulli,Irvine,Replay,1
Brazil,28,9,De La Rosa,Button,,
Brazil,52,10,Zonta,Mazzacane,,
Brazil,56,7,Button,Verstappen,Replay,9
San Marino,10,13,Alesi,De La Rosa,Replay,Variante Alta
Great Britain,2,6,R.Schumacher,Villeneuve,Replay,Stowe
Great Britain,2,13,Salo,Alesi,,
Great Britain,2,16,Wurz,De La Rosa,,
Great Britain,2,17,De La Rosa,Diniz,,
Great Britain,2,17,Wurz,Diniz,,
Great Britain,2,18,Herbert,Diniz,,
Great Britain,5,15,Wurz,Zonta,,
Great Britain,31,1,Coulthard,Barrichello,Replay,Stowe
Great Britain,51,4,R.Schumacher,Frentzen,,
Great Britain,52,5,Button,Frentzen,Yes,Woodcote
Spain,2,12,Verstappen,Irvine,,
Spain,26,14,Trulli,Heidfeld,,
Spain,41,3,Coulthard,R.Schumacher,Buildup,2
Spain,48,2,Coulthard,M.Schumacher,Yes,1
Spain,50,3,Barrichello,R.Schumacher,Yes,11
Spain,50,4,Barrichello,M.Schumacher,Yes,11
Spain,50,4,R.Schumacher,M.Schumacher,Yes,11
Spain,61,13,Trulli,Herbert,,
Europe,2,9,De La Rosa,Verstappen,,
Europe,2,13,Alesi,Button,Background,1
Europe,3,14,Gene,Salo,Background (R),13
Europe,4,6,Fisichella,R.Schumacher,,
Europe,4,8,De La Rosa,Irvine,,
Europe,6,7,De La Rosa,R.Schumacher,,
