Race,Lap,Position,Overtaker,Overtakee,Live?,Turn
Australia,8,9,Alonso,Villeneuve,Yes,13
Australia,8,9,Villeneuve,Alonso,Yes,14
Australia,17,9,Alonso,Villeneuve,Replay,13
Australia,30,6,Alonso,Trulli,Replay,13
Australia,40,11,Button,Trulli,Yes,13
Australia,48,13,R.Schumacher,Villeneuve,,
Australia,54,12,R.Schumacher,Sato,,
Malaysia,2,6,Button,Raikkonen,Yes,2
Malaysia,2,18,Friesacher,Albers,,
Malaysia,9,16,Monteiro,Albers,Replay,4
Malaysia,32,4,R.Schumacher,Webber,Yes,15
Malaysia,32,4,Webber,R.Schumacher,Yes,15
Malaysia,32,5,Heidfeld,R.Schumacher,Yes,15
Malaysia,33,5,R.Schumacher,Heidfeld,Yes,2
Malaysia,33,5,Heidfeld,R.Schumacher,Yes,4
Malaysia,34,8,Coulthard,Barrichello,Yes,5
Malaysia,34,9,Klien,Barrichello,Yes,15
Malaysia,37,3,Webber,Fisichella,Yes,14
Malaysia,45,9,Raikkonen,Massa,Yes,15
Bahrain,2,9,Sato,De la Rosa,,
Bahrain,2,10,Sato,Button,,
Bahrain,2,11,Barrichello,Button,Yes,4
Bahrain,2,12,Barrichello,Massa,,
Bahrain,9,5,R.Schumacher,Heidfeld,Yes,4
Bahrain,10,15,Friesacher,Monteiro,,
Bahrain,33,7,De La Rosa,Button,Yes,1
Bahrain,41,6,De La Rosa,Barrichello,Yes,14
Bahrain,43,7,Massa,R.Schumacher,Replay,10
Bahrain,44,5,Button,Barrichello,Yes,4
Bahrain,51,7,Massa,Barrichello,Yes,1
Bahrain,55,5,De La Rosa,Webber,Yes,4
Bahrain,56,8,Coulthard,Barrichello,,
San Marino,2,17,Massa,Monteiro,,
San Marino,4,16,Massa,Karthikeyan,,
San Marino,22,4,Sato,Webber,Yes,Tamburello
San Marino,24,8,Liuzzi,Villeneuve,Yes,Tamburello
San Marino,25,8,Villeneuve,Liuzzi,,
San Marino,26,13,Massa,Karthikeyan,,
San Marino,30,7,Villeneuve,Webber,Yes,Variante Alta
San Marino,36,12,Massa,Coulthard,Replay,Rivazza
San Marino,47,1,Schumacher,Button,Yes,Variante Alta
Spain,3,7,Montoya,Schumacher,Yes,1
Spain,13,14,Monteiro,Karthikeyan,,
Spain,55,6,Heidfeld,Webber,,
Spain,64,5,Fisichella,Webber,Yes,1
Monaco,3,16,R.Schumacher,Monteiro,,
Monaco,4,15,R.Schumacher,Albers,,
Monaco,8,14,R.Schumacher,Friesacher,,
Monaco,56,12,Barrichello,Liuzzi,,
Monaco,61,7,Montoya,Massa,,
Monaco,64,5,Trulli,Fisichella,Yes,Loews
Monaco,64,6,Montoya,Fisichella,Yes,Loews
Monaco,64,7,R.Schumacher,Fisichella,Yes,Loews
Monaco,64,8,Barrichello,Fisichella,Yes,Portier
Monaco,64,9,Schumacher,Fisichella,Yes,Portier
Monaco,71,2,Heidfeld,Alonso,Yes,Chicane
Monaco,72,9,Massa,Fisichella,,
Monaco,74,3,Webber,Alonso,Yes,Chicane
Monaco,75,10,Trulli,Fisichella,,
Monaco,75,11,Villeneuve,Fisichella,,
Monaco,78,7,Schumacher,Barrichello,Replay,Chicane
Europe,2,10,Montoya,Monteiro,,
Europe,2,11,Montoya,Karthikeyan,,
Europe,2,12,Schumacher,Karthikeyan,,
Europe,2,12,Montoya,Villeneuve,,
Europe,2,13,Schumacher,Villeneuve,,
Europe,2,16,Fisichella,Albers,,
Europe,3,11,Schumacher,Monteiro,,
Europe,3,15,Fisichella,Friesacher,,
Europe,4,13,Fisichella,Karthikeyan,,
Europe,4,14,Fisichella,Villeneuve,,
Europe,5,12,Fisichella,Monteiro,,
Europe,6,8,Barrichello,Button,Yes,3
Europe,6,9,Montoya,Button,Yes,7
Europe,8,7,Barrichello,Liuzzi,Yes,15
Europe,10,16,Albers,Friesacher,,
Europe,11,10,Schumacher,Button,Yes,10
Europe,12,14,Villeneuve,Karthikeyan,,
Europe,12,17,Sato,Friesacher,,
Europe,13,16,Sato,Albers,,
Europe,13,18,R.Schumacher,Friesacher,,
Europe,15,17,R.Schumacher,Albers,Replay,1
Europe,22,6,Fisichella,Button,Yes,11
Europe,30,1,Heidfeld,Raikkonen,Replay,6
