Race,Lap,Position,Overtaker,Overtakee,Live,Turn
Australia,2,12,Hamilton,Bourdais,,
Australia,2,14,Trulli,Alonso,Yes,1
Australia,3,11,Hamilton,Fisichella,Yes,13
Australia,4,10,Hamilton,Buemi,Replay,3
Australia,4,13,Trulli,Bourdais,,
Australia,5,14,Alonso,Bourdais,Background,3
Australia,6,9,Hamilton,Piquet,Yes,13
Australia,6,15,Glock,Bourdais,,
Australia,10,5,Rosberg,Raikkonen,Yes,1
Australia,10,6,Barrichello,Raikkonen,Yes,4
Australia,17,12,Raikkonen,Rosberg,Yes,3
Australia,25,6,Trulli,Rosberg,,
Australia,25,7,Barrichello,Rosberg,,
Australia,25,8,Barrichello,Buemi,,
Australia,25,8,Buemi,Rosberg,,
Australia,25,10,Hamilton,Glock,Yes,11
Australia,25,11,Alonso,Glock,Yes,13
Australia,25,14,Sutil,Bourdais,,
Australia,25,15,Sutil,Heidfeld,,
Australia,28,13,Sutil,Fisichella,Replay,3
Australia,28,13,Fisichella,Sutil,Replay,4
Australia,29,13,Sutil,Fisichella,,
Australia,37,14,Heidfeld,Bourdais,,
Australia,40,6,Hamilton,Kubica,,
Australia,51,9,Buemi,Glock,Yes,3
Australia,51,9,Glock,Buemi,Yes,4
Australia,52,8,Glock,Alonso,Replay,4
Australia,53,4,Barrichello,Rosberg,Yes,9
Australia,54,5,Trulli,Rosberg,Yes,4
Australia,54,6,Hamilton,Rosberg,Yes,9
Australia,54,7,Glock,Rosberg,,
Australia,55,8,Alonso,Rosberg,,
Malaysia,4,4,Barrichello,Alonso,Yes,1
Malaysia,4,10,Vettel,Hamilton,Replay,9
Malaysia,5,16,Sutil,Fisichella,,
Malaysia,9,10,Hamilton,Heidfeld,Replay,5
Malaysia,11,5,Raikkonen,Alonso,Yes,5
Malaysia,12,6,Webber,Alonso,Yes,15
Malaysia,13,6,Alonso,Webber,Yes,1
Malaysia,13,6,Webber,Alonso,Yes,2
Malaysia,19,13,Glock,Raikkonen,Replay,14
Malaysia,19,14,Vettel,Raikkonen,Replay,14
Malaysia,19,16,Buemi,Fisichella,,
Malaysia,21,14,Buemi,Raikkonen,,
Malaysia,22,7,Piquet,Massa,,
Malaysia,23,6,Webber,Hamilton,Yes,11
Malaysia,24,6,Hamilton,Webber,Yes,1
Malaysia,24,6,Webber,Hamilton,Yes,7
Malaysia,24,6,Webber,Hamilton,Yes,15
Malaysia,24,9,Glock,Piquet,,
Malaysia,25,5,Webber,Heidfeld,Yes,15
Malaysia,25,6,Hamilton,Webber,Yes,1
Malaysia,25,6,Webber,Hamilton,Yes,4
Malaysia,25,8,Glock,Massa,,
Malaysia,26,6,Glock,Heidfeld,Yes,14
Malaysia,26,7,Glock,Hamilton,Yes,6
Malaysia,26,12,Alonso,Nakajima,,
Malaysia,27,2,Barrichello,Rosberg,Yes,15
Malaysia,27,3,Barrichello,Trulli,Yes,6
Malaysia,27,8,Massa,Hamilton,Replay,4
