Race,Lap,Position,Overtaker,Overtakee,Live?,Turn
Bahrain,2,5,Button,Barrichello,Yes,1
Bahrain,2,5,Barrichello,Button,Yes,4
Bahrain,2,8,Klien,Webber,,
Bahrain,2,14,Trulli,Speed,,
Bahrain,2,15,R.Schumacher,Speed,,
Bahrain,2,17,Heidfeld,Sato,,
Bahrain,2,18,Heidfeld,Ide,Background,1
Bahrain,2,19,Monteiro,Ide,,
Bahrain,3,10,Villeneuve,Coulthard,,
Bahrain,3,12,Raikkonen,Liuzzi,,
Bahrain,4,5,Button,Barrichello,Yes,1
Bahrain,4,7,Klien,Fisichella,Yes,1
Bahrain,4,11,Raikkonen,Coulthard,,
Bahrain,5,12,Liuzzi,Coulthard,Yes,1
Bahrain,5,16,Heidfeld,R.Schumacher,Yes,2
Bahrain,6,15,Heidfeld,Speed,,
Bahrain,8,14,Heidfeld,Trulli,,
Bahrain,10,7,Webber,Fisichella,Replay,11
Bahrain,10,20,Massa,Ide,,
Bahrain,11,3,Button,Montoya,Yes,1
Bahrain,11,15,R.Schumacher,Speed,Yes,14
Bahrain,12,18,Rosberg,Ide,,
Bahrain,14,12,Heidfeld,Coulthard,Yes,4
Bahrain,16,8,Raikkonen,Villeneuve,Yes,1
Bahrain,16,19,Massa,Sato,,
Bahrain,18,13,Fisichella,Speed,Replay,14
Bahrain,22,12,Heidfeld,Speed,,
Bahrain,23,11,Rosberg,Heidfeld,Replay,14
Bahrain,23,12,Rosberg,Speed,,
Bahrain,23,12,Heidfeld,Barrichello,,
Bahrain,23,13,Speed,Barrichello,,
Bahrain,23,13,Rosberg,Barrichello,,
Bahrain,24,14,R.Schumacher,Barrichello,,
Bahrain,26,14,Massa,Barrichello,,
Bahrain,29,3,Button,Montoya,Yes,1
Bahrain,29,13,Rosberg,Barrichello,,
Bahrain,29,15,Speed,Trulli,,
Bahrain,32,15,R.Schumacher,Trulli,Yes,1
Bahrain,34,12,Massa,Barrichello,,
Bahrain,35,13,Speed,Barrichello,,
Bahrain,37,9,Rosberg,Coulthard,Replay,1
Bahrain,40,12,Speed,Heidfeld,,
Bahrain,48,10,Massa,Liuzzi,Yes,1
