Race,Lap,Position,Overtaker,Overtakee,Live,Turn
Australia,2,5,Coulthard,Trulli,,3
Australia,2,6,Coulthard,R.Schumacher,,3
Australia,2,6,Trulli,R.Schumacher,,2
Australia,2,17,Bernoldi,Burti,,
Australia,3,8,Panis,Heidfeld,,
Australia,3,9,Verstappen,Heidfeld,,
Australia,3,19,Irvine,Marquez,,
Australia,16,8,Montoya,Fisichella,,
Australia,16,11,Raikkonen,Alesi,,3
Australia,16,12,Frentzen,Alesi,,9
Australia,16,13,Burti,Alesi,,
Australia,16,15,Irvine,Alonso,,
Australia,17,10,Raikkonen,Button,,3
Australia,25,9,Raikkonen,Fisichella,,3
Australia,25,10,Frentzen,Fisichella,,6
Australia,32,4,Panis,Trulli,Yes,13
Australia,33,5,Heidfeld,Trulli,Yes,1
Australia,33,6,Montoya,Trulli,Yes,3
Australia,34,2,Coulthard,Barrichello,Yes,3
Australia,48,10,Verstappen,Alesi,,
Malaysia,2,11,Fisichella,Button,,
Malaysia,2,16,R.Schumacher,Mazzacane,,
Malaysia,2,17,R.Schumacher,Irvine,,
Malaysia,2,18,R.Schumacher,Alonso,,
Malaysia,3,7,M.Schumacher,Hakkinen,,15
Malaysia,3,12,Bernoldi,Button,,1
Malaysia,3,15,R.Schumacher,Marquez,,
Malaysia,3,18,Montoya,Irvine,,
Malaysia,4,4,Verstappen,Frentzen,,1
Malaysia,11,2,Verstappen,Frentzen,Yes,15
Malaysia,11,5,R.Schumacher,Trulli,Background,15
Malaysia,11,6,R.Schumacher,Alesi,,4
Malaysia,11,7,R.Schumacher,Fisichella,,1
Malaysia,11,8,Barrichello,Fisichella,,
Malaysia,11,9,M.Schumacher,Fisichella,,
Malaysia,11,9,Barrichello,Mazzacane,,
Malaysia,11,10,M.Schumacher,Mazzacane,,9
Malaysia,11,11,Button,Mazzacane,,
Malaysia,12,3,Hakkinen,Frentzen,Yes,9
Malaysia,12,4,R.Schumacher,Frentzen,Yes,15
Malaysia,12,6,M.Schumacher,Barrichello,,9
Malaysia,12,7,M.Schumacher,Trulli,Background,11
Malaysia,12,7,Barrichello,Alesi,,1
Malaysia,12,7,Barrichello,Trulli,,12
Malaysia,12,8,M.Schumacher,Alesi,,2
Malaysia,12,9,Fisichella,Alesi,,
Malaysia,12,10,Button,Alesi,,
Malaysia,12,12,Burti,Mazzacane,,
