Race,Lap,Position,Overtaker,Overtakee,Live,Turn
Australia,2,8,Alonso,Kobayashi,Yes,11
Australia,2,17,Barrichello,Trulli,,
Australia,2,18,Barrichello,D'Ambrosio,,
Australia,2,19,Barrichello,Glock,Background,1
Australia,3,15,Barrichello,Kovalainen,,
Australia,3,16,Barrichello,Maldonado,,
Australia,5,7,Alonso,Rosberg,,
Australia,5,16,Maldonado,Kovalainen,,
Australia,6,14,Barrichello,Perez,,
Australia,7,10,Buemi,Di Resta,Replay,13
Australia,7,19,Alguersuari,D'Ambrosio,,
Australia,7,20,Alguersuari,Glock,,
Australia,8,18,Alguersuari,Trulli,,
Australia,8,20,Glock,D'Ambrosio,,
Australia,9,15,Maldonado,Perez,,
Australia,11,6,Alonso,Massa,Yes,14
Australia,12,16,Alguersuari,Kovalainen,,
Australia,13,12,Barrichello,Heidfeld,,
Australia,14,10,Alonso,Heidfeld,,
Australia,15,6,Webber,Kobayashi,,
Australia,16,3,Vettel,Button,Yes,4
Australia,17,11,Barrichello,Kovalainen,Replay,2
Australia,17,12,Buemi,Sutil,Replay,5
Australia,17,13,Di Resta,Sutil,,
Australia,21,9,Barrichello,Kobayashi,Replay,3
Australia,23,8,Button,Buemi,,
Australia,25,7,Button,Kobayashi,Yes,1
Australia,36,9,Perez,Di Resta,,
Australia,48,6,Button,Massa,Yes,1
Australia,49,13,Alguersuari,Heidfeld,,
Australia,54,9,Massa,Buemi,Yes,1
Malaysia,2,13,Di Resta,Rosberg,Yes,5
Malaysia,2,13,Rosberg,Di Resta,Yes,6
Malaysia,2,20,Trulli,Glock,,
Malaysia,3,9,Kobayashi,Webber,,
Malaysia,5,5,Massa,Petrov,Yes,1
Malaysia,6,9,Webber,Kobayashi,Yes,14
Malaysia,7,9,Kobayashi,Webber,Yes,1
Malaysia,8,9,Webber,Kobayashi,Replay,2
Malaysia,8,9,Kobayashi,Webber,Replay,4
Malaysia,8,11,Buemi,Alguersuari,,
Malaysia,9,21,Sutil,Karthikeyan,,
Malaysia,10,20,Sutil,Liuzzi,,
Malaysia,12,15,Webber,Trulli,,
Malaysia,12,19,Sutil,D'Ambrosio,,
Malaysia,13,7,Kobayashi,Schumacher,Yes,1
Malaysia,13,14,Webber,Kovalainen,,
Malaysia,13,17,Di Resta,Glock,,
Malaysia,13,18,Sutil,Glock,,
Malaysia,14,5,Buemi,Schumacher,Yes,15
Malaysia,14,5,Hamilton,Buemi,Yes,15
