Race,Lap,Position,Overtaker,Overtakee,Live?,Turn
Australia,2,7,Trulli,Villeneuve,,
Australia,2,14,Wurz,Zanardi,,
Australia,2,15,M.Schumacher,Zanardi,,
Australia,2,16,M.Schumacher,Panis,,
Australia,2,16,Barrichello,Panis,,
Australia,2,17,Barrichello,Zanardi,,
Australia,2,17,Panis,Zanardi,,
Australia,2,18,Barrichello,Gene,,
Australia,3,11,De La Rosa,Badoer,,
Australia,4,14,M.Schumacher,Wurz,,
Australia,5,12,Takagi,Badoer,,
Australia,5,13,M.Schumacher,Badoer,,
Australia,6,12,M.Schumacher,Takagi,,
Australia,6,14,Wurz,Badoer,,
Australia,6,15,Barrichello,Badoer,,
Australia,7,14,Barrichello,Wurz,,
Australia,8,13,Barrichello,Takagi,,
Australia,8,16,Panis,Badoer,,
Australia,9,11,M.Schumacher,De La Rosa,,
Australia,9,17,Zanardi,Badoer,,
Australia,12,12,Barrichello,De La Rosa,,
Australia,18,2,R.Schumacher,Frentzen,Yes,1
Australia,18,2,Frentzen,R.Schumacher,Yes,3
Australia,18,3,Trulli,R.Schumacher,Yes,9
Australia,18,4,Trulli,Fisichella,Yes,1
Australia,18,7,Diniz,De La Rosa,Background,9
Australia,18,7,Barrichello,De La Rosa,,
Australia,18,9,Wurz,Takagi,,
Australia,18,10,Zonta,Takagi,,
Australia,18,11,Zonta,Panis,,
Australia,18,13,Zanardi,Gene,,
Australia,20,6,Barrichello,Diniz,,
Australia,21,8,Wurz,De La Rosa,,
Australia,21,9,Zonta,De La Rosa,,
Australia,21,11,Panis,Takagi,,
Australia,22,8,Takagi,Panis,,
Australia,26,8,Barrichello,Takagi,,
Australia,26,9,Barrichello,Badoer,,
Australia,27,5,Barrichello,Zonta,,
Australia,27,9,Fisichella,De La Rosa,,
Australia,28,7,Fisichella,Badoer,,
Australia,31,5,Fisichella,Takagi,,
Australia,40,7,Barrichello,Zonta,,
Australia,41,6,Barrichello,Takagi,Yes,3
Australia,43,5,Barrichello,De La Rosa,Background,3
Australia,44,7,Zonta,Takagi,,
Brazil,2,14,Zanardi,Sarrazin,,
Brazil,2,15,De La Rosa,Sarrazin,,
Brazil,2,16,Gene,Sarrazin,,
Brazil,2,17,Takagi,Sarrazin,,
Brazil,2,18,Villeneuve,Sarrazin,,
Brazil,3,14,Villeneuve,De La Rosa,,
Brazil,3,15,Villeneuve,Gene,,
Brazil,3,16,Villeneuve,Takagi,Replay,1
Brazil,4,16,Alesi,Gene,,
Brazil,4,17,Alesi,Takagi,,
Brazil,5,15,Alesi,De La Rosa,,
Brazil,6,13,Alesi,Diniz,,
Brazil,6,14,Alesi,Villeneuve,,
Brazil,7,15,Zanardi,De La Rosa,,
Brazil,7,16,Zanardi,Gene,,
Brazil,7,17,Zanardi,Villeneuve,,
Brazil,7,18,Zanardi,Takagi,,
Brazil,7,19,Sarrazin,Takagi,,
Brazil,9,12,Alesi,Trulli,,
Brazil,9,14,Zanardi,Diniz,,
Brazil,10,9,Alesi,R.Schumacher,Yes,4
Brazil,10,16,Villeneuve,Gene,,
Brazil,13,15,Sarrazin,Gene,,
Brazil,15,15,Panis,Gene,,
Brazil,15,16,Panis,Takagi,,
Brazil,19,6,Alesi,Frentzen,,
Brazil,19,13,Panis,Sarrazin,,
Brazil,21,5,Alesi,Fisichella,,
Brazil,22,11,Panis,Villeneuve,,
Brazil,23,10,Panis,De La Rosa,,
Brazil,32,12,Panis,Gene,,
Brazil,34,9,Villeneuve,De La Rosa,,
Brazil,36,3,Barrichello,Irvine,Yes,1
Brazil,44,10,Gene,Takagi,Background,4
San Marino,4,12,Diniz,Fisichella,Replay,Tamburello
San Marino,5,14,Panis,Salo,Yes,Tamburello
San Marino,6,15,Takagi,Salo,Yes,Tamburello
San Marino,18,12,Alesi,Salo,,
San Marino,20,9,Diniz,Zanardi,,
San Marino,27,10,Alesi,Fisichella,Replay,Tosa
San Marino,32,10,Alesi,Diniz,,
Monaco,4,14,Alesi,Diniz,,
Monaco,13,19,R.Schumacher,De La Rosa,,
Monaco,16,18,R.Schumacher,Gene,,
Monaco,34,10,Alesi,Salo,Yes,Loews
Monaco,43,7,Wurz,Fisichella,Yes,St Devote
Spain,4,16,Salo,Wurz,,
Spain,16,14,Zanardi,Fisichella,,
Spain,21,17,Wurz,Takagi,,
Spain,24,8,Irvine,Barrichello,,
Spain,63,7,Hill,Barrichello,Background,5
Canada,3,4,Coulthard,Fisichella,Yes,13
Canada,12,15,Panis,Gene,,
Canada,13,16,Zanardi,Gene,,
Canada,14,13,Takagi,Badoer,,
Canada,27,13,Zanardi,Panis,,
Canada,41,4,R.Schumacher,Diniz,Background,1
Canada,41,5,Herbert,Diniz,,
Canada,41,7,Zanardi,Takagi,,
Canada,41,8,Irvine,Takagi,,
Canada,42,10,Panis,Badoer,,
Canada,43,2,Frentzen,Fisichella,Yes,14
Canada,43,7,Irvine,Zanardi,,
Canada,47,6,Irvine,Diniz,Yes,1
Canada,53,5,Irvine,Herbert,Yes,13
Canada,58,4,Irvine,R.Schumacher,Yes,13
France,2,2,Coulthard,Alesi,Yes,Adelaide
France,2,8,Hakkinen,Fisichella,,
France,2,12,R.Schumacher,Villeneuve,,
France,2,14,Zanardi,Zonta,,
France,2,21,Gene,Badoer,,
France,3,7,Hakkinen,Trulli,,
France,4,20,Badoer,Gene,,
France,5,6,Hakkinen,Panis,Yes,Adelaide
France,6,1,Coulthard,Barrichello,Yes,Adelaide
