Race,Lap,Position,Overtaker,Overtakee,Live?,Turn
Australia,4,5,Hamilton,Massa,Yes,4
Australia,5,8,Ricciardo,Hulkenberg,Replay,3
Australia,5,16,Bottas,Nasr,,
Australia,9,14,Bottas,Ericsson,Yes,1
Australia,10,6,Ricciardo,Massa,Yes,1
Australia,10,13,Bottas,Wehrlein,,
Australia,10,16,Grosjean,Nasr,,
Australia,10,18,Sainz,Haryanto,,
Australia,10,19,Sainz,Gutierrez,,
Australia,10,19,Gutierrez,Haryanto,,
Australia,12,11,Bottas,Palmer,Yes,9
Australia,12,13,Sainz,Grosjean,,
Australia,13,12,Massa,Grosjean,,
Australia,14,7,Ricciardo,Button,Yes,13
Australia,14,8,Ricciardo,Bottas,,
Australia,14,9,Verstappen,Bottas,Yes,14
Australia,14,10,Sainz,Bottas,Yes,15
Australia,15,8,Verstappen,Button,Yes,3
Australia,15,9,Sainz,Button,Yes,9
Australia,15,11,Massa,Bottas,,
Australia,16,2,Vettel,Hamilton,Yes,3
Australia,16,6,Ricciardo,Perez,,
Australia,17,15,Button,Nasr,,
Australia,20,14,Button,Ericsson,,
Australia,21,13,Button,Perez,Replay,3
Australia,21,17,Magnussen,Wehrlein,,
Australia,25,15,Magnussen,Nasr,,
Australia,25,16,Wehrlein,Nasr,,
Australia,28,12,Perez,Button,,
Australia,33,10,Sainz,Perez,Yes,9
Australia,34,11,Verstappen,Perez,,
Australia,42,2,Hamilton,Ricciardo,Yes,1
Australia,42,9,Sainz,Palmer,Yes,1
Australia,42,10,Verstappen,Palmer,Yes,3
Australia,46,4,Ricciardo,Massa,Yes,1
Australia,55,12,Magnussen,Perez,,
Australia,55,14,Button,Nasr,,
Bahrain,2,14,Kvyat,Wehrlein,Yes,12
Bahrain,2,17,Nasr,Ericsson,Yes,5
Bahrain,2,18,Nasr,Haryanto,Background,1
Bahrain,2,19,Magnussen,Haryanto,Yes,3
Bahrain,4,6,Hamilton,Grosjean,Replay,1
Bahrain,6,4,Raikkonen,Ricciardo,Yes,4
Bahrain,7,3,Raikkonen,Bottas,Yes,2
Bahrain,8,3,Hamilton,Bottas,Yes,1
Bahrain,8,14,Ricciardo,Magnussen,,
Bahrain,8,15,Ricciardo,Haryanto,,
Bahrain,8,17,Perez,Hulkenberg,,
Bahrain,10,8,Massa,Nasr,Yes,4
Bahrain,10,9,Massa,Ericsson,Yes,1
Bahrain,10,9,Ricciardo,Nasr,Yes,8
Bahrain,10,10,Ricciardo,Ericsson,Yes,4
Bahrain,11,13,Verstappen,Hulkenberg,Yes,1
Bahrain,11,14,Vandoorne,Hulkenberg,Yes,5
Bahrain,12,9,Grosjean,Haryanto,Background,8
Bahrain,12,10,Verstappen,Haryanto,Background,11
Bahrain,12,11,Verstappen,Perez,Yes,1
Bahrain,12,12,Vandoorne,Perez,Yes,12
Bahrain,13,4,Ricciardo,Massa,Yes,1
Bahrain,13,4,Raikkonen,Ricciardo,Aftermath,9
Bahrain,13,5,Raikkonen,Massa,Yes,4
Bahrain,14,2,Raikkonen,Kvyat,Yes,4
Bahrain,14,11,Bottas,Hulkenberg,Yes,11
Bahrain,15,3,Ricciardo,Kvyat,Yes,1
Bahrain,15,4,Hamilton,Kvyat,,
Bahrain,15,5,Hamilton,Massa,Yes,1
Bahrain,15,11,Nasr,Hulkenberg,,
Bahrain,15,12,Wehrlein,Hulkenberg,,
Bahrain,15,13,Ericsson,Hulkenberg,,
Bahrain,16,5,Massa,Kvyat,Yes,1
Bahrain,16,6,Grosjean,Kvyat,,
Bahrain,16,12,Ericsson,Wehrlein,,
Bahrain,16,14,Magnussen,Hulkenberg,,
Bahrain,17,3,Hamilton,Ricciardo,Yes,1
Bahrain,17,5,Grosjean,Massa,Yes,11
Bahrain,18,13,Kvyat,Magnussen,,1
Bahrain,19,10,Ericsson,Nasr,Replay,1
Bahrain,19,12,Kvyat,Wehrlein,,
Bahrain,20,6,Verstappen,Massa,Yes,1
Bahrain,20,11,Kvyat,Nasr,Replay,1
Bahrain,21,10,Kvyat,Ericsson,Yes,1
Bahrain,22,15,Perez,Haryanto,,
Bahrain,24,4,Grosjean,Ricciardo,Yes,4
Bahrain,24,9,Kvyat,Bottas,,
Bahrain,25,10,Ricciardo,Ericsson,,11
Bahrain,26,8,Ricciardo,Bottas,Yes,8
Bahrain,26,14,Vandoorne,Haryanto,,
Bahrain,27,12,Perez,Wehrlein,Yes,1
Bahrain,28,5,Ricciardo,Kvyat,Yes,1
Bahrain,28,9,Verstappen,Ericsson,,
Bahrain,28,12,Vandoorne,Perez,,
Bahrain,28,13,Vandoorne,Wehrlein,,
Bahrain,29,4,Ricciardo,Massa,Yes,11
Bahrain,29,7,Grosjean,Bottas,Yes,1
Bahrain,29,8,Verstappen,Bottas,Yes,1
Bahrain,29,11,Vandoorne,Nasr,,
Bahrain,29,15,Hulkenberg,Haryanto,,
Bahrain,29,16,Magnussen,Haryanto,,
Bahrain,31,12,Magnussen,Hulkenberg,,
Bahrain,33,5,Grosjean,Kvyat,Yes,1
Bahrain,34,6,Verstappen,Kvyat,Replay,4
Bahrain,34,11,Magnussen,Perez,Yes,1
Bahrain,35,7,Massa,Vandoorne,Yes,1
Bahrain,35,11,Hulkenberg,Perez,Yes,5
Bahrain,35,12,Ericsson,Perez,Yes,7
Bahrain,36,12,Wehrlein,Perez,Yes,1
Bahrain,36,13,Bottas,Perez,Background,10
Bahrain,37,12,Bottas,Wehrlein,Yes,11
Bahrain,37,14,Nasr,Perez,,
Bahrain,39,8,Kvyat,Vandoorne,Yes,11
Bahrain,39,10,Bottas,Ericsson,,
Bahrain,40,16,Perez,Haryanto,,
Bahrain,41,8,Grosjean,Vandoorne,Yes,1
Bahrain,42,11,Vandoorne,Nasr,Yes,11
Bahrain,43,15,Wehrlein,Perez,,
Bahrain,44,12,Magnussen,Nasr,Yes,1
Bahrain,45,10,Vandoorne,Ericsson,Yes,1
Bahrain,46,6,Grosjean,Massa,Yes,1
