Race,Lap,Position,Overtaker,Overtakee,Live?,Turn
Australia,2,4,Hulkenberg,Hamilton,Yes,11
Australia,3,6,Raikkonen,Vergne,Yes,11
Australia,3,8,Bottas,Kvyat,Yes,13
Australia,5,7,Bottas,Vergne,Yes,4
Australia,5,11,Ericsson,Sutil,,
Australia,6,11,Sutil,Ericsson,,
Australia,8,6,Bottas,Raikkonen,Yes,4
Australia,8,12,Maldonado,Ericsson,,
Australia,9,14,Grosjean,Chilton,,
Australia,16,12,Grosjean,Ericsson,,
Australia,16,14,Bottas,Chilton,,
Australia,16,15,Bottas,Gutierrez,Yes,1
Australia,16,15,Perez,Chilton,,
Australia,16,16,Perez,Gutierrez,,
Australia,16,16,Gutierrez,Chilton,,
Australia,17,9,Kvyat,Sutil,,
Australia,17,12,Bottas,Grosjean,,
Australia,17,13,Bottas,Ericsson,,
Australia,17,14,Perez,Ericsson,,
Australia,18,11,Bottas,Maldonado,Replay,9
Australia,19,10,Bottas,Sutil,,
Australia,19,15,Gutierrez,Ericsson,,
Australia,20,13,Perez,Grosjean,Replay,13
Australia,21,12,Perez,Maldonado,,
Australia,23,13,Grosjean,Maldonado,Replay,1
Australia,25,9,Bottas,Kvyat,Yes,1
Australia,28,13,Gutierrez,Maldonado,,
Australia,46,7,Bottas,Vergne,Yes,Finish Line
Australia,52,6,Bottas,Hulkenberg,Replay,1
Australia,53,8,Raikkonen,Vergne,Replay,14
Malaysia,2,11,Bottas,Gutierrez,,
Malaysia,3,7,Button,Magnussen,Yes,1
Malaysia,3,8,Massa,Magnussen,Yes,15
Malaysia,4,3,Vettel,Ricciardo,Yes,1
Malaysia,4,8,Magnussen,Massa,Yes,1
Malaysia,5,11,Kvyat,Gutierrez,Yes,1
Malaysia,12,9,Alonso,Grosjean,Yes,4
Malaysia,13,7,Ricciardo,Alonso,Yes,3
Malaysia,14,4,Vettel,Bottas,Yes,4
Malaysia,14,5,Ricciardo,Bottas,Yes,5
Malaysia,14,6,Alonso,Bottas,Yes,11
Malaysia,14,8,Button,Kobayashi,,
Malaysia,14,10,Massa,Kvyat,,
Malaysia,15,8,Massa,Kobayashi,,
Malaysia,16,1,Hamilton,Hulkenberg,Yes,11
Malaysia,16,10,Bottas,Magnussen,,
Malaysia,16,17,Ericsson,Vergne,,
Malaysia,17,18,Raikkonen,Vergne,Yes,1
Malaysia,18,17,Raikkonen,Ericsson,Yes,1
Malaysia,19,13,Sutil,Gutierrez,,
Malaysia,21,9,Bottas,Kvyat,Yes,1
Malaysia,25,14,Sutil,Chilton,Yes,4
Malaysia,25,16,Gutierrez,Ericsson,Yes,15
Malaysia,26,15,Gutierrez,Chilton,Yes,4
Malaysia,26,17,Raikkonen,Ericsson,Yes,12
Malaysia,27,10,Kvyat,Kobayashi,Yes,1
Malaysia,27,16,Raikkonen,Chilton,,
Malaysia,28,11,Magnussen,Kobayashi,Yes,Finish Line
Malaysia,31,10,Magnussen,Kvyat,,
Malaysia,31,12,Grosjean,Kobayashi,Yes,1
Malaysia,38,13,Raikkonen,Kobayashi,,
Malaysia,46,15,Ricciardo,Chilton,Yes,4
Malaysia,53,4,Alonso,Hulkenberg,Yes,3
Bahrain,2,18,Grosjean,Kobayashi,Yes,1
Bahrain,3,17,Grosjean,Ericsson,Yes,1
Bahrain,4,16,Grosjean,Bianchi,,
Bahrain,5,7,Hulkenberg,Alonso,Replay,1
Bahrain,5,18,Kobayashi,Ericsson,,
Bahrain,6,14,Maldonado,Gutierrez,Replay,4
Bahrain,10,5,Button,Bottas,Yes,2
Bahrain,10,6,Hulkenberg,Bottas,Yes,4
Bahrain,10,17,Kobayashi,Bianchi,,
Bahrain,11,10,Ricciardo,Magnussen,Yes,12
Bahrain,12,3,Perez,Massa,Yes,6
Bahrain,12,15,Bottas,Kobayashi,,
Bahrain,13,14,Alonso,Kobayashi,,
Bahrain,14,13,Kvyat,Kobayashi,Yes,1
Bahrain,14,14,Raikkonen,Kobayashi,,
Bahrain,15,8,Bottas,Maldonado,,
Bahrain,16,8,Massa,Maldonado,,
Bahrain,16,11,Hulkenberg,Kvyat,Yes,11
Bahrain,16,12,Hulkenberg,Raikkonen,Yes,9
Bahrain,16,20,Vergne,Bianchi,,
Bahrain,17,7,Alonso,Maldonado,Yes,1
Bahrain,17,8,Hulkenberg,Maldonado,,
Bahrain,17,9,Perez,Maldonado,,
Bahrain,17,11,Raikkonen,Kvyat,Background,1
Bahrain,18,1,Rosberg,Hamilton,Yes,1
Bahrain,18,1,Hamilton,Rosberg,Yes,1
Bahrain,18,9,Raikkonen,Maldonado,,
Bahrain,19,1,Rosberg,Hamilton,Yes,2
Bahrain,19,1,Hamilton,Rosberg,Yes,6
Bahrain,19,5,Hulkenberg,Alonso,,
Bahrain,19,6,Perez,Alonso,Replay,4
Bahrain,19,9,Button,Kvyat,,
Bahrain,19,10,Vettel,Kvyat,,
Bahrain,19,15,Grosjean,Gutierrez,,
Bahrain,19,17,Chilton,Ericsson,,
Bahrain,20,18,Kobayashi,Ericsson,,
Bahrain,21,8,Button,Raikkonen,Yes,1
Bahrain,21,11,Ricciardo,Kvyat,,
Bahrain,21,17,Kobayashi,Chilton,,
Bahrain,24,9,Vettel,Raikkonen,Yes,14
Bahrain,26,4,Perez,Hulkenberg,Yes,6
Bahrain,26,13,Maldonado,Gutierrez,,
Bahrain,27,6,Button,Alonso,,
Bahrain,28,3,Perez,Massa,Yes,6
Bahrain,28,4,Hulkenberg,Massa,Yes,9
Bahrain,31,8,Bottas,Ricciardo,Yes,1
Bahrain,31,16,Gutierrez,Kobayashi,,
Bahrain,32,7,Ricciardo,Raikkonen,Yes,6
Bahrain,32,8,Bottas,Raikkonen,Yes,11
Bahrain,33,9,Massa,Raikkonen,Yes,11
Bahrain,34,7,Bottas,Ricciardo,Yes,1
Bahrain,35,6,Massa,Ricciardo,Yes,1
Bahrain,35,8,Perez,Alonso,Yes,11
Bahrain,36,9,Vettel,Maldonado,Yes,11
Bahrain,36,10,Vettel,Magnussen,Yes,1
Bahrain,37,6,Hulkenberg,Alonso,Yes,11
Bahrain,37,10,Ricciardo,Maldonado,,
Bahrain,37,11,Ricciardo,Magnussen,Yes,11
Bahrain,37,12,Ricciardo,Raikkonen,Yes,4
Bahrain,39,11,Raikkonen,Maldonado,Yes,11
Bahrain,47,5,Vettel,Button,Yes,11
Bahrain,47,6,Ricciardo,Button,Yes,12
Bahrain,47,15,Chilton,Kobayashi,Background,8
Bahrain,48,7,Massa,Button,Yes,1
Bahrain,48,8,Bottas,Button,Yes,6
Bahrain,50,5,Ricciardo,Vettel,Yes,1
Bahrain,50,9,Alonso,Button,,
Bahrain,51,10,Raikkonen,Button,,
Bahrain,53,1,Rosberg,Hamilton,Yes,1
Bahrain,53,1,Hamilton,Rosberg,Yes,1
Bahrain,53,4,Ricciardo,Hulkenberg,Yes,11
Bahrain,54,15,Maldonado,Kobayashi,,
Bahrain,56,6,Massa,Vettel,Yes,4
Bahrain,56,6,Vettel,Massa,Yes,4
China,2,9,Bottas,Raikkonen,Yes,1
China,2,12,Perez,Vergne,Yes,1
China,3,8,Bottas,Grosjean,Yes,1
China,3,13,Button,Vergne,Yes,2
China,4,5,Rosberg,Massa,Replay,14
China,9,20,Button,Ericsson,,
China,10,17,Grosjean,Bianchi,,
China,11,15,Raikkonen,Bianchi,,
China,11,17,Button,Chilton,,
China,11,18,Perez,Chilton,,
China,12,6,Alonso,Kvyat,,
China,12,10,Hulkenberg,Magnussen,,
China,13,5,Vettel,Kvyat,Yes,2
China,13,8,Hulkenberg,Gutierrez,,
China,13,10,Bottas,Magnussen,,
China,13,12,Raikkonen,Grosjean,Replay,14
China,14,5,Rosberg,Vergne,,
China,14,9,Bottas,Gutierrez,Replay,14
China,14,14,Perez,Button,Replay,14
China,15,6,Hulkenberg,Vergne,,
China,16,8,Raikkonen,Magnussen,Yes,6
China,16,9,Grosjean,Magnussen,Yes,14
China,16,20,Massa,Ericsson,,
China,17,16,Maldonado,Kobayashi,,
China,18,15,Magnussen,Maldonado,Replay,14
China,18,16,Magnussen,Kobayashi,Replay,9
China,20,19,Massa,Chilton,,
China,21,11,Kvyat,Button,,
China,22,3,Rosberg,Vettel,Yes,16
China,23,9,Perez,Grosjean,,
China,24,12,Vergne,Button,,
China,26,4,Ricciardo,Vettel,Yes,1
China,27,14,Magnussen,Gutierrez,Yes,1
China,29,16,Gutierrez,Massa,,
China,31,11,Perez,Magnussen,,
China,32,8,Raikkonen,Vergne,Replay,14
China,32,11,Kvyat,Button,,
China,32,18,Massa,Bianchi,,
China,36,16,Massa,Kobayashi,,
China,37,14,Maldonado,Gutierrez,Yes,14
China,42,2,Rosberg,Alonso,Yes,14
China,42,18,Kobayashi,Chilton,,
Spain,2,17,Vergne,Bianchi,,
Spain,2,18,Vergne,Kobayashi,,
Spain,4,19,Maldonado,Kobayashi,,
Spain,8,11,Kvyat,Gutierrez,Replay,4
Spain,8,18,Maldonado,Bianchi,,
Spain,9,12,Button,Gutierrez,Yes,1
Spain,9,13,Vettel,Gutierrez,Yes,11
Spain,14,13,Magnussen,Gutierrez,Replay,1
Spain,14,19,Vettel,Kobayashi,Replay,10
Spain,14,20,Vettel,Chilton,,
Spain,16,9,Ricciardo,Button,Replay,1
Spain,16,17,Vettel,Bianchi,,
Spain,17,7,Ricciardo,Kvyat,Yes,1
Spain,17,12,Grosjean,Sutil,Yes,1
Spain,18,4,Ricciardo,Perez,Yes,4
Spain,18,8,Grosjean,Gutierrez,,
Spain,18,18,Vergne,Ericsson,,
Spain,18,19,Maldonado,Ericsson,,
Spain,18,20,Sutil,Ericsson,,
Spain,19,13,Button,Bianchi,,
Spain,19,14,Kvyat,Bianchi,,
Spain,21,14,Magnussen,Bianchi,,
Spain,21,16,Vergne,Kobayashi,,
Spain,22,16,Gutierrez,Kobayashi,Replay,1
Spain,22,17,Maldonado,Kobayashi,,
Spain,23,18,Sutil,Kobayashi,,
Spain,25,5,Raikkonen,Grosjean,Yes,1
Spain,26,6,Alonso,Grosjean,Yes,1
Spain,29,15,Maldonado,Gutierrez,Replay,10
Spain,37,7,Alonso,Magnussen,Yes,1
Spain,37,8,Vettel,Magnussen,Replay,10
Spain,37,9,Vettel,Massa,Yes,5
Spain,37,16,Sutil,Gutierrez,,
Spain,39,19,Chilton,Ericsson,,
Spain,40,8,Massa,Magnussen,Yes,1
Spain,51,9,Perez,Hulkenberg,Replay,1
Spain,51,12,Magnussen,Kvyat,Yes,1
Spain,56,5,Vettel,Raikkonen,Yes,10
Spain,58,15,Kvyat,Sutil,,
Spain,63,4,Vettel,Bottas,Yes,10
Spain,63,6,Alonso,Raikkonen,Yes,4
Spain,63,14,Kvyat,Maldonado,,
Spain,65,16,Gutierrez,Sutil,,
Monaco,9,18,Sutil,Grosjean,Replay,Loews
Monaco,11,16,Sutil,Ericsson,Replay,Loews
Monaco,16,15,Sutil,Chilton,Yes,Chicane
Monaco,32,7,Hulkenberg,Magnussen,Yes,Portier
Monaco,35,12,Raikkonen,Kobayashi,,
Monaco,35,13,Bianchi,Kobayashi,Yes,Tabac
Monaco,39,14,Grosjean,Kobayashi,Replay,Chicane
Monaco,39,15,Ericsson,Kobayashi,,
Monaco,55,8,Gutierrez,Bottas,Replay,Chicane
Monaco,72,6,Button,Magnussen,Yes,St Devote
Canada,8,10,Perez,Button,Yes,13
Canada,10,2,Hamilton,Vettel,Yes,13
