Race,Lap,Position,Overtaker,Overtakee,Live?,Turn
Australia,6,3,M.Schumacher,Montoya,Yes,3
Australia,6,9,Raikkonen,Villeneuve,,
Australia,6,10,Raikkonen,Yoong,,9
Australia,6,10,Villeneuve,Yoong,,
Australia,7,6,Sato,De La Rosa,,
Australia,7,8,Raikkonen,Webber,,
Australia,8,7,Raikkonen,De La Rosa,,3
Australia,8,9,Villeneuve,Webber,,
Australia,9,5,Raikkonen,Sato,,
Australia,12,1,Montoya,M.Schumacher,Yes,1
Australia,12,3,Raikkonen,Irvine,,
Australia,12,4,Coulthard,Irvine,,
Australia,12,8,Villeneuve,Yoong,Buildup Bkgd R,1
Australia,17,1,M.Schumacher,Montoya,Yes,2
Australia,19,7,Villeneuve,Yoong,,
Australia,38,6,Salo,Yoong,,
Malaysia,2,8,Salo,Fisichella,,
Malaysia,2,11,McNish,Massa,,
Malaysia,2,14,Panis,De La Rosa,,
Malaysia,3,7,Montoya,Trulli,,
Malaysia,3,8,Montoya,Salo,,
Malaysia,4,8,Salo,Trulli,,
Malaysia,6,10,McNish,Bernoldi,,
Malaysia,7,6,Montoya,Button,Yes,1
Malaysia,7,9,McNish,Trulli,,
Malaysia,7,17,M.Schumacher,Webber,,
Malaysia,8,16,M.Schumacher,Yoong,,
Malaysia,10,13,M.Schumacher,Irvine,,
Malaysia,12,12,M.Schumacher,Villeneuve,,
Malaysia,13,4,Heidfeld,Coulthard,,
Malaysia,14,11,M.Schumacher,Massa,Yes,15
Malaysia,15,7,Montoya,McNish,,
Malaysia,16,9,M.Schumacher,Bernoldi,Yes,1
Malaysia,16,9,Bernoldi,M.Schumacher,Yes,4
Malaysia,16,9,M.Schumacher,Bernoldi,Yes,15
Malaysia,20,5,Montoya,Salo,,
Malaysia,22,9,M.Schumacher,Villeneuve,,
Malaysia,22,10,M.Schumacher,Irvine,,
Malaysia,27,4,Montoya,Heidfeld,,
Malaysia,32,10,De La Rosa,Webber,,
Malaysia,36,5,M.Schumacher,Heidfeld,Yes,1
Malaysia,37,4,M.Schumacher,Button,,
Malaysia,44,2,Montoya,Button,Yes,4
Brazil,2,5,Barrichello,Coulthard,Replay,1
Brazil,3,4,Barrichello,Button,Replay,1
Brazil,3,11,Salo,De La Rosa,,
Brazil,4,3,Barrichello,Trulli,,
Brazil,5,10,Salo,Irvine,,
Brazil,5,11,De La Rosa,Irvine,,
Brazil,5,15,Bernoldi,Panis,,
Brazil,6,2,Barrichello,R.Schumacher,Yes,1
Brazil,7,12,Villeneuve,Irvine,,
Brazil,8,13,Frentzen,Irvine,,
Brazil,9,16,Sato,Panis,Replay,1
Brazil,9,16,Panis,Sato,Replay,2
Brazil,10,16,Sato,Panis,,
Brazil,12,11,Villeneuve,De La Rosa,,
Brazil,13,5,Coulthard,Button,,
Brazil,13,12,Frentzen,De La Rosa,,
Brazil,15,14,Sato,Irvine,Replay,1
Brazil,16,9,Salo,Massa,,
Brazil,18,17,Montoya,Yoong,,
Brazil,20,9,Villeneuve,Massa,,
Brazil,21,9,Massa,Villeneuve,Replay,1
Brazil,22,9,Villeneuve,Massa,,
Brazil,22,10,Frentzen,Massa,,
Brazil,22,12,Sato,De La Rosa,,
Brazil,25,14,Montoya,Webber,,
Brazil,28,10,Montoya,Irvine,Replay,1
Brazil,30,9,Montoya,De La Rosa,Replay,1
Brazil,35,16,McNish,Yoong,,
Brazil,38,5,Raikkonen,Button,Replay,1
Brazil,41,7,Montoya,Heidfeld,Replay,4
Brazil,60,10,Villeneuve,De La Rosa,,
San Marino,2,13,Frentzen,Sato,,
San Marino,2,17,Fisichella,Irvine,Replay,Tamburello
San Marino,6,14,Bernoldi,Salo,Replay,Variante Bassa
San Marino,18,14,Heidfeld,Salo,,
San Marino,18,15,Heidfeld,Fisichella,,
San Marino,58,8,Massa,Trulli,Replay,Rivazza 1
Spain,34,3,Coulthard,Button,Yes,1
Spain,36,4,Trulli,Button,,4
Spain,37,10,Villeneuve,Bernoldi,Replay,1
Austria,2,3,R.Schumacher,Heidfeld,,
Austria,2,4,Montoya,Heidfeld,,
Austria,2,12,McNish,Trulli,,
Austria,2,15,Villeneuve,Sato,,
Austria,2,16,Villeneuve,Irvine,,
Austria,3,14,Villeneuve,Panis,,
Austria,3,19,Frentzen,Webber,,
Austria,4,18,Frentzen,Yoong,,
Austria,4,19,Webber,Yoong,,
Austria,6,12,Villeneuve,Trulli,,
Austria,8,10,Villeneuve,McNish,,
Austria,10,9,Villeneuve,Fisichella,,
Austria,14,8,Villeneuve,Button,,
Austria,17,17,Frentzen,Yoong,Yes,3
Austria,19,7,Villeneuve,Salo,Replay,1
Austria,36,13,Webber,Yoong,Yes,2
Austria,37,14,Frentzen,Yoong,,
Austria,38,6,Villeneuve,Fisichella,Yes,1
Austria,40,5,Villeneuve,Coulthard,,
Austria,45,6,Fisichella,Coulthard,,
Monaco,11,20,Button,Yoong,,
Monaco,19,8,Frentzen,Salo,Replay,N Chicane
Monaco,21,9,Sato,Salo,Replay,Mirabeau
Monaco,21,10,Fisichella,Salo,,
Monaco,27,10,Bernoldi,Massa,Yes,Finish Line
Monaco,45,9,Salo,De La Rosa,,
Monaco,46,11,Barrichello,Webber,,
Monaco,48,7,Salo,Panis,Replay,N Chicane
Monaco,49,8,Barrichello,Panis,,
Monaco,51,9,Webber,Panis,,
Canada,2,13,Salo,Massa,,
Canada,2,14,Sato,Massa,,
Canada,2,15,Sato,Irvine,,
Canada,4,12,Salo,Panis,,
Canada,4,16,Bernoldi,Irvine,,
Canada,6,11,Salo,Villeneuve,Replay,10
Canada,6,13,Sato,Panis,,
Canada,8,12,Sato,Villeneuve,,
Canada,8,14,Massa,Panis,,
Canada,10,14,Bernoldi,Panis,,
Canada,18,4,Montoya,R.Schumacher,Yes,Finish Line
Canada,19,3,Montoya,Raikkonen,Yes,1
Canada,20,10,Salo,Button,,
Canada,20,18,Sato,Yoong,,
Canada,25,10,Button,Salo,,
Canada,25,11,Massa,Salo,Yes,13
Canada,38,17,Frentzen,Yoong,Background,2
Europe,2,14,Bernoldi,Irvine,,
Europe,2,15,Frentzen,Irvine,,
Europe,2,16,Frentzen,Webber,,
Europe,2,18,Villeneuve,De La Rosa,,
Europe,2,19,Villeneuve,Yoong,,
Europe,3,2,M.Schumacher,R.Schumacher,Yes,10
Europe,3,12,Panis,Salo,,
Europe,3,17,Villeneuve,Webber,,
Europe,6,11,Trulli,Panis,,1
Europe,6,15,Villeneuve,Irvine,,
Europe,10,9,Trulli,Heidfeld,,
Europe,10,10,Trulli,McNish,Replay,1
Europe,10,13,Frentzen,Bernoldi,,
Europe,11,16,De La Rosa,Irvine,,
Europe,12,8,Trulli,Massa,,
Europe,13,14,Villeneuve,Bernoldi,Replay,15
Europe,14,13,Villeneuve,Frentzen,,
Europe,14,14,Bernoldi,Frentzen,,
Europe,21,13,Frentzen,Bernoldi,,
Europe,23,16,Villeneuve,Salo,,
Europe,29,11,McNish,Irvine,Yes,1
Europe,31,12,Bernoldi,Irvine,,
Europe,33,18,Sato,Yoong,,
Europe,46,13,Frentzen,McNish,,13
Europe,59,10,Bernoldi,De La Rosa,,
