Race,Lap,Position,Overtaker,Overtakee,Live,Turn
Australia,3,12,Salo,Alesi,,
Australia,11,14,Panis,Rosset,,
Australia,22,14,Tuero,Rosset,,
Australia,33,7,Wurz,Herbert,,
Australia,39,3,Fisichella,Frentzen,Yes,9
Brazil,2,9,Barrichello,Alesi,,
Brazil,2,20,Tuero,Diniz,,
Brazil,10,4,M.Schumacher,Irvine,Replay,1
Brazil,14,12,Herbert,Trulli,Replay,1
Brazil,15,13,Hill,Trulli,,
Brazil,15,14,Magnussen,Trulli,,
Brazil,29,5,M.Schumacher,Fisichella,Yes,1
Brazil,29,6,Frentzen,Fisichella,Yes,8
Brazil,30,14,Magnussen,Tuero,,
Brazil,31,9,Irvine,Panis,Replay,1
Brazil,31,11,Villeneuve,Herbert,,
Brazil,37,9,Villeneuve,Panis,Replay,1
Brazil,41,8,Villeneuve,Irvine,Replay,1
Brazil,42,7,Villeneuve,Alesi,Yes,1
Brazil,54,5,Wurz,Frentzen,Replay,1
Argentina,2,2,M.Schumacher,Hakkinen,Yes,8
Argentina,2,4,Irvine,Frentzen,Yes,14
Argentina,3,5,Villeneuve,Frentzen,Yes,1
Argentina,3,19,Magnussen,Tuero,,
Argentina,4,6,Alesi,Frentzen,Replay,8
Argentina,6,18,Magnussen,Diniz,,
Argentina,10,15,Panis,Takagi,,
Argentina,12,14,Panis,Trulli,,
Argentina,22,18,R.Schumacher,Rosset,,
Argentina,27,9,Fisichella,Hill,,
Argentina,35,8,Alesi,Herbert,,
Argentina,39,11,Panis,Hill,,
Argentina,64,3,Wurz,Irvine,Replay,1
Argentina,66,6,Coulthard,Fisichella,,
San Marino,2,15,Tuero,Diniz,,
San Marino,7,15,Diniz,Tuero,,
San Marino,11,18,Hill,Nakano,Yes,Tosa
San Marino,13,16,Hill,Rosset,Yes,Tosa
San Marino,14,15,Hill,Tuero,,
San Marino,17,14,Hill,Diniz,,
San Marino,31,7,Panis,R.Schumacher,Yes,Tamburello
Spain,2,11,Panis,Trulli,,
Spain,6,16,R.Schumacher,Nakano,,
Spain,7,18,Alesi,Tuero,,
Spain,10,17,Alesi,Nakano,Yes,1
Spain,29,11,Alesi,Magnussen,,
Spain,39,10,R.Schumacher,Magnussen,,
Spain,39,14,Frentzen,Takagi,,
Spain,49,12,Frentzen,Magnussen,Yes,1
Spain,62,9,Frentzen,Alesi,,1
Spain,62,10,Frentzen,R.Schumacher,,1
Spain,63,8,Frentzen,Trulli,,
Monaco,37,2,M.Schumacher,Wurz,Yes,Portier
Monaco,71,11,M.Schumacher,Takagi,,
Canada,6,5,Barrichello,Frentzen,Yes,13
Canada,8,4,Barrichello,Villeneuve,,
Canada,9,11,Herbert,Nakano,,
