Race,Lap,Position,Overtaker,Overtakee,Live?,Turn
Australia,2,4,Vettel,Rosberg,Yes,9
Australia,2,6,Maldonado,Grosjean,Yes,13
Australia,2,6,Alonso,Maldonado,,
Australia,2,13,Di Resta,Glock,,
Australia,2,17,Petrov,Pic,,
Australia,3,14,Vergne,Glock,,
Australia,4,10,Perez,Kobayashi,,
Australia,7,15,Kovalainen,Glock,,
Australia,7,16,Petrov,Glock,,
Australia,9,8,Maldonado,Massa,Replay,3
Australia,11,9,Kobayashi,Perez,,
Australia,11,10,Raikkonen,Perez,,
Australia,14,17,Senna,Pic,,
Australia,16,18,Kovalainen,Ricciardo,,
Australia,17,17,Kovalainen,Pic,,
Australia,17,18,Ricciardo,Pic,,
Australia,18,5,Vettel,Vergne,Yes,11
Australia,18,11,Massa,Petrov,Yes,3
Australia,18,15,Senna,Glock,,
Australia,19,5,Alonso,Vergne,Yes,3
Australia,19,6,Rosberg,Vergne,Yes,9
Australia,19,7,Webber,Vergne,Yes,11
Australia,21,2,Hamilton,Perez,Yes,1
Australia,21,3,Vettel,Perez,Yes,11
Australia,23,4,Alonso,Perez,Yes,1
Australia,23,5,Rosberg,Perez,Yes,3
Australia,23,6,Webber,Perez,Yes,9
Australia,25,9,Raikkonen,Kobayashi,Yes,4
Australia,27,8,Raikkonen,Massa,Yes,1
Australia,27,9,Kobayashi,Massa,Yes,3
Australia,28,10,Di Resta,Massa,,
Australia,28,11,Vergne,Massa,,
Australia,42,9,Kobayashi,Raikkonen,Replay,3
Australia,42,14,Ricciardo,Senna,,
Australia,47,14,Senna,Ricciardo,Replay,4
Australia,50,11,Vergne,Di Resta,Replay,1
Australia,50,12,Ricciardo,Di Resta,Replay,3
Australia,52,8,Kobayashi,Rosberg,Replay,13
Australia,52,8,Rosberg,Kobayashi,Replay,14
Australia,58,6,Kobayashi,Perez,,
Australia,58,7,Raikkonen,Perez,Aftermath,15
Australia,58,10,Di Resta,Vergne,Yes,Finish Line
Australia,58,11,Ricciardo,Vergne,Replay,13
Malaysia,2,14,Schumacher,Kovalainen,,
Malaysia,2,18,Grosjean,Glock,,
Malaysia,2,19,Grosjean,Pic,,
Malaysia,3,20,Perez,Karthikeyan,,
Malaysia,3,21,Perez,De La Rosa,,
Malaysia,4,13,Grosjean,Kovalainen,,
Malaysia,4,14,Grosjean,Ricciardo,,
Malaysia,4,14,Ricciardo,Kovalainen,,
Malaysia,4,15,Grosjean,Petrov,,
Malaysia,4,15,Petrov,Kovalainen,,
