,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
0,ralf_schumacher,1,1,1,1,1,1,1,1,1,1,1,1,2,9,9,9,9,9,9,9,9,8,6,4,4,4,2,2,8,8,8,8,8,8,8,8,7,7,7,7,7,5,4,4,8,8,8,8,8,8,8,8,8
1,fisichella,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,7,7,5,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,2,2,2,2,1,1,1,1,1,1,1,2
2,button,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,1,1,7,5,5,5,3,3,2,2,2,2,2,2,2,2,2,2,1,1,2,7,7,7,5,5,5,5,5,5,5,5,5
3,coulthard,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,2,2,1,7,7,7,7,8,7,7,7,7,7,7,7,7,6,6,6,6,6,4,3,3,6,6,6,6,6,6,6,6,6
4,webber,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,3,3,2,6,6,6,4,4,3,3,3,3,3,3,3,3,3,3,2,2,3,6,5,5,3,3,3,3,4,4,4,4,4
5,klien,6,6,6,6,6,6,6,7,8,8,7,7,8,8,8,8,8,8,8,8,8,9,11,11,11,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,9,9,9,9,9,9,9,9,9
6,michael_schumacher,7,7,7,7,7,7,7,6,6,6,6,6,6,5,5,5,5,5,5,6,5,5,3,1,1,1,5,5,4,5,5,5,6,6,6,6,5,5,5,5,5,3,8,8,7,7,7,7,7,7,7,7,7
7,alonso,8,8,8,8,8,8,8,8,7,7,8,8,7,6,6,6,6,6,6,5,4,4,10,10,9,9,8,7,6,6,6,6,5,5,5,5,8,8,8,8,8,8,6,6,4,4,4,4,3,3,3,3,3
8,villeneuve,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,8,8,8,8,9,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
9,pizzonia,10,10,10,10,10,10,10,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,massa,11,11,11,11,11,11,11,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,9,9,10,12,12,11,11,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,10,10,10,10,10,10,10,10,10
11,raikkonen,12,12,12,12,12,12,12,11,10,9,9,9,9,7,7,7,7,7,7,7,6,6,4,2,2,2,6,6,5,4,4,4,4,4,4,4,4,4,3,3,1,1,1,1,1,2,2,2,2,2,2,2,1
12,karthikeyan,13,13,13,13,13,13,13,13,13,12,12,12,12,16,16,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,16,15,15,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,0,0
13,albers,14,14,14,14,14,14,14,14,14,13,13,13,13,12,12,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0,0,0,0
14,monteiro,15,15,15,15,15,15,15,15,15,14,14,14,14,13,13,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0
15,sato,16,17,18,18,18,18,18,18,18,16,16,16,16,15,14,14,13,13,12,12,12,12,12,12,12,11,11,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0
16,doornbos,17,16,16,16,16,16,16,16,16,15,15,15,15,14,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,16,16,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,0,0
17,trulli,18,18,17,17,17,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
