,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
1,73,4,alonso,4,1,1,Finished,96403,190357,283916.0,377122.0,470340.0,563514.0,656408.0,749480.0,842848.0,936250.0,1029457.0,1122960.0,1216675.0,1309093.0,1401888.0,1494699.0,1587366.0,1679360.0,1771332.0,1866216.0,1983686.0,2077029.0,2170539.0,2264173.0,2357588.0,2451069.0,2544026.0,2636780.0,2729640.0,2822596.0,2915656.0,3008033.0,3100493.0,3192569.0,3284939.0,3377290.0,3469130.0,3561367.0,3653080.0,3745110.0,3840178.0,3955799.0,4048919.0,4141943.0,4235322.0,4328801.0,4421900.0,4515500.0,4609197.0,4702170.0,4795418.0,4888603.0,4982308.0,5075736.0,5169082.0,5262942.0,5358531.0
13,73,30,michael_schumacher,6,17,9,Hydraulics,96795,191043,284804.0,377938.0,471434.0,564366.0,657252.0,750296.0,843516.0,936800.0,1030088.0,1166648.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,73,15,trulli,7,2,1,Finished,98110,192241,285928.0,379601.0,473192.0,566539.0,659838.0,753014.0,846397.0,939616.0,1032995.0,1126048.0,1219469.0,1312386.0,1405004.0,1497739.0,1590281.0,1682734.0,1775298.0,1867670.0,1962700.0,2081000.0,2174893.0,2268788.0,2362618.0,2456239.0,2550402.0,2643914.0,2737302.0,2830767.0,2924143.0,3017623.0,3110399.0,3203068.0,3295699.0,3388281.0,3480708.0,3574001.0,3666402.0,3758784.0,3851108.0,3945974.0,4062159.0,4155833.0,4248882.0,4341942.0,4435304.0,4528372.0,4621311.0,4714797.0,4808167.0,4901130.0,4993933.0,5086485.0,5181259.0,5276300.0,5371940.0
7,73,17,webber,3,6,1,Finished,99941,194428,288837.0,383358.0,477639.0,571922.0,665888.0,760084.0,854170.0,948178.0,1041960.0,1135765.0,1229412.0,1323730.0,1417364.0,1511205.0,1604450.0,1697788.0,1790940.0,1884027.0,1978991.0,2098105.0,2193013.0,2288036.0,2382274.0,2476606.0,2571069.0,2664997.0,2758616.0,2851954.0,2945415.0,3038674.0,3132022.0,3235342.0,3328902.0,3422518.0,3516211.0,3610172.0,3704889.0,3798140.0,3891479.0,3986861.0,4103542.0,4198299.0,4292310.0,4386583.0,4480948.0,4575067.0,4669389.0,4764272.0,4858451.0,4951793.0,5046866.0,5141157.0,5238398.0,5334249.0,5433232.0
0,73,2,heidfeld,3,16,5,Engine,100664,195652,290208.0,384750.0,479181.0,573721.0,668009.0,763070.0,859740.0,954117.0,1048219.0,1142294.0,1236063.0,1330068.0,1423563.0,1517192.0,1611013.0,1704377.0,1797432.0,1890693.0,1984434.0,2078169.0,2173846.0,2292992.0,2388714.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,73,23,ralf_schumacher,7,4,1,Finished,101147,196469,290733.0,385254.0,479648.0,574147.0,668449.0,763638.0,857674.0,951116.0,1044673.0,1138702.0,1231730.0,1324864.0,1418646.0,1512292.0,1605245.0,1701515.0,1821095.0,1915476.0,2010288.0,2107228.0,2201775.0,2296220.0,2390286.0,2485344.0,2579797.0,2673349.0,2768201.0,2861301.0,2954412.0,3047326.0,3140592.0,3233862.0,3326551.0,3419234.0,3512553.0,3606452.0,3699395.0,3792486.0,3887572.0,4003742.0,4100871.0,4194636.0,4288314.0,4382196.0,4475463.0,4568705.0,4661731.0,4754976.0,4848829.0,4942336.0,5036009.0,5131402.0,5224486.0,5317228.0,5411803.0
2,73,8,raikkonen,1,3,1,Finished,101986,197152,291728.0,386316.0,480485.0,574924.0,669545.0,764264.0,860145.0,954601.0,1049018.0,1143000.0,1236934.0,1330675.0,1424557.0,1517872.0,1611557.0,1704889.0,1798046.0,1891173.0,1984789.0,2078512.0,2171840.0,2266942.0,2384842.0,2479466.0,2573571.0,2667489.0,2760687.0,2854222.0,2947131.0,3040241.0,3133084.0,3225827.0,3318754.0,3415472.0,3508365.0,3601228.0,3693424.0,3785554.0,3877376.0,3969342.0,4065311.0,4181436.0,4274652.0,4367571.0,4460940.0,4554235.0,4647277.0,4739914.0,4833295.0,4926136.0,5018762.0,5110820.0,5203231.0,5296738.0,5390594.0
9,73,21,fisichella,4,18,5,Engine,102868,199904,300594.0,412995.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,73,37,rosa,1,5,1,Finished,103355,200411,295686.0,390173.0,484656.0,579238.0,673859.0,768361.0,862878.0,957420.0,1051879.0,1146276.0,1240444.0,1335154.0,1429866.0,1523686.0,1617396.0,1711618.0,1805154.0,1899660.0,1996969.0,2089400.0,2184480.0,2302249.0,2397376.0,2492288.0,2586420.0,2680572.0,2774816.0,2869558.0,2963874.0,3057963.0,3150597.0,3243182.0,3336827.0,3430569.0,3525546.0,3622124.0,3714230.0,3808708.0,3901634.0,3995645.0,4087092.0,4181346.0,4296559.0,4389487.0,4482271.0,4575493.0,4669744.0,4764691.0,4859008.0,4952298.0,5047355.0,5141532.0,5236212.0,5328120.0,5423519.0
8,73,18,button,16,14,8,Clutch,103425,201425,298591.0,393382.0,488075.0,582495.0,676900.0,771223.0,865591.0,959868.0,1054258.0,1148418.0,1242483.0,1336974.0,1431462.0,1525575.0,1619275.0,1713399.0,1806873.0,1900833.0,1994802.0,2088371.0,2181639.0,2277907.0,2396776.0,2491801.0,2585868.0,2680101.0,2774261.0,2868996.0,2963380.0,3057626.0,3153555.0,3247909.0,3341844.0,3435478.0,3529774.0,3623780.0,3717405.0,3811071.0,3904519.0,3997817.0,4092527.0,4186413.0,4278824.0,4374326.0,,,,,,,,,,,
