,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
0,michael_schumacher,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,ralf_schumacher,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2,barrichello,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,montoya,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,raikkonen,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,coulthard,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,7,7,7,7,7,7,7,6,6,6,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,0
6,trulli,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,11,11,11,10,9,8,8,8,8,8,8,8,8,8,8,8,8,8,10,10,10,9,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,0
7,button,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,10,10,9,8,7,7,7,7,7,7,7,6,6,6,6,6,6,6,7,7,7,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5
8,heidfeld,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,16,14,14,17,17,17,17,16,16,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0
9,massa,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,13,13,13,13,13,12,12,12,11,10,9,9,9,9,9,9,9,9,9,9,11,11,11,11,11,11,10,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,0
10,villeneuve,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,9,9,9,9,9,8,7,7,7,7,10,10,10,10,10,10,10,10,10,10,9,9,9,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0
11,panis,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,10,10,10,10,10,9,8,8,8,11,11,11,11,11,11,11,11,11,11,11,10,10,10,9,9,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,sato,13,14,14,14,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,frentzen,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,11,11,11,11,11,10,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,salo,15,15,15,15,14,15,15,15,15,15,15,15,15,15,15,15,14,15,15,14,14,14,14,17,17,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,bernoldi,16,16,16,16,15,14,14,14,14,14,14,14,14,14,14,14,13,12,12,12,12,12,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0
16,irvine,17,18,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,15,15,15,15,14,14,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,fisichella,18,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,15,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,webber,19,19,19,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,13,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,0,0
