,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
16,56.0,30.0,michael_schumacher,1.0,1.0,Finished,97931.0,248371.0,335570.0,422026.0,508212.0,594423.0,680421.0,766163.0,852036.0,937744.0,1023073.0,1108624.0,1194122.0,1279340.0,1364912.0,1450394.0,1535695.0,1620874.0,1705498.0,1790619.0,1896695.0,1981709.0,2066986.0,2152644.0,2238546.0,2325244.0,2411606.0,2498198.0,2584903.0,2671942.0,2758799.0,2845845.0,2932227.0,3019821.0,3106945.0,3195785.0,3283850.0,3371415.0,3459211.0,3546591.0,3633464.0,3719198.0,3824682.0,3910789.0,3997373.0,4084122.0,4170706.0,4257943.0,4345013.0,4431517.0,4518185.0,4604859.0,4691026.0,4777593.0,4863628.0,4949989.0,5036081.0,5122428.0,5208354.0,5294150.0,5379678.0,5466486.0
10,56.0,18.0,button,7.0,1.0,Finished,98807.0,248996.0,336627.0,423281.0,509769.0,596288.0,682564.0,768517.0,854456.0,940225.0,1025922.0,1111629.0,1197312.0,1283031.0,1369549.0,1478125.0,1564454.0,1650875.0,1737579.0,1824106.0,1910496.0,1996610.0,2083198.0,2170064.0,2256537.0,2342936.0,2428808.0,2514445.0,2599792.0,2686152.0,2807134.0,2893697.0,2980069.0,3066645.0,3153774.0,3240678.0,3326959.0,3412624.0,3498648.0,3584693.0,3670447.0,3756401.0,3842252.0,3929119.0,4035349.0,4121528.0,4208224.0,4294654.0,4381633.0,4469068.0,4555230.0,4641427.0,4728033.0,4814692.0,4901220.0,4987972.0,5074225.0,5160323.0,5246291.0,5332443.0,5419100.0,5506121.0
6,56.0,13.0,massa,4.0,1.0,Finished,100428.0,249832.0,337647.0,424578.0,511161.0,597669.0,684141.0,770301.0,856408.0,942469.0,1028319.0,1113847.0,1200239.0,1286526.0,1372634.0,1458692.0,1545901.0,1632138.0,1719191.0,1828883.0,1914971.0,2001349.0,2088213.0,2175554.0,2262716.0,2350165.0,2436924.0,2523476.0,2610177.0,2696766.0,2783387.0,2869848.0,2956249.0,3043129.0,3129298.0,3215843.0,3301915.0,3388124.0,3473881.0,3560364.0,3647377.0,3753927.0,3840061.0,3926059.0,4013282.0,4100633.0,4187899.0,4275051.0,4362088.0,4448848.0,4535325.0,4621670.0,4708037.0,4794305.0,4880611.0,4966934.0,5052995.0,5139011.0,5225126.0,5311416.0,5397466.0,5483582.0
3,56.0,4.0,alonso,2.0,1.0,Finished,101292.0,250326.0,338407.0,425614.0,512409.0,599053.0,685565.0,771862.0,858134.0,944091.0,1029956.0,1115738.0,1201663.0,1287781.0,1374244.0,1460023.0,1546505.0,1632721.0,1719074.0,1804182.0,1889394.0,1974403.0,2058972.0,2143918.0,2229833.0,2336516.0,2421478.0,2506735.0,2592184.0,2677726.0,2763464.0,2849006.0,2934644.0,3020243.0,3107321.0,3196061.0,3284134.0,3371702.0,3459469.0,3547156.0,3634531.0,3738625.0,3825283.0,3911379.0,3997965.0,4084490.0,4171259.0,4258810.0,4345368.0,4431876.0,4518578.0,4605225.0,4691421.0,4777944.0,4864070.0,4950424.0,5036439.0,5122824.0,5210560.0,5296474.0,5381909.0,5468582.0
12,56.0,22.0,barrichello,10.0,1.0,Finished,102231.0,252530.0,341162.0,428909.0,516165.0,602741.0,689276.0,775786.0,862179.0,949005.0,1035255.0,1121384.0,1208117.0,1295483.0,1411056.0,1498385.0,1585688.0,1672982.0,1760165.0,1848431.0,1935603.0,2023449.0,2110900.0,2198828.0,2286538.0,2374128.0,2461612.0,2548983.0,2636500.0,2723758.0,2811287.0,2898448.0,2985225.0,3073126.0,3185022.0,3273315.0,3360958.0,3448606.0,3539229.0,3627306.0,3714723.0,3802157.0,3889530.0,3976522.0,4063563.0,4150740.0,4238126.0,4325091.0,4412783.0,4499783.0,4587059.0,4674013.0,4760935.0,4847981.0,4935168.0,5021898.0,5108844.0,5196002.0,5283129.0,5370070.0,5457166.0,5544337.0
13,56.0,23.0,ralf_schumacher,9.0,1.0,Finished,103547.0,253248.0,341695.0,429411.0,517047.0,603824.0,690621.0,777155.0,863852.0,950435.0,1037098.0,1123755.0,1210423.0,1297039.0,1383363.0,1470699.0,1576847.0,1664120.0,1751902.0,1839434.0,1926667.0,2013713.0,2101745.0,2188830.0,2276005.0,2362782.0,2449711.0,2536315.0,2622978.0,2709914.0,2796136.0,2883129.0,2988549.0,3075000.0,3161620.0,3248327.0,3334624.0,3421565.0,3507856.0,3593697.0,3679632.0,3765379.0,3852051.0,3938228.0,4023544.0,4109754.0,4215969.0,4302793.0,4389078.0,4475139.0,4561164.0,4647212.0,4733145.0,4819061.0,4905084.0,4991222.0,5077540.0,5163394.0,5249937.0,5336606.0,5424013.0,5511997.0
17,56.0,31.0,montoya,3.0,1.0,Finished,104604.0,254107.0,343128.0,430991.0,518321.0,605146.0,691943.0,778588.0,865380.0,952329.0,1038763.0,1125055.0,1211212.0,1297744.0,1384397.0,1471043.0,1557075.0,1643136.0,1729822.0,1815233.0,1901608.0,1986704.0,2072678.0,2178145.0,2264106.0,2350554.0,2437682.0,2524284.0,2611063.0,2697707.0,2784198.0,2870619.0,2957423.0,3044684.0,3130624.0,3216984.0,3303270.0,3389455.0,3475469.0,3562409.0,3648501.0,3734689.0,3820163.0,3906475.0,4011889.0,4098017.0,4184967.0,4271976.0,4358863.0,4445687.0,4532354.0,4619149.0,4705439.0,4791837.0,4878114.0,4964323.0,5050686.0,5136949.0,5223184.0,5309634.0,5395782.0,5482354.0
8,56.0,15.0,trulli,21.0,38.0,Steering,105559.0,254365.0,343698.0,431737.0,521967.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,56.0,17.0,webber,6.0,1.0,Finished,106188.0,254939.0,344303.0,432379.0,520378.0,607675.0,694671.0,781470.0,868613.0,955332.0,1041928.0,1128620.0,1215054.0,1301594.0,1388138.0,1474354.0,1560511.0,1646782.0,1733317.0,1819142.0,1905267.0,1991939.0,2078615.0,2184886.0,2271824.0,2358575.0,2445243.0,2531930.0,2619126.0,2705998.0,2792601.0,2879062.0,2967427.0,3054135.0,3140674.0,3227141.0,3313204.0,3399158.0,3484646.0,3570606.0,3656358.0,3743452.0,3851120.0,3943166.0,4031211.0,4118509.0,4205500.0,4292312.0,4378931.0,4466049.0,4552932.0,4639400.0,4726144.0,4812642.0,4898792.0,4985510.0,5071709.0,5158144.0,5244366.0,5330725.0,5416784.0,5504225.0
4,56.0,8.0,raikkonen,5.0,1.0,Finished,107425.0,255280.0,344820.0,432916.0,520784.0,608465.0,695550.0,782287.0,869549.0,956397.0,1043123.0,1129527.0,1215837.0,1302418.0,1388809.0,1475049.0,1561327.0,1647681.0,1733977.0,1820081.0,1906081.0,1992947.0,2100932.0,2187768.0,2274715.0,2361404.0,2447852.0,2534335.0,2621296.0,2708457.0,2794796.0,2880902.0,2967789.0,3055081.0,3141655.0,3228259.0,3314469.0,3400491.0,3487037.0,3572641.0,3658529.0,3744306.0,3830003.0,3916315.0,4001857.0,4087703.0,4173735.0,4278022.0,4363049.0,4449251.0,4535733.0,4622046.0,4708379.0,4794740.0,4881155.0,4967445.0,5053543.0,5139538.0,5225613.0,5311784.0,5397875.0,5484010.0
