,0,1,2
0,4,6,1:45.390
1,20,9,1:45.457
2,1,1,1:45.571
3,18,1,1:45.944
4,17,9,1:45.908
5,22,3,1:46.236
6,3,131,1:46.443
7,9,4,1:46.593
8,30,131,1:46.702
9,155,15,1:47.559
10,153,5,1:47.666
11,807,3,1:47.674
12,808,4,1:48.165
13,67,5,1:48.502
14,2,15,1:48.557
15,16,10,1:48.496
16,24,10,1:48.961
17,10,166,1:50.271
18,5,205,1:50.915
19,810,166,1:51.107
20,15,205,1:51.641
21,32,164,1:52.946
22,811,164,1:54.174
23,13,6,3:00.00
