,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
9,875.0,20.0,vettel,1.0,1.0,Finished,108151.0,214625.0,321261.0,427591.0,534365.0,640448.0,746407.0,852050.0,957865.0,1063544.0,1169087.0,1274526.0,1380331.0,1486352.0,1596552.0,1716975.0,1821282.0,1925942.0,2030779.0,2135727.0,2240527.0,2345194.0,2449810.0,2554436.0,2658546.0,2762494.0,2866939.0,2971110.0,3075157.0,3179419.0,3283916.0,3388356.0,3492200.0,3597206.0,3707949.0,3826193.0,3928837.0,4031928.0,4135644.0,4239858.0,4343633.0,4447483.0,4551372.0,4654705.0,4758043.0,4861282.0,4964419.0,5067213.0,5170285.0,5273138.0,5376500.0,5479807.0,5582760.0,5686152.0,5788651.0
8,875.0,17.0,webber,2.0,1.0,Finished,108887.0,215585.0,322183.0,428920.0,535602.0,641828.0,747880.0,853936.0,959907.0,1065530.0,1171775.0,1277915.0,1384280.0,1495168.0,1615722.0,1721126.0,1826421.0,1931579.0,2036690.0,2142041.0,2247407.0,2352618.0,2457942.0,2562802.0,2667399.0,2771882.0,2875909.0,2979670.0,3083531.0,3187729.0,3292229.0,3401179.0,3520016.0,3623583.0,3727040.0,3831507.0,3935638.0,4040019.0,4144155.0,4248055.0,4352269.0,4456558.0,4560892.0,4664648.0,4768102.0,4871363.0,4974436.0,5077271.0,5180647.0,5283185.0,5385797.0,5488371.0,5590982.0,5693019.0,5796882.0
3,875.0,4.0,alonso,3.0,1.0,Finished,110317.0,217342.0,324138.0,430677.0,537571.0,644303.0,750715.0,856925.0,963179.0,1069030.0,1174982.0,1281111.0,1387173.0,1493081.0,1603427.0,1724974.0,1829719.0,1934716.0,2039855.0,2145103.0,2250093.0,2354972.0,2459607.0,2564173.0,2668807.0,2773363.0,2877741.0,2981956.0,3085916.0,3190053.0,3294219.0,3398537.0,3502811.0,3611397.0,3731824.0,3836008.0,3940205.0,4044269.0,4148471.0,4252840.0,4356888.0,4460998.0,4564975.0,4668927.0,4772088.0,4875838.0,4979484.0,5081984.0,5184482.0,5287074.0,5389571.0,5492013.0,5595333.0,5699630.0,5802595.0
1,875.0,1.0,hamilton,10.0,1.0,Finished,111045.0,218528.0,325757.0,432470.0,539256.0,646055.0,752414.0,858727.0,965007.0,1071036.0,1177446.0,1283685.0,1394136.0,1514889.0,1620278.0,1726013.0,1830849.0,1935826.0,2041989.0,2148622.0,2255713.0,2361992.0,2468722.0,2574880.0,2680651.0,2791015.0,2912823.0,3017591.0,3122442.0,3227208.0,3332607.0,3438314.0,3543922.0,3649011.0,3753869.0,3859859.0,3965841.0,4072209.0,4178330.0,4284964.0,4389043.0,4498107.0,4617238.0,4720167.0,4823526.0,4926822.0,5030809.0,5133830.0,5236551.0,5339665.0,5443333.0,5548459.0,5655841.0,5762495.0,5868343.0
7,875.0,13.0,massa,4.0,1.0,Finished,111883.0,219347.0,326471.0,433360.0,540111.0,646990.0,753417.0,859798.0,966210.0,1072255.0,1178434.0,1285277.0,1391823.0,1502332.0,1623517.0,1728614.0,1833336.0,1938422.0,2043226.0,2149101.0,2253723.0,2358568.0,2463025.0,2567602.0,2671947.0,2776960.0,2881080.0,2984900.0,3088618.0,3192455.0,3296362.0,3400618.0,3504819.0,3609180.0,3718110.0,3838972.0,3941661.0,4045925.0,4150069.0,4255058.0,4358453.0,4462283.0,4566379.0,4670465.0,4773627.0,4877019.0,4982078.0,5084320.0,5187830.0,5290915.0,5393517.0,5496789.0,5600006.0,5703747.0,5808819.0
5,875.0,8.0,raikkonen,5.0,1.0,Finished,112512.0,220277.0,327374.0,434533.0,541197.0,647961.0,754430.0,860951.0,967169.0,1073363.0,1179618.0,1286152.0,1392751.0,1503365.0,1624615.0,1729892.0,1836238.0,1940852.0,2045885.0,2151582.0,2257104.0,2362784.0,2469218.0,2575618.0,2681213.0,2787249.0,2891476.0,2995413.0,3099687.0,3203692.0,3307700.0,3411871.0,3516645.0,3621654.0,3730725.0,3852355.0,3956806.0,4061328.0,4165664.0,4270226.0,4374648.0,4481065.0,4585117.0,4688884.0,4792623.0,4896341.0,4999876.0,5102755.0,5205657.0,5309437.0,5412259.0,5515864.0,5619196.0,5722165.0,5825390.0
15,875.0,807.0,hulkenberg,6.0,1.0,Finished,113399.0,221775.0,329453.0,436913.0,544517.0,652021.0,759520.0,866607.0,973699.0,1081348.0,1188993.0,1296864.0,1409352.0,1532467.0,1638343.0,1743795.0,1849322.0,1955864.0,2061002.0,2167135.0,2273127.0,2378928.0,2484474.0,2590311.0,2695625.0,2800445.0,2905094.0,3009955.0,3115036.0,3220228.0,3325229.0,3433709.0,3555138.0,3658778.0,3762714.0,3867155.0,3971584.0,4075565.0,4179867.0,4284094.0,4388015.0,4491658.0,4595272.0,4698605.0,4801755.0,4904615.0,5007664.0,5110427.0,5213471.0,5316375.0,5420379.0,5523339.0,5626253.0,5728898.0,5833952.0
13,875.0,154.0,grosjean,7.0,1.0,Finished,114075.0,222340.0,330313.0,437989.0,545809.0,653201.0,760475.0,867345.0,974430.0,1082136.0,1189603.0,1297588.0,1410080.0,1533069.0,1639044.0,1744615.0,1849964.0,1956182.0,2064817.0,2169416.0,2274816.0,2380231.0,2485782.0,2591186.0,2696862.0,2801711.0,2906106.0,3010507.0,3115506.0,3220857.0,3330030.0,3450274.0,3553867.0,3657537.0,3761639.0,3865588.0,3969348.0,4073772.0,4178724.0,4285606.0,4389484.0,4494626.0,4598219.0,4701002.0,4803927.0,4906809.0,5010349.0,5114182.0,5218610.0,5322270.0,5426223.0,5530682.0,5634453.0,5738456.0,5843463.0
20,875.0,815.0,perez,11.0,1.0,Finished,114561.0,222782.0,330773.0,438530.0,546396.0,654297.0,761985.0,869313.0,976683.0,1083590.0,1190410.0,1298058.0,1406410.0,1512682.0,1619246.0,1727810.0,1835767.0,1947994.0,2075750.0,2183656.0,2289472.0,2395674.0,2501514.0,2607769.0,2713548.0,2818932.0,2924939.0,3031570.0,3136758.0,3242178.0,3348016.0,3454041.0,3564885.0,3686340.0,3789394.0,3893071.0,3996446.0,4101910.0,4207654.0,4312981.0,4418790.0,4522161.0,4626251.0,4730019.0,4833008.0,4935876.0,5038736.0,5141427.0,5243922.0,5347254.0,5451273.0,5556040.0,5660754.0,5764257.0,5868713.0
10,875.0,30.0,michael_schumacher,13.0,1.0,Finished,115187.0,224142.0,332480.0,440822.0,549195.0,657437.0,765483.0,873237.0,980907.0,1088346.0,1196242.0,1304830.0,1416932.0,1539320.0,1645666.0,1751712.0,1858147.0,1964072.0,2070640.0,2178048.0,2284808.0,2391625.0,2498388.0,2604047.0,2710697.0,2816717.0,2922294.0,3027890.0,3132952.0,3238492.0,3344298.0,3453952.0,3574527.0,3679315.0,3784727.0,3890230.0,3995110.0,4101657.0,4207327.0,4312438.0,4418420.0,4524194.0,4629362.0,4733966.0,4838907.0,4942337.0,5046063.0,5149653.0,5252837.0,5357190.0,5461467.0,5565655.0,5670132.0,5774062.0,5877892.0
19,875.0,814.0,resta,12.0,1.0,Finished,115742.0,224827.0,333185.0,441595.0,550373.0,658367.0,766281.0,874141.0,981676.0,1089246.0,1196832.0,1305661.0,1413522.0,1520486.0,1631731.0,1755057.0,1861241.0,1967509.0,2073914.0,2180520.0,2287364.0,2393801.0,2500803.0,2606897.0,2712538.0,2818191.0,2924367.0,3035165.0,3155774.0,3261427.0,3366317.0,3470824.0,3575484.0,3680219.0,3785162.0,3890917.0,3995643.0,4099453.0,4203820.0,4307970.0,4411815.0,4515696.0,4619572.0,4723187.0,4826848.0,4930533.0,5034517.0,5138034.0,5241788.0,5346163.0,5450705.0,5555492.0,5662510.0,5767310.0,5873099.0
17,875.0,811.0,bruno_senna,15.0,1.0,Finished,116138.0,225578.0,334131.0,442408.0,551849.0,660000.0,768418.0,876941.0,985797.0,1093758.0,1200464.0,1307644.0,1415848.0,1527129.0,1650866.0,1757317.0,1863833.0,1970554.0,2078327.0,2185265.0,2292190.0,2398569.0,2505337.0,2611145.0,2716764.0,2822164.0,2927582.0,3034205.0,3139863.0,3245633.0,3351863.0,3462449.0,3585621.0,3690431.0,3794882.0,3899509.0,4004380.0,4109696.0,4214846.0,4320061.0,4425145.0,4529752.0,4634376.0,4740576.0,4844699.0,4949664.0,5053526.0,5158422.0,5261833.0,5365702.0,5470016.0,5573616.0,5678506.0,5782066.0,5885553.0
18,875.0,813.0,maldonado,14.0,1.0,Finished,116517.0,226179.0,335119.0,443818.0,552708.0,660969.0,771586.0,879664.0,987956.0,1096150.0,1203637.0,1310926.0,1418207.0,1525774.0,1633246.0,1740648.0,1847956.0,1955329.0,2064383.0,2172683.0,2285234.0,2408025.0,2514592.0,2621467.0,2728192.0,2835120.0,2942296.0,3048506.0,3154898.0,3260895.0,3368585.0,3474450.0,3581181.0,3685932.0,3792176.0,3898228.0,4003584.0,4108947.0,4213772.0,4319328.0,4424372.0,4528788.0,4633830.0,4739531.0,4844045.0,4948696.0,5052834.0,5157055.0,5260804.0,5364997.0,5469183.0,5572918.0,5677742.0,5780896.0,5883575.0
2,875.0,3.0,rosberg,23.0,4.0,Collision,118108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
