,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
10,223.0,55.0,alesi,13.0,11.0,+1 Lap,97938.0,184967.0,271403.0,358257.0,445610.0,532732.0,619439.0,706833.0,793249.0,879861.0,966285.0,1052797.0,1138995.0,1225123.0,1312165.0,1398330.0,1484671.0,1571459.0,1657924.0,1745350.0,1832807.0,1918939.0,2005875.0,2092674.0,2199146.0,2284549.0,2368524.0,2452896.0,2537849.0,2623334.0,2708509.0,2793577.0,2878657.0,2963948.0,3050230.0,3136832.0,3222741.0,3308704.0,3394753.0,3480409.0,3566880.0,3653608.0,3739396.0,3826112.0,3933563.0,4039607.0,4145841.0,4234844.0,4321504.0,4407216.0,4493157.0,4578593.0,4664260.0,4749606.0,4835218.0,4920811.0,5007594.0,5094341.0,5180950.0,5267818.0,5353726.0,5438889.0,5523571.0,5610062.0,5696562.0,5782779.0,5869228.0,5955717.0,
15,223.0,64.0,diniz,22.0,20.0,Spun off,98438.0,185619.0,272053.0,359718.0,446399.0,533909.0,620820.0,707304.0,794178.0,881490.0,968083.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,223.0,44.0,panis,7.0,1.0,Finished,98821.0,185905.0,272329.0,358548.0,445639.0,533233.0,620143.0,705879.0,792474.0,879137.0,965526.0,1052155.0,1138159.0,1224331.0,1311478.0,1397718.0,1483990.0,1570704.0,1657163.0,1763566.0,1851513.0,1938785.0,2025221.0,2111638.0,2196611.0,2281484.0,2366166.0,2451326.0,2536549.0,2622499.0,2707722.0,2792543.0,2877736.0,2963149.0,3049662.0,3136177.0,3222311.0,3308116.0,3394022.0,3479895.0,3566319.0,3653763.0,3763020.0,3849875.0,3933816.0,4018460.0,4103636.0,4189151.0,4274271.0,4359791.0,4445480.0,4531001.0,4616709.0,4702000.0,4787603.0,4873446.0,4959453.0,5045474.0,5132771.0,5219841.0,5306092.0,5392819.0,5479286.0,5565720.0,5652822.0,5739368.0,5828864.0,5916216.0,6004916.0
16,223.0,65.0,herbert,8.0,1.0,Finished,99269.0,186908.0,273591.0,360498.0,447207.0,534933.0,621913.0,708888.0,795635.0,882676.0,969422.0,1056581.0,1142921.0,1229523.0,1316081.0,1402245.0,1488638.0,1575037.0,1661576.0,1748762.0,1834772.0,1921180.0,2007630.0,2093977.0,2181000.0,2267872.0,2372341.0,2459512.0,2544827.0,2629986.0,2715828.0,2801251.0,2886815.0,2972262.0,3057867.0,3143264.0,3228826.0,3314758.0,3400496.0,3486339.0,3571907.0,3657626.0,3743233.0,3829392.0,3915609.0,4018591.0,4106326.0,4192229.0,4277873.0,4363848.0,4450173.0,4536268.0,4622290.0,4708624.0,4794521.0,4880460.0,4966450.0,5052498.0,5138359.0,5224639.0,5311713.0,5398678.0,5485473.0,5572075.0,5659341.0,5745979.0,5833126.0,5920690.0,6010732.0
4,223.0,23.0,ralf_schumacher,20.0,47.0,Water leak,99611.0,187326.0,274282.0,360876.0,447809.0,535514.0,622388.0,709417.0,796321.0,883232.0,969892.0,1057194.0,1143697.0,1230007.0,1317054.0,1404181.0,1510310.0,1598196.0,1684345.0,1770392.0,1856634.0,1943004.0,2030202.0,2117139.0,2204136.0,2291618.0,2378497.0,2465022.0,2551734.0,2638065.0,2724518.0,2810982.0,2897234.0,2983129.0,3069854.0,3156292.0,3242792.0,3329326.0,3418272.0,3505824.0,3593377.0,3680705.0,3788251.0,3877170.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,223.0,21.0,fisichella,11.0,11.0,+1 Lap,100170.0,188144.0,275159.0,362097.0,448888.0,536564.0,623407.0,710325.0,797118.0,884081.0,971365.0,1058561.0,1146133.0,1232757.0,1319348.0,1405876.0,1492739.0,1579122.0,1665588.0,1752557.0,1839503.0,1926025.0,2013147.0,2120231.0,2208990.0,2295321.0,2380933.0,2467463.0,2553772.0,2640005.0,2726321.0,2812297.0,2898861.0,2984992.0,3071229.0,3157620.0,3244323.0,3332920.0,3419385.0,3506811.0,3594512.0,3681149.0,3769784.0,3855993.0,3941427.0,4027295.0,4131151.0,4218922.0,4304722.0,4390168.0,4475723.0,4561470.0,4647157.0,4732879.0,4818382.0,4903870.0,4989478.0,5075265.0,5161326.0,5246794.0,5332938.0,5418688.0,5504436.0,5590485.0,5677084.0,5763614.0,5854202.0,5945717.0,
14,223.0,63.0,salo,12.0,11.0,+1 Lap,100451.0,188458.0,275674.0,362992.0,449915.0,537355.0,624369.0,711235.0,797963.0,885288.0,972387.0,1059631.0,1146716.0,1233660.0,1337269.0,1425072.0,1510454.0,1596149.0,1682373.0,1768621.0,1855504.0,1942447.0,2029485.0,2116432.0,2203583.0,2290816.0,2377551.0,2464084.0,2550445.0,2636769.0,2723325.0,2809684.0,2895932.0,2998044.0,3085977.0,3171374.0,3256611.0,3341945.0,3427702.0,3513628.0,3599414.0,3685213.0,3771807.0,3860216.0,3948981.0,4036619.0,4123781.0,4210769.0,4297335.0,4383914.0,4487107.0,4576299.0,4661959.0,4747738.0,4833822.0,4919527.0,5005452.0,5091449.0,5177706.0,5264240.0,5350315.0,5436383.0,5522680.0,5609470.0,5695977.0,5782228.0,5868487.0,5955015.0,
18,223.0,75.0,nakano,10.0,1.0,Finished,100973.0,189080.0,276311.0,363572.0,450453.0,538046.0,625152.0,711934.0,798594.0,886029.0,973023.0,1060298.0,1147305.0,1234508.0,1321410.0,1407414.0,1493519.0,1579763.0,1666232.0,1753398.0,1839932.0,1926549.0,2013347.0,2100435.0,2205341.0,2293773.0,2378838.0,2465909.0,2552141.0,2638950.0,2725450.0,2811520.0,2897876.0,2983908.0,3070409.0,3156738.0,3243078.0,3330867.0,3418476.0,3505994.0,3593789.0,3680881.0,3769298.0,3854594.0,3939273.0,4024626.0,4111432.0,4215437.0,4303213.0,4388336.0,4473366.0,4558513.0,4643816.0,4729697.0,4814870.0,4900431.0,4985937.0,5072387.0,5158597.0,5244017.0,5329929.0,5415693.0,5501546.0,5588255.0,5673972.0,5759330.0,5844848.0,5929943.0,6015986.0
9,223.0,50.0,verstappen,16.0,11.0,+1 Lap,101510.0,190006.0,277320.0,364671.0,451799.0,539513.0,627018.0,714028.0,801156.0,888566.0,975996.0,1063393.0,1150736.0,1237957.0,1325012.0,1412469.0,1499675.0,1588112.0,1675803.0,1763188.0,1850796.0,1954959.0,2044385.0,2131295.0,2219033.0,2306386.0,2393270.0,2480474.0,2573237.0,2661943.0,2749466.0,2836588.0,2923625.0,3013744.0,3102834.0,3189793.0,3277782.0,3365840.0,3452487.0,3538856.0,3625406.0,3711908.0,3818201.0,3907495.0,3994690.0,4082153.0,4169935.0,4257339.0,4344864.0,4432254.0,4519678.0,4607153.0,4694480.0,4781938.0,4869584.0,4956864.0,5044146.0,5131787.0,5219472.0,5308242.0,5395427.0,5482768.0,5570201.0,5657374.0,5744317.0,5831429.0,5918274.0,6006200.0,
13,223.0,58.0,marques,15.0,11.0,+1 Lap,101883.0,190666.0,278279.0,365499.0,452616.0,540258.0,627818.0,714814.0,802266.0,889469.0,976715.0,1064057.0,1151427.0,1238663.0,1343994.0,1431120.0,1517214.0,1603710.0,1690552.0,1777147.0,1865977.0,1955191.0,2042127.0,2128918.0,2215204.0,2301624.0,2388077.0,2474690.0,2560673.0,2646869.0,2733520.0,2820079.0,2923847.0,3014788.0,3103375.0,3191588.0,3279577.0,3366553.0,3453457.0,3539900.0,3626510.0,3713052.0,3799928.0,3888165.0,3975426.0,4062145.0,4148942.0,4236128.0,4323144.0,4409728.0,4514659.0,4602806.0,4689291.0,4775298.0,4861245.0,4947741.0,5034121.0,5121153.0,5207471.0,5293728.0,5380975.0,5467367.0,5554319.0,5641389.0,5729016.0,5817232.0,5906775.0,5996704.0,
21,223.0,79.0,katayama,17.0,11.0,+1 Lap,102729.0,192117.0,279806.0,367415.0,455600.0,543692.0,631034.0,718208.0,805298.0,892404.0,979299.0,1066254.0,1153499.0,1240561.0,1327441.0,1414571.0,1501056.0,1589116.0,1677076.0,1764459.0,1852450.0,1940028.0,2027298.0,2114227.0,2222125.0,2309748.0,2395963.0,2482577.0,2573411.0,2662420.0,2749946.0,2837382.0,2928949.0,3016338.0,3105193.0,3192666.0,3280099.0,3367084.0,3454095.0,3540472.0,3627012.0,3713590.0,3800471.0,3889019.0,3976418.0,4083164.0,4170813.0,4257749.0,4345639.0,4432897.0,4520394.0,4607868.0,4695239.0,4782663.0,4870258.0,4957655.0,5044608.0,5132515.0,5222913.0,5311027.0,5397730.0,5484305.0,5571344.0,5658061.0,5745069.0,5832152.0,5919207.0,6006894.0,
22,223.0,82.0,fontana,14.0,11.0,+1 Lap,102999.0,191062.0,278851.0,366135.0,453746.0,541309.0,628341.0,715777.0,802977.0,890017.0,977211.0,1064494.0,1151992.0,1239192.0,1326103.0,1412958.0,1500182.0,1588773.0,1676514.0,1763798.0,1851226.0,1938574.0,2024875.0,2129933.0,2219356.0,2306750.0,2393606.0,2480801.0,2567843.0,2660104.0,2746063.0,2831217.0,2916774.0,3002014.0,3088197.0,3173911.0,3260166.0,3345994.0,3431682.0,3519018.0,3609647.0,3719794.0,3808705.0,3894631.0,3982403.0,4070167.0,4156435.0,4242575.0,4329560.0,4416020.0,4503105.0,4590050.0,4677405.0,4764912.0,4852621.0,4939689.0,5026579.0,5114390.0,5200999.0,5287591.0,5374691.0,5462494.0,5550163.0,5637443.0,5723971.0,5810682.0,5897914.0,5985615.0,
