,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
0,hamilton,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2
1,max_verstappen,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,1,1,1,1,1,1,1,1,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1
2,bottas,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4
3,perez,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,1,1,1,1,1,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3
4,sainz,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,13,13,13,13,13,13,12,11,11,10,9,9,8,8,9,9,9,8,8,9,9,9,9,9,9,9,9,10,10,10,10,11,11,11,11,11,11
5,gasly,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,15,14,14,14,14,14,13,12,12,11,10,10,11,10,10,10,10,9,9,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
6,leclerc,7,7,7,7,7,7,7,7,7,7,7,7,7,18,17,17,14,11,11,11,11,10,10,8,8,7,7,8,10,11,12,12,12,11,11,11,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0
7,alonso,8,8,8,8,8,8,8,8,8,8,10,10,11,10,10,9,7,15,15,15,15,15,15,15,15,15,14,12,12,12,11,11,11,10,10,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
8,ricciardo,9,9,9,9,9,9,9,9,9,9,8,8,8,7,7,16,16,12,12,12,12,12,11,10,9,9,8,7,7,7,7,7,8,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
9,norris,10,10,10,10,10,10,10,10,10,10,9,9,9,8,8,7,5,5,5,5,5,5,5,13,14,13,11,11,9,9,8,8,7,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
10,ocon,11,12,12,12,12,12,12,12,12,12,12,12,12,11,11,10,8,7,8,8,8,8,8,7,7,8,12,16,17,17,16,16,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0
11,vettel,12,11,11,11,11,11,11,11,11,11,11,11,10,9,9,8,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,11,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9
12,giovinazzi,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,10,9,9,9,9,9,9,9,10,12,13,18,18,18,18,17,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0
13,raikkonen,14,14,14,14,14,14,14,14,15,15,15,15,15,14,14,13,11,10,10,10,10,11,14,14,13,14,15,13,13,13,13,13,18,18,18,18,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,0
14,latifi,15,16,16,17,17,17,17,17,17,17,17,17,18,17,16,15,12,18,18,18,18,18,18,18,18,18,18,17,16,16,17,18,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0
15,stroll,16,15,15,15,15,15,15,15,14,14,14,14,14,12,12,11,9,8,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,13,14,14,14,13,12,12,12,11,11,11,11,11,11,10,10,10,10,10,10
16,russell,17,18,18,18,18,18,18,18,18,18,18,18,17,16,15,14,18,17,17,17,17,17,17,17,17,17,17,15,15,15,15,15,14,14,13,13,13,12,13,13,13,13,13,13,13,13,13,13,13,12,12,12,0
17,tsunoda,18,17,17,16,16,16,16,16,16,16,16,16,16,15,18,18,17,16,16,16,16,16,16,16,16,16,16,14,14,14,14,14,13,12,12,12,12,11,11,11,11,12,12,12,12,12,12,12,12,13,13,13,0
18,mick_schumacher,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,0
