,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
10,226.0,49.0,frentzen,17.0,20.0,Spun off,9682.0,12362.0,14247.0,16832.0,19674.0,21628.0,23951.0,26716.0,28694.0,30911.0,32486.0,33693.0,35186.0,36406.0,38417.0,39098.0,41271.0,42386.0,44729.0,45772.0,65539.0,66483.0,66853.0,68543.0,48219.0,49464.0,52043.0,57837.0,39445.0,7142.0,6128.0,3255.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,226.0,84.0,brundle,15.0,4.0,Collision,10468.0,13690.0,16239.0,20181.0,24665.0,27306.0,29985.0,32776.0,34994.0,37662.0,40944.0,43448.0,46177.0,49155.0,55410.0,57329.0,60221.0,62406.0,64797.0,66889.0,69084.0,74692.0,77445.0,79853.0,61266.0,64663.0,66409.0,74664.0,57203.0,1047.0,14495.0,9127.0,11498.0,23332.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,226.0,79.0,katayama,19.0,7.0,Transmission,11431.0,14232.0,16875.0,20382.0,24951.0,27763.0,30524.0,33253.0,35625.0,37939.0,42089.0,43955.0,46353.0,49410.0,52706.0,53837.0,55012.0,55335.0,56432.0,57563.0,58699.0,81621.0,82741.0,84690.0,67386.0,71590.0,72315.0,76664.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,226.0,65.0,herbert,9.0,11.0,+1 Lap,12022.0,15319.0,18029.0,21564.0,25554.0,28500.0,31456.0,34434.0,37158.0,39836.0,42461.0,45212.0,47830.0,50167.0,53780.0,55130.0,57075.0,59182.0,61218.0,62950.0,64485.0,66117.0,87537.0,89205.0,70420.0,73186.0,75846.0,80262.0,60855.0,10233.0,10905.0,6347.0,10624.0,13716.0,16396.0,18825.0,22153.0,25163.0,27830.0,30826.0,33774.0,36250.0,38718.0,40995.0,44806.0,48304.0,49268.0,50780.0,52926.0,76135.0,78155.0,60711.0,64514.0,68221.0,72051.0,75942.0,81534.0,87316.0,92843.0,96947.0,102507.0,110578.0,117298.0,123190.0,128917.0,135866.0,141577.0,148804.0,158845.0,167993.0,180293.0,
14,226.0,44.0,panis,8.0,1.0,Finished,12822.0,15723.0,19121.0,21979.0,26203.0,29259.0,32030.0,36788.0,39149.0,41642.0,43881.0,46691.0,49234.0,51858.0,57284.0,59339.0,61607.0,63643.0,65905.0,68076.0,69837.0,75726.0,78350.0,80753.0,62651.0,67663.0,69279.0,75985.0,79379.0,12458.0,3632.0,11017.0,14110.0,19737.0,22613.0,24185.0,26705.0,29449.0,32056.0,34829.0,37777.0,41345.0,44967.0,47792.0,50855.0,54024.0,56338.0,60247.0,62306.0,64234.0,65900.0,47668.0,49728.0,52335.0,55743.0,60154.0,65689.0,68649.0,68573.0,67495.0,67439.0,68923.0,70373.0,72147.0,73768.0,74648.0,75889.0,77055.0,77062.0,76872.0,76546.0,74295.0
15,226.0,58.0,marques,16.0,4.0,Collision,13090.0,16172.0,19489.0,22415.0,26600.0,29770.0,32798.0,35229.0,37709.0,40513.0,43053.0,45939.0,48460.0,50861.0,56464.0,58555.0,83746.0,85682.0,88479.0,91848.0,94440.0,97534.0,100576.0,103145.0,84313.0,86952.0,90304.0,93740.0,73200.0,11714.0,11456.0,8499.0,11174.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,226.0,63.0,salo,14.0,37.0,Throttle,13607.0,16820.0,20371.0,22818.0,27036.0,30188.0,41224.0,42321.0,43227.0,45148.0,47144.0,49503.0,52433.0,69049.0,115766.0,321624.0,324121.0,325272.0,326894.0,328806.0,330350.0,333534.0,335511.0,338932.0,328785.0,366627.0,1216921.0,1218733.0,1203462.0,1114249.0,1020852.0,947683.0,945589.0,945638.0,946845.0,949146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,226.0,69.0,badoer,21.0,4.0,Collision,14159.0,21135.0,26545.0,31267.0,36556.0,40551.0,45346.0,53126.0,58363.0,63954.0,70487.0,75325.0,80025.0,84634.0,92229.0,98686.0,105416.0,110515.0,116938.0,122255.0,127090.0,133611.0,164963.0,172483.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,226.0,83.0,lamy,13.0,7.0,Transmission,14411.0,18807.0,21450.0,24198.0,27425.0,31401.0,34399.0,37506.0,39981.0,42800.0,45465.0,48399.0,50908.0,53039.0,58028.0,60667.0,63188.0,65402.0,68069.0,70668.0,72445.0,76288.0,80040.0,83126.0,64652.0,68470.0,71760.0,78094.0,58844.0,9468.0,10234.0,5918.0,10204.0,22730.0,27276.0,31396.0,35940.0,40380.0,44490.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,226.0,85.0,montermini,10.0,13.0,+3 Laps,15921.0,21644.0,28462.0,34650.0,39351.0,43274.0,47719.0,53786.0,59023.0,64695.0,69473.0,73724.0,77915.0,82065.0,86938.0,90515.0,96674.0,122787.0,127071.0,131483.0,135989.0,143035.0,147643.0,154854.0,138824.0,147296.0,155228.0,161217.0,180666.0,206595.0,175020.0,108031.0,111360.0,116961.0,122137.0,128760.0,134277.0,139690.0,144910.0,150925.0,156539.0,162126.0,168563.0,175205.0,182662.0,188815.0,193465.0,199223.0,204539.0,210012.0,219617.0,226619.0,232183.0,239604.0,246201.0,254944.0,262613.0,268059.0,272615.0,276541.0,280773.0,285324.0,289698.0,298158.0,304059.0,309464.0,314085.0,317433.0,321339.0,,,
20,226.0,64.0,diniz,18.0,42.0,Heat shield fire,16140.0,20376.0,22849.0,24952.0,28019.0,31931.0,35136.0,38222.0,41335.0,43811.0,46382.0,48893.0,52155.0,55257.0,58596.0,61285.0,64092.0,66223.0,69007.0,71424.0,73288.0,76553.0,81199.0,83639.0,66348.0,81890.0,90755.0,96378.0,77042.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
