,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
6,226.0,49.0,frentzen,17.0,20.0,Spun off,104791.0,200492.0,294779.0,389418.0,483953.0,578208.0,672144.0,766316.0,859684.0,953059.0,1046079.0,1138787.0,1231482.0,1324169.0,1416709.0,1508910.0,1601932.0,1694120.0,1787144.0,1878763.0,1989711.0,2081324.0,2172329.0,2264461.0,2356037.0,2447842.0,2541745.0,2638706.0,2733779.0,2883250.0,3075624.0,3238868.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,226.0,84.0,brundle,15.0,4.0,Collision,105577.0,201820.0,296771.0,392767.0,488944.0,583886.0,678178.0,772376.0,865984.0,959810.0,1054537.0,1148542.0,1242473.0,1336918.0,1433702.0,1527141.0,1620882.0,1714140.0,1807212.0,1899880.0,1993256.0,2089533.0,2182921.0,2275771.0,2369084.0,2463041.0,2556111.0,2655533.0,2751537.0,2877155.0,3083991.0,3244740.0,3341505.0,3445220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,226.0,79.0,katayama,19.0,7.0,Transmission,106540.0,202362.0,297407.0,392968.0,489230.0,584343.0,678717.0,772853.0,866615.0,960087.0,1055682.0,1149049.0,1242649.0,1337173.0,1430998.0,1523649.0,1615673.0,1707069.0,1798847.0,1890554.0,1982871.0,2096462.0,2188217.0,2280608.0,2375204.0,2469968.0,2562017.0,2657533.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,226.0,65.0,herbert,9.0,11.0,+1 Lap,107131.0,203449.0,298561.0,394150.0,489833.0,585080.0,679649.0,774034.0,868148.0,961984.0,1056054.0,1150306.0,1244126.0,1337930.0,1432072.0,1524942.0,1617736.0,1710916.0,1803633.0,1895941.0,1988657.0,2080958.0,2193013.0,2285123.0,2378238.0,2471564.0,2565548.0,2661131.0,2755189.0,2886341.0,3080401.0,3241960.0,3340631.0,3435604.0,3529495.0,3622901.0,3716345.0,3809202.0,3902053.0,3994930.0,4087961.0,4180438.0,4272772.0,4364702.0,4458242.0,4552047.0,4644586.0,4736787.0,4829287.0,4942796.0,5035516.0,5128441.0,5222284.0,5316433.0,5411091.0,5505678.0,5601572.0,5698344.0,5795529.0,5892054.0,5989175.0,6088032.0,6186065.0,6282719.0,6379562.0,6477092.0,6573852.0,6672323.0,6773956.0,6875441.0,6980691.0,
5,226.0,44.0,panis,8.0,1.0,Finished,107931.0,203853.0,299653.0,394565.0,490482.0,585839.0,680223.0,776388.0,870139.0,963790.0,1057474.0,1151785.0,1245530.0,1339621.0,1435576.0,1529151.0,1622268.0,1715377.0,1808320.0,1901067.0,1994009.0,2090567.0,2183826.0,2276671.0,2370469.0,2466041.0,2558981.0,2656854.0,2773713.0,2888566.0,3073128.0,3246630.0,3344117.0,3441625.0,3535712.0,3628261.0,3720897.0,3813488.0,3906279.0,3998933.0,4091964.0,4185533.0,4279021.0,4371499.0,4464291.0,4557767.0,4651656.0,4746254.0,4838667.0,4930895.0,5023261.0,5115398.0,5207498.0,5300547.0,5394783.0,5489890.0,5585727.0,5679677.0,5771259.0,5862602.0,5954107.0,6046377.0,6139140.0,6231676.0,6324413.0,6415874.0,6508164.0,6600574.0,6692173.0,6784320.0,6876944.0,6969617.0
11,226.0,58.0,marques,16.0,4.0,Collision,108199.0,204302.0,300021.0,395001.0,490879.0,586350.0,680991.0,774829.0,868699.0,962661.0,1056646.0,1151033.0,1244756.0,1338624.0,1434756.0,1528367.0,1644407.0,1737416.0,1830894.0,1924839.0,2018612.0,2112375.0,2206052.0,2299063.0,2392131.0,2485330.0,2580006.0,2674609.0,2767534.0,2887822.0,3080952.0,3244112.0,3341181.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,226.0,63.0,salo,14.0,37.0,Throttle,108716.0,204950.0,300903.0,395404.0,491315.0,586768.0,689417.0,781921.0,874217.0,967296.0,1060737.0,1154597.0,1248729.0,1356812.0,1494058.0,1791436.0,1884782.0,1977006.0,2069309.0,2161797.0,2254522.0,2348375.0,2440987.0,2534850.0,2636603.0,2765005.0,3706623.0,3799602.0,3897796.0,3990357.0,4090348.0,4183296.0,4275596.0,4367526.0,4459944.0,4553222.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,226.0,69.0,badoer,21.0,4.0,Collision,109268.0,209265.0,307077.0,403853.0,500835.0,597131.0,693539.0,792726.0,889353.0,986102.0,1084080.0,1180419.0,1276321.0,1372397.0,1470521.0,1568498.0,1666077.0,1762249.0,1859353.0,1955246.0,2051262.0,2148452.0,2270439.0,2368401.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,226.0,83.0,lamy,13.0,7.0,Transmission,109520.0,206937.0,301982.0,396784.0,491704.0,587981.0,682592.0,777106.0,870971.0,964948.0,1059058.0,1153493.0,1247204.0,1340802.0,1436320.0,1530479.0,1623849.0,1717136.0,1810484.0,1903659.0,1996617.0,2091129.0,2185516.0,2279044.0,2372470.0,2466848.0,2561462.0,2658963.0,2753178.0,2885576.0,3079730.0,3241531.0,3340211.0,3444618.0,3540375.0,3635472.0,3730132.0,3824419.0,3918713.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,226.0,85.0,montermini,10.0,13.0,+3 Laps,111030.0,209774.0,308994.0,407236.0,503630.0,599854.0,695912.0,793386.0,890013.0,986843.0,1083066.0,1178818.0,1274211.0,1369828.0,1465230.0,1560327.0,1657335.0,1774521.0,1869486.0,1964474.0,2060161.0,2157876.0,2253119.0,2350772.0,2446642.0,2545674.0,2644930.0,2742086.0,2875000.0,3082703.0,3244516.0,3343644.0,3441367.0,3538849.0,3635236.0,3732836.0,3828469.0,3923729.0,4019133.0,4115029.0,4210726.0,4306314.0,4402617.0,4498912.0,4596098.0,4692558.0,4788783.0,4885230.0,4980900.0,5076673.0,5176978.0,5294349.0,5389953.0,5487816.0,5585241.0,5684680.0,5782651.0,5879087.0,5975301.0,6071648.0,6167441.0,6262778.0,6358465.0,6457687.0,6554704.0,6650690.0,6746360.0,6840952.0,6936450.0,,,
13,226.0,64.0,diniz,18.0,42.0,Heat shield fire,111249.0,208506.0,303381.0,397538.0,492298.0,588511.0,683329.0,777822.0,872325.0,965959.0,1059975.0,1153987.0,1248451.0,1343020.0,1436888.0,1531097.0,1624753.0,1717957.0,1811422.0,1904415.0,1997460.0,2091394.0,2186675.0,2279557.0,2374166.0,2480268.0,2580457.0,2677247.0,2771376.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,226.0,73.0,rosset,20.0,94.0,Oil pump,111788.0,210112.0,309370.0,404366.0,501317.0,597948.0,693988.0,790646.0,884898.0,979171.0,1073836.0,1168192.0,1262375.0,1357038.0,1451450.0,1545761.0,1639615.0,1733950.0,1828427.0,1922033.0,2017820.0,2114393.0,2211820.0,2332547.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
