,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
18,848,155,kobayashi,15,16,11,+1 Lap,119444,228364,336314,444318,551123,658647,766081,873475,981191,1088960,1214348,1327267,1434026,1541675,1650946,1758597,1866067,1972842,2079429,2186179,2292972,2399832,2507747,2615034,2722600,2830069,2937325,3044406,3152159,3259831,3366893,3474444,3596493,3707107,3811531,3915871,4020284,4124240,4228489,4332607,4436154,4539671,4643371,4747242,4855424,4963021,5067493,5172098,5277636,5381992,5486299,5591290,5695922,5800496,5906597.0,6012498.0,
16,848,67,buemi,5,13,11,+1 Lap,119721,228877,337001,445039,552615,659774,766921,874225,981747,1089445,1198686,1306045,1413633,1537053,1649673,1756290,1862123,1967804,2073858,2180550,2286474,2392181,2498053,2604331,2709862,2829989,2941239,3045667,3150585,3255354,3360238,3464809,3569825,3674655,3779538,3884331,3989256,4094577,4199695,4304996,4410032,4515409,4622713,4728795,4850237,4961548,5065651,5170204,5274447,5378797,5483046,5587821,5692237,5796549,5900815.0,6005383.0,
19,848,808,petrov,4,15,11,+1 Lap,120928,230372,338960,448143,556551,664466,772058,880072,988073,1095776,1203671,1311770,1419601,1527775,1652812,1764061,1870035,1976307,2082211,2188138,2294402,2400476,2506916,2613778,2720783,2827304,2948644,3059434,3165947,3270371,3374453,3478762,3583032,3687474,3791857,3896011,4000475,4104789,4224503,4333726,4436877,4540194,4643965,4747898,4855795,4963291,5068059,5172312,5278360,5382661,5486796,5591756,5696456,5800915,5905688.0,6011044.0,
22,848,815,perez,15,11,11,+1 Lap,121525,231261,340495,448804,557671,665633,773792,881771,989671,1097265,1205490,1313084,1420882,1528817,1637664,1745106,1854941,1963392,2072238,2179836,2288550,2397365,2505266,2613638,2739646,2850618,2956440,3061869,3167192,3271745,3376302,3480718,3585482,3689973,3794380,3898937,4003342,4113837,4217984,4322101,4426050,4530108,4634089,4738333,4842718,4946964,5052406,5156898,5261538,5365887,5472534,5578250,5682740,5787579,5892983.0,5999029.0,
17,848,153,alguersuari,5,8,11,+1 Lap,121725,231612,339495,447010,554568,661596,768260,875035,982274,1090083,1199041,1306574,1414092,1522269,1629593,1736699,1843372,1950579,2073355,2184738,2290191,2395903,2500855,2606117,2711251,2816226,2920802,3025535,3130035,3234381,3338897,3443452,3548196,3653217,3758053,3862888,3968128,4073877,4180842,4286920,4393829,4516018,4627618,4732838,4836933,4940867,5044620,5148565,5252475,5356379,5463429,5567359,5670938,5774757,5879140.0,5983385.0,
5,848,10,glock,166,21,12,+2 Laps,122674,233656,344658,455917,566833,677032,787471,897284,1007166,1116902,1226288,1335678,1445395,1554749,1664666,1775095,1899878,2014718,2123114,2235225,2345048,2454323,2562049,2671088,2778875,2887816,2995432,3102892,3210209,3318912,3426490,3533811,3641488,3749270,3856999,3964443,4071832,4180025,4289404,4396741,4505491,4629539,4744908,4858157,4965538,5072444,5179203,5285908,5392536,5500526,5607368,5715330,5824396,5933881,6041990.0,,
4,848,5,kovalainen,205,19,12,+2 Laps,123130,234079,343489,452607,561663,670107,778544,886789,994736,1102916,1211211,1319880,1429538,1556128,1671670,1779124,1886868,1995057,2102220,2209169,2316142,2422975,2530071,2637172,2744289,2869298,2981400,3089654,3197798,3303817,3409746,3515593,3621422,3727455,3834494,3941254,4048942,4155797,4262506,4369663,4477336,4601671,4713919,4818974,4925726,5031425,5137106,5243966,5349942,5455324,5560581,5667298,5773095,5878269,5987875.0,,
7,848,15,trulli,205,20,12,+2 Laps,123820,234713,344989,453986,562252,670788,779111,887465,995527,1103532,1211904,1320963,1430291,1539261,1648357,1758163,1867958,1994749,2109148,2217004,2324233,2430840,2537711,2644691,2754930,2861970,2968389,3074597,3180976,3292377,3399271,3505968,3613824,3739859,3853764,3961189,4068305,4175225,4282210,4390080,4497070,4603999,4711229,4818178,4926506,5035631,5144128,5255213,5371167,5479602,5590722,5699771,5807253,5916031,6025816.0,,
13,848,24,liuzzi,164,23,13,+3 Laps,124831,236710,347832,459062,569816,680140,790019,900050,1009921,1119582,1229199,1338920,1449048,1560056,1689746,1805201,1914209,2025174,2135652,2246585,2355537,2465650,2574707,2684838,2793723,2902670,3011864,3137573,3253942,3362360,3470371,3578146,3685824,3796008,3904499,4014013,4121431,4230128,4338271,4445746,4554155,4662496,4786100,4901741,5010035,5118141,5226002,5333420,5441069,5548921,5656664,5765409,5874337,5982633,,,
20,848,813,maldonado,3,18,11,+1 Lap,125206,236272,346249,455895,565407,674700,783694,892682,1001633,1125620,1237750,1345154,1451940,1559667,1666327,1773745,1880296,1986603,2092926,2199378,2305874,2412481,2518648,2625362,2733272,2841277,2949135,3073991,3191073,3296288,3401697,3507465,3613939,3719148,3825235,3930160,4034903,4139471,4244566,4351444,4457425,4563064,4668744,4789683,4899699,5003291,5106425,5210645,5314639,5418061,5522292,5626905,5730885,5835131,5939705.0,6045308.0,
23,848,816,ambrosio,166,22,12,+2 Laps,125662,237016,348077,459098,570398,680727,790710,900586,1010532,1120250,1229848,1339688,1449706,1560503,1672354,1783437,1893679,2020307,2136469,2245612,2354138,2462996,2571364,2680695,2788736,2897533,3005209,3113588,3221651,3330300,3438814,3547352,3657577,3766295,3875461,3985158,4112332,4226809,4335408,4442685,4550789,4659239,4768239,4875823,4983347,5092468,5200166,5308751,5416522,5525090,5632254,5739697,5847418,5954851,6062650.0,,
