,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
1,14.0,1.0,hamilton,1.0,1.0,Finished,114996.0,225931.0,335869.0,445041.0,554715.0,663415.0,772053.0,880476.0,989249.0,1097697.0,1206428.0,1314949.0,1423800.0,1532817.0,1641603.0,1750511.0,1859906.0,1968821.0,2077854.0,2191635.0,2330774.0,2504229.0,2671582.0,2835485.0,2999637.0,3113515.0,3224379.0,3334419.0,3444099.0,3553413.0,3662122.0,3771231.0,3880149.0,3988992.0,4097601.0,4205946.0,4314696.0,4423208.0,4532247.0,4641068.0,4749611.0,4858230.0,4966768.0,5075342.0,5184109.0,5296987.0,5427669.0,5538217.0,5647655.0,5757019.0,5866252.0,5975809.0,6085222.0,6195211.0,6304783.0,6413923.0,6523347.0,6632915.0,6744190.0,6854282.0,6966337.0
3,14.0,3.0,rosberg,11.0,1.0,Finished,115990.0,227369.0,337456.0,447032.0,556219.0,665376.0,774276.0,882972.0,991324.0,1099972.0,1208859.0,1317480.0,1426325.0,1535848.0,1644776.0,1753471.0,1862430.0,1975120.0,2110206.0,2219712.0,2335698.0,2506078.0,2674390.0,2836313.0,3000185.0,3114070.0,3229036.0,3350754.0,3463335.0,3575454.0,3687271.0,3799985.0,3911297.0,4026046.0,4158012.0,4266860.0,4375662.0,4487105.0,4596203.0,4705705.0,4815429.0,4925425.0,5035946.0,5147053.0,5259225.0,5369997.0,5480536.0,5590942.0,5701369.0,5811318.0,5921762.0,6032124.0,6142088.0,6252235.0,6362808.0,6473701.0,6584070.0,6694106.0,6804488.0,6914903.0,7026114.0
14,14.0,20.0,vettel,4.0,1.0,Finished,116763.0,228696.0,338916.0,448605.0,557727.0,666854.0,775939.0,884591.0,993744.0,1102142.0,1211085.0,1319833.0,1428519.0,1537622.0,1646808.0,1755345.0,1868625.0,1999295.0,2110993.0,2221257.0,2339713.0,2508357.0,2675607.0,2837588.0,3000479.0,3114806.0,3225998.0,3335494.0,3444980.0,3554321.0,3663273.0,3771970.0,3880927.0,3989849.0,4098418.0,4206846.0,4315259.0,4424355.0,4537330.0,4668039.0,4777763.0,4888261.0,5002885.0,5121275.0,5230883.0,5340422.0,5450718.0,5560746.0,5669572.0,5778424.0,5887822.0,5998885.0,6108376.0,6217557.0,6326642.0,6435472.0,6544929.0,6654905.0,6765543.0,6876048.0,6986598.0
12,14.0,17.0,webber,17.0,23.0,Brakes,119344.0,230747.0,341160.0,451315.0,561150.0,678677.0,789384.0,899061.0,1008515.0,1118445.0,1227777.0,1337324.0,1447085.0,1557152.0,1666941.0,1776711.0,1886412.0,2000695.0,2137285.0,2249005.0,2372887.0,2514662.0,2682595.0,2843685.0,3003522.0,3119437.0,3232688.0,3345077.0,3457258.0,3568708.0,3679568.0,3789959.0,3900224.0,4009572.0,4118891.0,4228424.0,4338564.0,4448681.0,4559549.0,4670692.0,4782962.0,4893853.0,5003902.0,5118955.0,5257639.0,,,,,,,,,,,,,,,,
9,14.0,10.0,glock,2.0,1.0,Finished,120460.0,232804.0,343942.0,454167.0,563821.0,673616.0,783193.0,892821.0,1002483.0,1111582.0,1221125.0,1330975.0,1440191.0,1550022.0,1659285.0,1768653.0,1877494.0,1986279.0,2100919.0,2235606.0,2355963.0,2509920.0,2677005.0,2838719.0,3001260.0,3116121.0,3227945.0,3339075.0,3449104.0,3558945.0,3668283.0,3777060.0,3885744.0,3994140.0,4102963.0,4212195.0,4321478.0,4430861.0,4539979.0,4649137.0,4758957.0,4867454.0,4976562.0,5085589.0,5198787.0,5327870.0,5438280.0,5547359.0,5656678.0,5765862.0,5875343.0,5984652.0,6093763.0,6202959.0,6311905.0,6421018.0,6531011.0,6641435.0,6751754.0,6862532.0,6975971.0
4,14.0,4.0,alonso,3.0,1.0,Finished,121430.0,234054.0,345351.0,456354.0,566826.0,677715.0,787731.0,897433.0,1006889.0,1116587.0,1226073.0,1335631.0,1445286.0,1555160.0,1664916.0,1775122.0,1885066.0,1994741.0,2104116.0,2213898.0,2335161.0,2511236.0,2678216.0,2840293.0,3001639.0,3116733.0,3229183.0,3340745.0,3451373.0,3561502.0,3670927.0,3780242.0,3889620.0,3999083.0,4108416.0,4218318.0,4327555.0,4436750.0,4545941.0,4655214.0,4764807.0,4874674.0,4984179.0,5093648.0,5203225.0,5313811.0,5423741.0,5533283.0,5642401.0,5756060.0,5883296.0,5991845.0,6100085.0,6209310.0,6319397.0,6428901.0,6538822.0,6648715.0,6759427.0,6870678.0,6982961.0
16,14.0,22.0,barrichello,6.0,1.0,Finished,122425.0,235279.0,346615.0,457926.0,568338.0,679747.0,790782.0,900880.0,1010450.0,1120715.0,1230251.0,1340134.0,1449875.0,1559395.0,1668765.0,1778919.0,1888317.0,1997833.0,2112574.0,2246280.0,2365822.0,2512322.0,2680390.0,2841227.0,3002243.0,3117487.0,3229956.0,3342466.0,3454714.0,3565064.0,3675078.0,3785010.0,3894728.0,4004285.0,4113548.0,4222886.0,4332333.0,4441621.0,4550895.0,4660456.0,4770047.0,4879465.0,4988971.0,5098863.0,5209817.0,5324129.0,5459485.0,5568981.0,5678034.0,5786632.0,5895705.0,6007590.0,6117918.0,6228063.0,6337958.0,6448016.0,6558193.0,6668508.0,6778765.0,6888277.0,6998195.0
8,14.0,9.0,kubica,8.0,1.0,Finished,123240.0,236676.0,347937.0,458872.0,569836.0,680777.0,791919.0,902464.0,1012663.0,1122855.0,1233022.0,1343364.0,1453807.0,1563765.0,1673656.0,1783434.0,1893224.0,2003113.0,2113611.0,2228342.0,2373877.0,2516294.0,2684261.0,2844769.0,3003904.0,3120062.0,3233389.0,3345785.0,3457943.0,3569659.0,3680736.0,3791116.0,3901371.0,4011274.0,4121188.0,4231471.0,4341843.0,4452530.0,4562982.0,4673299.0,4784228.0,4899094.0,5027255.0,5136102.0,5245240.0,5354351.0,5465156.0,5576133.0,5687005.0,5797641.0,5908224.0,6019410.0,6130656.0,6241993.0,6353151.0,6463751.0,6575119.0,6686415.0,6797995.0,6909826.0,7021391.0
5,14.0,5.0,kovalainen,7.0,1.0,Finished,124034.0,237974.0,349974.0,462005.0,572436.0,682959.0,793774.0,904856.0,1014973.0,1125131.0,1235244.0,1345338.0,1455606.0,1565778.0,1676135.0,1785915.0,1895979.0,2005493.0,2115479.0,2225844.0,2346754.0,2513183.0,2681032.0,2841735.0,3002915.0,3118560.0,3231180.0,3343348.0,3455667.0,3566622.0,3677005.0,3786682.0,3896431.0,4006216.0,4115620.0,4224903.0,4334402.0,4444040.0,4554069.0,4663821.0,4773311.0,4883012.0,4992425.0,5103589.0,5214689.0,5329649.0,5462210.0,5572405.0,5682027.0,5791410.0,5903608.0,6013862.0,6123383.0,6233145.0,6343305.0,6453093.0,6562862.0,6672916.0,6783062.0,6893190.0,7002494.0
13,14.0,18.0,button,5.0,1.0,Finished,124600.0,239052.0,351437.0,463130.0,574343.0,684763.0,795615.0,906381.0,1016989.0,1126959.0,1236943.0,1347080.0,1456923.0,1567332.0,1677313.0,1787391.0,1897544.0,2007167.0,2117327.0,2227249.0,2347346.0,2513859.0,2681780.0,2842545.0,3003197.0,3119010.0,3231962.0,3344105.0,3456658.0,3567515.0,3678202.0,3788136.0,3897915.0,4007566.0,4117269.0,4226380.0,4335794.0,4445263.0,4555049.0,4664991.0,4775271.0,4884929.0,4994162.0,5104440.0,5215357.0,5326134.0,5434932.0,5543675.0,5652196.0,5760803.0,5873217.0,6001657.0,6110723.0,6219092.0,6327901.0,6437713.0,6547916.0,6659331.0,6771401.0,6884744.0,6996352.0
