,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
0,hakkinen,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4
1,coulthard,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,irvine,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2
3,michael_schumacher,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,villeneuve,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,alesi,6,7,7,7,8,8,8,8,8,8,8,8,8,8,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,9,9,9,7,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
6,ralf_schumacher,7,6,6,6,6,6,6,6,6,6,7,7,7,7,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3
7,wurz,8,8,8,9,9,9,9,9,9,9,9,9,9,9,8,8,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,fisichella,9,9,10,10,10,10,10,10,10,10,10,10,10,10,9,9,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,6,6,7,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0
9,trulli,10,10,11,11,11,11,11,11,11,11,11,11,11,11,10,14,13,12,12,12,12,12,11,16,15,15,15,15,15,15,15,15,14,14,14,14,14,13,13,12,12,12,12,12,12,12,12,12,12,12,0,0,0
10,damon_hill,11,11,9,8,7,7,7,7,7,7,6,6,6,6,13,12,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,8,8,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
11,frentzen,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,10,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,7,7,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0
12,herbert,13,13,13,13,14,14,14,14,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,barrichello,14,14,14,14,13,13,13,13,13,13,13,13,13,13,12,11,12,15,15,15,15,15,15,14,13,13,12,12,12,12,12,12,11,11,12,12,12,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,0
14,panis,15,15,15,15,16,16,16,19,21,21,20,20,19,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,verstappen,16,16,16,16,15,15,15,15,15,16,16,16,15,15,15,15,14,13,13,13,13,13,13,12,11,11,11,11,11,11,11,11,10,10,10,10,10,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,diniz,17,17,17,17,17,18,19,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,tuero,18,20,20,20,21,21,21,21,20,20,19,19,18,17,17,17,16,16,16,16,16,16,16,15,14,14,14,14,14,14,14,14,13,13,13,13,13,12,12,11,11,11,11,11,11,11,11,11,11,11,11,0,0
18,salo,19,18,18,18,18,17,17,16,16,15,15,15,14,14,14,13,11,11,11,11,11,11,12,11,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,takagi,20,19,19,19,19,19,18,17,17,17,17,17,16,16,16,16,15,14,14,14,14,14,14,13,12,12,13,13,13,13,13,13,12,12,11,11,11,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,0
20,nakano,21,21,21,21,20,20,20,20,19,19,18,18,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
