,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,2,3,rosberg,3,8,1,Finished,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24167.0,24345.0,26689.0,26222.0,19611.0,6044.0,14669.0,15840.0,13754.0,14162.0,18106.0,31122.0,43822.0,36754.0,34856.0,71576.0
1,2,15,trulli,7,4,1,Finished,1236,1225.0,1358.0,1914.0,1972.0,2313.0,2706.0,2861.0,2762.0,3033.0,3054.0,3005.0,3103.0,3318.0,531.0,0.0,2385.0,29297.0,29312.0,23872.0,11437.0,19258.0,20879.0,18155.0,16615.0,20365.0,27138.0,35124.0,48189.0,33646.0,46173.0
2,2,18,button,23,1,1,Finished,3958,3016.0,2558.0,2989.0,3133.0,3092.0,3368.0,3790.0,3976.0,4342.0,4232.0,4189.0,4433.0,4325.0,1640.0,856.0,0.0,0.0,0.0,14960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,4,alonso,4,11,11,+1 Lap,4476,6033.0,8719.0,11901.0,14053.0,16408.0,18487.0,20628.0,22565.0,24480.0,28304.0,31253.0,34726.0,37027.0,36322.0,37159.0,37458.0,42179.0,41834.0,35353.0,21756.0,56218.0,60877.0,58812.0,58380.0,59971.0,61002.0,65574.0,77246.0,68155.0,109422.0
4,2,22,barrichello,23,5,1,Finished,4698,6295.0,8784.0,9520.0,9588.0,9842.0,9992.0,9888.0,9880.0,10136.0,10376.0,10884.0,11340.0,11504.0,8688.0,7871.0,6648.0,7540.0,5500.0,0.0,11973.0,19464.0,23728.0,22929.0,20190.0,21376.0,24874.0,32440.0,46409.0,31472.0,47360.0
5,2,8,raikkonen,6,14,11,+1 Lap,5646,7222.0,9483.0,12463.0,14451.0,16723.0,18904.0,21122.0,22988.0,24940.0,26523.0,27863.0,29032.0,30008.0,28000.0,28093.0,27839.0,33612.0,73517.0,86718.0,93072.0,109114.0,90103.0,87040.0,80729.0,78598.0,76234.0,73748.0,75289.0,91138.0,142841.0
6,2,17,webber,9,6,1,Finished,6234,7805.0,10157.0,13121.0,15081.0,17295.0,19466.0,21488.0,23699.0,25580.0,28801.0,31126.0,31952.0,31961.0,29057.0,31388.0,55218.0,57691.0,57035.0,50012.0,36461.0,39423.0,36017.0,34131.0,30356.0,28260.0,27476.0,25399.0,22843.0,28855.0,52333.0
7,2,10,glock,7,3,1,Finished,6801,8300.0,10485.0,13663.0,16067.0,17774.0,19912.0,22065.0,24313.0,26142.0,29501.0,31707.0,35380.0,37657.0,40786.0,65657.0,66366.0,69131.0,70206.0,63832.0,54832.0,60971.0,54806.0,45509.0,34726.0,30420.0,28001.0,24667.0,16427.0,5167.0,23513.0
8,2,2,heidfeld,2,2,1,Finished,7921,10123.0,12524.0,15841.0,18263.0,21286.0,23704.0,25805.0,30317.0,32833.0,35908.0,38274.0,40701.0,43572.0,42573.0,43686.0,44063.0,47077.0,46795.0,40151.0,27293.0,31800.0,34786.0,32420.0,30955.0,32085.0,32855.0,31534.0,27508.0,14192.0,22722.0
9,2,1,hamilton,1,7,1,Finished,8429,11007.0,13201.0,17166.0,19343.0,22721.0,25156.0,27286.0,29164.0,31201.0,33255.0,35398.0,37546.0,39418.0,38870.0,39736.0,40170.0,43123.0,43039.0,36651.0,23429.0,31180.0,36256.0,34326.0,31825.0,34732.0,44031.0,59248.0,52533.0,42340.0,60733.0
10,2,20,vettel,9,15,20,Spun off,9630,11373.0,13912.0,16400.0,18471.0,21831.0,24088.0,26086.0,27164.0,27931.0,29897.0,32133.0,39110.0,65747.0,64795.0,66452.0,67880.0,70874.0,71587.0,65751.0,55825.0,61727.0,59884.0,56159.0,54082.0,57853.0,68495.0,61596.0,54121.0,39819.0,
11,2,13,massa,6,9,1,Finished,9963,12784.0,15353.0,18511.0,20755.0,23705.0,26418.0,28710.0,31294.0,33871.0,37346.0,39334.0,41655.0,44005.0,43509.0,44581.0,45124.0,47874.0,47601.0,41081.0,28351.0,39391.0,40389.0,37420.0,35151.0,35705.0,36721.0,35298.0,35063.0,44946.0,76932.0
