,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
0,hamilton,1,1,1,1,1,1,1,1,1,1,1,1,1,2,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,button,2,2,2,3,6,2,2,2,2,2,2,2,8,16,13,20,19,19,19,19,19,19,18,18,18,18,18,18,17,17,16,16,16,16,15,14,14,14,14,15,15,15,15,15,15,13,13,13,13,13,13,13,13,13,12,13
2,webber,3,3,3,2,2,4,4,4,3,4,4,4,3,5,10,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4
3,vettel,4,4,4,4,3,6,6,6,6,6,6,6,5,4,2,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,11,11,11,11,11,11,11,10,10
4,alonso,5,5,5,7,12,5,5,5,5,5,5,5,4,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,rosberg,6,6,6,5,4,9,9,9,9,9,9,9,14,17,7,4,4,4,4,4,4,4,5,6,7,8,15,14,14,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,12
6,maldonado,7,7,7,6,5,14,14,14,13,14,14,14,12,10,17,19,18,18,18,18,18,18,16,16,16,15,14,12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,10,10,10,10,10,9,9,9,9,9,9,10,0,0
7,raikkonen,8,8,8,8,7,13,13,13,14,13,13,13,16,18,9,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5
8,kobayashi,9,9,9,9,9,16,16,16,16,16,16,16,18,20,15,12,12,13,13,14,14,14,14,14,13,13,12,11,11,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,15,0,0,0,0,0,0,0,0,0,0
9,massa,10,10,12,18,14,8,8,8,8,8,8,8,6,8,11,8,8,8,8,8,8,8,8,8,8,9,11,15,15,15,15,15,15,15,16,17,17,16,18,17,17,17,16,16,16,16,15,15,15,15,15,15,15,15,14,14
10,perez,11,23,19,13,8,3,3,3,4,3,3,3,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,resta,12,16,23,19,15,12,12,12,10,12,12,12,10,9,14,9,9,9,9,9,9,9,9,9,9,7,7,7,7,7,7,7,7,7,7,7,7,7,8,9,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6
12,hulkenberg,13,11,10,12,16,11,11,11,12,11,11,11,11,7,4,11,11,11,11,11,11,11,11,11,11,11,9,9,9,9,9,9,9,9,9,9,9,9,9,7,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8
13,vergne,14,12,11,10,11,7,7,7,7,7,7,7,7,6,3,10,10,10,10,10,10,10,10,10,10,10,8,8,8,8,8,8,8,8,8,8,8,8,7,6,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7
14,kovalainen,15,14,14,16,21,21,21,21,21,21,21,21,17,13,19,15,15,16,16,16,16,16,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19,19,19,19,19,19,19,18,18,18,18,18,18,18,18,17,0
15,michael_schumacher,16,13,13,11,10,15,15,15,15,15,15,15,13,11,16,13,13,12,12,12,12,12,12,12,12,12,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,9,9,9
16,ricciardo,17,15,15,14,18,18,18,18,18,18,18,18,15,12,18,14,14,14,14,13,13,13,13,13,14,17,16,16,16,16,17,17,17,17,17,16,16,17,16,14,13,13,13,13,13,12,12,12,12,12,12,12,12,12,11,11
