,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
18,863.0,811.0,bruno_senna,22.0,76.0,Vibrations,108965.0,212248.0,314449.0,416634.0,518536.0,620704.0,723263.0,825754.0,931793.0,1053377.0,1155580.0,1257909.0,1360079.0,1461302.0,1562091.0,1663053.0,1765389.0,1866681.0,1968199.0,2069657.0,2170796.0,2272296.0,2374049.0,2478173.0,2596344.0,2695706.0,2795148.0,2894636.0,2994312.0,3094598.0,3194652.0,3295113.0,3394861.0,3494984.0,3595075.0,3695109.0,3795265.0,3897561.0,4014569.0,4113068.0,4211426.0,4309677.0,4408120.0,4507066.0,4605691.0,4704024.0,4802346.0,4900795.0,4999255.0,5098009.0,5196096.0,5294698.0,5393304.0,5495306.0,,,
20,863.0,814.0,resta,6.0,1.0,Finished,109276.0,211093.0,313596.0,415056.0,516265.0,617833.0,719881.0,822061.0,923347.0,1025394.0,1127136.0,1229123.0,1331761.0,1436490.0,1555159.0,1655099.0,1755308.0,1855737.0,1956368.0,2057228.0,2157411.0,2259889.0,2360217.0,2461263.0,2561971.0,2662904.0,2763639.0,2864621.0,2965777.0,3067187.0,3168291.0,3269625.0,3374312.0,3491935.0,3590377.0,3689101.0,3787750.0,3886236.0,3984849.0,4083248.0,4181620.0,4280044.0,4378540.0,4477011.0,4575396.0,4673801.0,4772610.0,4871467.0,4970584.0,5070026.0,5169283.0,5269626.0,5368920.0,5468786.0,5568434.0,5668389.0,5768533.0
15,863.0,155.0,kobayashi,13.0,1.0,Finished,110115.0,212833.0,315358.0,417484.0,519412.0,621725.0,724090.0,826245.0,928663.0,1030326.0,1132085.0,1234769.0,1337102.0,1443537.0,1562753.0,1663438.0,1763657.0,1864040.0,1964905.0,2065490.0,2165819.0,2266185.0,2367218.0,2468411.0,2569095.0,2670327.0,2771018.0,2872422.0,2973765.0,3075074.0,3179291.0,3300140.0,3398925.0,3498127.0,3597496.0,3696724.0,3796244.0,3896741.0,3995792.0,4094873.0,4195470.0,4294525.0,4393857.0,4493193.0,4594711.0,4694918.0,4794803.0,4894920.0,4996574.0,5099341.0,5217926.0,5314989.0,5412009.0,5508709.0,5605854.0,5703108.0,5801324.0
23,863.0,818.0,vergne,14.0,1.0,Finished,110641.0,213479.0,315947.0,418070.0,520207.0,622820.0,726790.0,830504.0,933240.0,1038743.0,1159578.0,1260431.0,1361849.0,1462909.0,1564483.0,1665819.0,1767335.0,1868908.0,1970478.0,2071857.0,2173578.0,2274898.0,2377203.0,2480196.0,2589189.0,2707788.0,2807069.0,2907236.0,3006284.0,3105971.0,3205499.0,3305150.0,3404762.0,3504319.0,3604354.0,3704484.0,3805234.0,3906408.0,4007527.0,4111752.0,4228299.0,4325439.0,4422497.0,4519986.0,4617614.0,4715369.0,4812844.0,4910627.0,5008552.0,5106549.0,5204818.0,5303164.0,5402101.0,5501185.0,5601168.0,5702439.0,5804713.0
19,863.0,813.0,maldonado,23.0,29.0,Puncture,111140.0,214503.0,316598.0,418568.0,520705.0,622871.0,725389.0,827509.0,929817.0,1031562.0,1135386.0,1254348.0,1354325.0,1454201.0,1554230.0,1654338.0,1754581.0,1855017.0,1955631.0,2056685.0,2158427.0,2260346.0,2363494.0,2480944.0,2628649.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,863.0,817.0,ricciardo,15.0,11.0,+1 Lap,111303.0,215747.0,318493.0,420781.0,523189.0,625637.0,730714.0,853213.0,954745.0,1056192.0,1158472.0,1259561.0,1361050.0,1462437.0,1566836.0,1668793.0,1770255.0,1873429.0,1975512.0,2077560.0,2180153.0,2283700.0,2389782.0,2509458.0,2610360.0,2710970.0,2811084.0,2911070.0,3010783.0,3110451.0,3210563.0,3310639.0,3411090.0,3512096.0,3613094.0,3714572.0,3815826.0,3919002.0,4036581.0,4135086.0,4233183.0,4331086.0,4429112.0,4527568.0,4625668.0,4723993.0,4822101.0,4920100.0,5018168.0,5117593.0,5216062.0,5314492.0,5414605.0,5515611.0,5614864.0,5716866.0,
17,863.0,808.0,petrov,16.0,11.0,+1 Lap,111681.0,216143.0,319048.0,421523.0,523908.0,626569.0,729338.0,833602.0,937183.0,1043464.0,1163808.0,1264609.0,1365453.0,1466417.0,1567833.0,1669557.0,1770839.0,1872567.0,1974339.0,2076070.0,2178101.0,2280668.0,2386838.0,2506721.0,2606537.0,2706293.0,2806472.0,2906867.0,3008163.0,3108763.0,3209100.0,3309701.0,3410710.0,3511569.0,3612623.0,3714004.0,3816289.0,3918701.0,4023227.0,4141892.0,4240364.0,4338669.0,4437292.0,4536468.0,4635511.0,4735698.0,4835827.0,4934894.0,5033440.0,5132309.0,5231489.0,5331962.0,5431282.0,5530510.0,5630537.0,5730905.0,
11,863.0,30.0,michael_schumacher,10.0,1.0,Finished,112232.0,214992.0,317180.0,419188.0,521355.0,623582.0,727205.0,829572.0,933868.0,1053953.0,1154820.0,1255625.0,1355797.0,1456161.0,1556778.0,1657028.0,1757639.0,1858612.0,1959435.0,2060597.0,2162016.0,2263612.0,2368071.0,2485612.0,2586223.0,2686689.0,2786177.0,2885860.0,2985730.0,3085214.0,3184984.0,3284592.0,3384377.0,3483877.0,3583830.0,3683843.0,3786273.0,3902986.0,4001114.0,4099454.0,4197945.0,4296090.0,4394317.0,4493654.0,4592594.0,4690967.0,4789499.0,4888148.0,4986979.0,5085933.0,5184824.0,5283841.0,5382965.0,5482624.0,5582494.0,5682495.0,5782480.0
16,863.0,807.0,hulkenberg,12.0,1.0,Finished,112657.0,216473.0,319451.0,421968.0,524414.0,627067.0,730008.0,832206.0,936762.0,1056775.0,1157765.0,1258517.0,1359199.0,1459783.0,1560558.0,1661386.0,1762248.0,1863195.0,1966486.0,2084275.0,2183915.0,2284043.0,2384546.0,2484593.0,2585973.0,2687521.0,2787297.0,2887402.0,2987578.0,3088625.0,3188900.0,3288635.0,3388527.0,3488814.0,3589641.0,3693185.0,3810833.0,3909359.0,4007897.0,4106562.0,4204969.0,4303777.0,4402205.0,4500649.0,4599259.0,4697571.0,4796327.0,4895607.0,4994839.0,5093516.0,5192174.0,5290922.0,5389526.0,5488527.0,5588439.0,5687522.0,5787529.0
24,863.0,819.0,pic,24.0,5.0,Engine,113513.0,218014.0,321898.0,425493.0,529153.0,632963.0,736802.0,840746.0,945442.0,1048853.0,1152945.0,1260624.0,1382505.0,1484024.0,1586127.0,1687962.0,1789682.0,1891540.0,1993421.0,2095409.0,2197215.0,2299338.0,2401522.0,2503147.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,863.0,10.0,glock,19.0,12.0,+2 Laps,113874.0,218786.0,322788.0,426656.0,530691.0,634711.0,739339.0,843936.0,949265.0,1058044.0,1180918.0,1283053.0,1385600.0,1488209.0,1591054.0,1694238.0,1797301.0,1901323.0,2004330.0,2108054.0,2211813.0,2315650.0,2423259.0,2553150.0,2656059.0,2760108.0,2862419.0,2967354.0,3070965.0,3173100.0,3276523.0,3384258.0,3486649.0,3588890.0,3693600.0,3798426.0,3901858.0,4008980.0,4131991.0,4232682.0,4334406.0,4434958.0,4535606.0,4639441.0,4740954.0,4841277.0,4943045.0,5044112.0,5147615.0,5248562.0,5350115.0,5452884.0,5554321.0,5656540.0,5759562.0,,
12,863.0,37.0,rosa,20.0,12.0,+2 Laps,114477.0,219646.0,324234.0,428401.0,532893.0,637750.0,743134.0,847954.0,955705.0,1078657.0,1181885.0,1284960.0,1388069.0,1491753.0,1595661.0,1699982.0,1803746.0,1907796.0,2012228.0,2117156.0,2222788.0,2332373.0,2453856.0,2557190.0,2660738.0,2766842.0,2873359.0,2981768.0,3084390.0,3188590.0,3291793.0,3395877.0,3500297.0,3603825.0,3708668.0,3813718.0,3920590.0,4026984.0,4148034.0,4251270.0,4351507.0,4455455.0,4556435.0,4657135.0,4758401.0,4860917.0,4962339.0,5063815.0,5165667.0,5267689.0,5373717.0,5478919.0,5581233.0,5685823.0,5790175.0,,
13,863.0,39.0,karthikeyan,21.0,12.0,+2 Laps,114885.0,220298.0,324641.0,429501.0,534410.0,640856.0,746141.0,852453.0,959576.0,1069460.0,1195680.0,1298580.0,1401556.0,1504531.0,1607667.0,1711468.0,1816058.0,1919870.0,2024253.0,2130320.0,2239154.0,2364038.0,2466002.0,2571570.0,2674024.0,2777221.0,2882972.0,2985656.0,3089286.0,3192447.0,3296799.0,3403163.0,3527779.0,3628497.0,3729973.0,3831749.0,3933208.0,4035001.0,4138211.0,4239943.0,4342333.0,4444887.0,4547885.0,4651583.0,4756675.0,4883064.0,4984162.0,5083909.0,5183852.0,5286792.0,5387096.0,5487225.0,5588042.0,5689223.0,5790771.0,,
4,863.0,5.0,kovalainen,17.0,11.0,+1 Lap,128866.0,251607.0,352720.0,454093.0,555454.0,657225.0,759000.0,860888.0,962937.0,1065596.0,1168162.0,1270575.0,1375737.0,1495604.0,1596268.0,1697371.0,1798587.0,1900296.0,2001424.0,2102512.0,2203848.0,2305201.0,2406934.0,2509060.0,2613820.0,2732499.0,2831744.0,2931493.0,3031473.0,3131758.0,3231786.0,3331915.0,3431891.0,3531916.0,3632107.0,3732684.0,3832939.0,3936182.0,4056695.0,4155195.0,4253749.0,4352327.0,4450768.0,4551077.0,4650597.0,4749291.0,4848138.0,4946994.0,5046116.0,5145853.0,5244734.0,5344053.0,5443641.0,5542964.0,5642323.0,5742092.0,
