,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
18,876,813,maldonado,3,16,11,+1 Lap,101297,197077,292208,386435,480291,574385,668080,762229,855724,948871,1042234,1135308,1228512,1321668,1414946,1509878,1602430,1694877,1787574,1880111,1972089.0,2064558.0,2157015.0,2250393.0,2342743.0,2435453.0,2529301.0,2639536.0,2733319.0,2860950.0,2980735.0,3072687.0,3164096.0,3255223.0,3346343.0,3437042.0,3528061.0,3618851.0,3709701.0,3801087.0,3891573.0,3981993.0,4072764.0,4163720.0,4255212.0,4349865.0,4441212.0,4532829.0,4624407.0,4714474.0,4804677.0,4895834.0,4986856.0,5079129.0,5170285.0,5260822.0,5350915.0,5442118.0,5532432.0,
13,876,154,grosjean,208,9,1,Finished,101771,197497,292906,386938,480860,575151,668540,762918,856298,949658,1042821,1135949,1229163,1322264,1415014,1508082,1600414,1692409,1784565,1877050,1969808.0,2062733.0,2154183.0,2245720.0,2337132.0,2428767.0,2520141.0,2611232.0,2702384.0,2793696.0,2885141.0,2977362.0,3069261.0,3160512.0,3252063.0,3345213.0,3452570.0,3542597.0,3632481.0,3722968.0,3813183.0,3903332.0,3993630.0,4084099.0,4175081.0,4265977.0,4356499.0,4446912.0,4536784.0,4626785.0,4717828.0,4808200.0,4897878.0,4988397.0,5078167.0,5168151.0,5257673.0,5347485.0,5437223.0,5526847.0
17,876,811,bruno_senna,3,10,1,Finished,102608,198310,293840,387903,481765,575587,669364,763609,857195,950428,1043734,1136790,1229839,1322930,1415724,1509130,1601324,1693453,1785560,1878043,1970573.0,2063572.0,2156234.0,2249413.0,2341905.0,2437148.0,2547022.0,2640519.0,2733659.0,2827085.0,2919466.0,3011831.0,3103852.0,3195362.0,3287390.0,3378814.0,3469927.0,3561634.0,3652143.0,3743143.0,3833983.0,3924440.0,4015244.0,4105822.0,4196809.0,4288045.0,4378813.0,4469208.0,4560370.0,4650915.0,4740974.0,4831003.0,4921648.0,5011282.0,5100666.0,5189957.0,5279090.0,5368198.0,5457288.0,5545719.0
19,876,814,resta,10,12,1,Finished,103061,199058,294580,389056,483433,577490,671489,765447,859358,952927,1046585,1140390,1233824,1326824,1419885,1513101,1606210,1699133,1792146,1885332,1978167.0,2070608.0,2163314.0,2255854.0,2348754.0,2441088.0,2533836.0,2628554.0,2740773.0,2833282.0,2925849.0,3017313.0,3108996.0,3200942.0,3292527.0,3384192.0,3476513.0,3567620.0,3658924.0,3750017.0,3841522.0,3932343.0,4023090.0,4113616.0,4204424.0,4295192.0,4385450.0,4475892.0,4566605.0,4656649.0,4746544.0,4836499.0,4926300.0,5016185.0,5105996.0,5195413.0,5285127.0,5375229.0,5464315.0,5553559.0
21,876,817,ricciardo,5,13,1,Finished,103788,200268,295804,390679,485134,579950,674259,768587,862769,956719,1050704,1144530,1238185,1332015,1425615,1519448,1613053,1707043,1801580,1894822,1988007.0,2081289.0,2174726.0,2267711.0,2360363.0,2452968.0,2547904.0,2659708.0,2751728.0,2843912.0,2935681.0,3027313.0,3118843.0,3210113.0,3301381.0,3392520.0,3483418.0,3574115.0,3665234.0,3755529.0,3846145.0,3936793.0,4027403.0,4117577.0,4208206.0,4298956.0,4388991.0,4479206.0,4569127.0,4659241.0,4748975.0,4839110.0,4928948.0,5018825.0,5108489.0,5198088.0,5287528.0,5377035.0,5466581.0,5556808.0
14,876,155,kobayashi,15,14,1,Finished,104475,200801,296603,391466,486329,581126,675679,769763,863953,957898,1051876,1145766,1239355,1333071,1426773,1520776,1615621,1709571,1803331,1896306,1988986.0,2081861.0,2175240.0,2268367.0,2360987.0,2453580.0,2546328.0,2638926.0,2732714.0,2826353.0,2918753.0,3010862.0,3102473.0,3194469.0,3286971.0,3382411.0,3491567.0,3581731.0,3671698.0,3761802.0,3852151.0,3942557.0,4032517.0,4122605.0,4212661.0,4302795.0,4392571.0,4482336.0,4571741.0,4661869.0,4751073.0,4840599.0,4930479.0,5019935.0,5109474.0,5199034.0,5288326.0,5377636.0,5467366.0,5557239.0
11,876,37,rosa,164,23,3,Accident,105204,203610,301444,398552,494588,590630,686616,782592,879822,976054,1071674,1167548,1262900,1359276,1454260,1549223,1644286,1739281,1834238,1929251,2025318.0,2119850.0,2216587.0,2311222.0,2406810.0,2501729.0,2596315.0,2690841.0,2785710.0,2880171.0,2974403.0,3071572.0,3185247.0,3278970.0,3372560.0,3466170.0,3561361.0,3655387.0,3748251.0,3842595.0,3936042.0,4030063.0,,,,,,,,,,,,,,,,,,
3,876,5,kovalainen,207,18,11,+1 Lap,105608,201921,297520,392589,487652,582619,677382,771908,866338,960645,1055004,1149158,1243278,1337338,1431347,1525018,1618788,1712380,1806442,1899660,1992836.0,2086165.0,2179389.0,2272908.0,2366391.0,2459586.0,2552475.0,2645968.0,2738893.0,2832104.0,2925294.0,3021619.0,3135646.0,3228946.0,3321826.0,3415088.0,3510075.0,3602793.0,3697511.0,3791291.0,3884216.0,3978962.0,4072094.0,4168452.0,4261485.0,4354096.0,4449653.0,4542190.0,4634191.0,4725854.0,4817698.0,4909958.0,5001362.0,5092540.0,5184044.0,5275455.0,5366241.0,5459688.0,5551148.0,
23,876,819,pic,206,19,11,+1 Lap,106250,203952,300035,395299,490229,585260,680445,775390,870216,965340,1061262,1155952,1250503,1344602,1438626,1532722,1626785,1720966,1815209,1909085,2002978.0,2096605.0,2190095.0,2283493.0,2376764.0,2470014.0,2563362.0,2659494.0,2772905.0,2865856.0,2958850.0,3051729.0,3147283.0,3241068.0,3334024.0,3428139.0,3521239.0,3614362.0,3707862.0,3800515.0,3895520.0,3988660.0,4081138.0,4173832.0,4268751.0,4360916.0,4453249.0,4545548.0,4637938.0,4730535.0,4822643.0,4914489.0,5006323.0,5097740.0,5189106.0,5281749.0,5374819.0,5469303.0,5561326.0,
16,876,808,petrov,207,17,11,+1 Lap,106617,204331,301776,397167,492219,587204,682065,776533,871067,965967,1059880,1153787,1247834,1341835,1435838,1529594,1623237,1716928,1811318,1904789,1998364.0,2091855.0,2185209.0,2278409.0,2371438.0,2464874.0,2558227.0,2651338.0,2745062.0,2838471.0,2933749.0,3045150.0,3137525.0,3230449.0,3323437.0,3418565.0,3511413.0,3604172.0,3698310.0,3790138.0,3882777.0,3975268.0,4069370.0,4161518.0,4253778.0,4345871.0,4438191.0,4531595.0,4624049.0,4717095.0,4810252.0,4902264.0,4993927.0,5085326.0,5176676.0,5268747.0,5360144.0,5451307.0,5542477.0,
5,876,10,glock,206,20,12,+2 Laps,107492,205000,302415,399159,495163,591146,687221,783177,878260,973062,1067791,1162330,1256734,1351137,1445430,1539717,1633945,1728177,1822970,1917979,2011789.0,2105644.0,2199533.0,2293279.0,2387730.0,2481288.0,2574859.0,2669425.0,2763213.0,2856868.0,2952089.0,3072167.0,3166524.0,3261514.0,3354596.0,3447611.0,3541506.0,3635307.0,3728278.0,3820960.0,3914059.0,4007949.0,4100668.0,4193621.0,4286367.0,4381074.0,4473800.0,4567423.0,4661356.0,4754741.0,4848080.0,4940509.0,5032687.0,5126028.0,5220265.0,5311986.0,5403771.0,5495546.0,,
12,876,39,karthikeyan,164,21,12,+2 Laps,107707,205627,302928,400040,496666,592997,689993,786001,882214,977959,1074008,1170860,1266328,1361538,1456774,1551769,1646543,1741447,1835972,1932920,2029289.0,2126020.0,2221335.0,2317261.0,2412068.0,2509351.0,2625536.0,2720428.0,2814626.0,2908975.0,3002910.0,3097274.0,3192337.0,3286578.0,3382589.0,3477037.0,3570835.0,3664549.0,3758254.0,3851517.0,3945640.0,4040155.0,4134577.0,4229157.0,4322798.0,4417618.0,4510297.0,4602910.0,4696248.0,4788936.0,4881339.0,4973641.0,5065802.0,5161202.0,5254000.0,5348244.0,5442411.0,5535745.0,,
22,876,818,vergne,5,15,11,+1 Lap,116658,232533,326706,420572,513887,607365,701072,794479,887877,981248,1075063,1168852,1263281,1356903,1450153,1543551,1636624,1729781,1823658,1916454,2009320.0,2101825.0,2194505.0,2287297.0,2379969.0,2472627.0,2565743.0,2660791.0,2753414.0,2846656.0,2939632.0,3032559.0,3127710.0,3239831.0,3332179.0,3425702.0,3518585.0,3610525.0,3702018.0,3793643.0,3885201.0,3976234.0,4069841.0,4162463.0,4254688.0,4346803.0,4440589.0,4532221.0,4622458.0,4713396.0,4803957.0,4895266.0,4986117.0,5076568.0,5169714.0,5260206.0,5350389.0,5441752.0,5531843.0,
