,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0,hamilton,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,bottas,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,max_verstappen,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,ricciardo,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,ocon,5,5,5,5,5,5,5,5,5,5,5,8,8,8,8,8,8,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5
5,albon,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6
6,stroll,7,7,7,7,7,7,7,7,7,7,8,9,9,9,9,9,9,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,9,9
7,leclerc,8,8,9,10,10,11,12,12,12,13,14,14,14,14,14,14,14,14,13,13,13,13,13,15,16,16,16,16,16,16,16,16,16,16,15,15,15,15,15,15,15,15,15,14
8,perez,9,10,10,9,9,9,9,9,9,9,9,5,5,5,5,5,7,12,16,16,16,16,16,14,14,13,12,12,11,11,11,11,10,10,10,9,9,9,9,10,10,10,10,10
9,gasly,10,9,8,8,8,8,8,8,8,8,7,4,4,4,4,4,4,4,4,4,5,5,5,6,6,10,15,15,14,13,13,12,12,11,11,10,10,10,10,9,9,9,8,8
10,norris,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7
11,kvyat,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,11,11,11,11,11,11,11,11,11
12,vettel,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,13,13,13,12,12,12,12,12,12,12,12,11,11,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13
13,giovinazzi,14,14,14,14,14,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,kevin_magnussen,15,15,15,16,17,18,18,18,18,16,16,16,16,16,16,16,16,16,15,15,15,15,15,16,15,15,14,14,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16
15,raikkonen,16,16,16,15,15,15,15,15,15,14,13,13,13,13,13,12,12,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,11,12,12,12,12,12,12,12,12,12,12,12
16,russell,17,17,17,17,16,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,grosjean,18,18,18,18,18,17,17,17,17,15,15,15,15,15,15,15,15,15,14,14,14,14,14,13,13,14,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15
