,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
1,870,3,rosberg,131,10,1,Finished,100709,192305,282846,372798,462714,551801,641151,730099,819091,908329,997473,1086890,1175846,1264922,1354394,1445094,1550824,1639402,1728153,1816488,1904715,1992481,2080870,2169650,2257856,2345885,2433582,2521280,2608945,2696866,2784814,2872346,2960147,3047820,3135247,3222542,3310109,3398071,3486053,3576916,3682005,3768954,3856433,3944038,4031664,4119078,4206644,4294978,4382263,4469507,4557445,4644175,4731205,4818328,4904739,4991401,5077783,5163613,5249958.0,5336288.0,5422922.0,5509961.0,5596219.0,5682445.0,5769114.0,5855890.0,5942473.0,6029771.0,6116737.0
18,870,813,maldonado,3,13,1,Finished,101573,192946,283536,373590,463533,553000,642338,731494,820705,909597,998734,1088126,1177126,1266252,1358115,1463930,1553459,1642344,1731043,1819699,1908307,1996589,2085127,2173570,2262514,2351062,2439343,2527304,2615356,2703282,2791224,2879249,2967034,3054988,3142995,3231086,3318929,3406722,3494680,3582425,3672486,3776413,3863642,3950617,4037853,4126405,4215727,4301987,4388764,4476265,4563098,4652260,4749280,4836339,4923033,5009466,5095489,5181389,5267773.0,5353810.0,5440157.0,5526645.0,5612368.0,5698395.0,5784206.0,5870282.0,5956337.0,6042287.0,6129109.0
20,870,815,perez,15,14,1,Finished,101984,193466,284181,374314,464321,553672,643309,732411,821486,910504,999922,1089419,1178937,1268129,1357421,1447285,1536506,1626195,1715645,1807049,1901096,2006379,2094166,2182537,2270770,2359366,2448875,2537478,2626411,2715100,2803486,2892001,2981496,3070669,3158317,3245286,3332394,3419658,3506926,3594118,3682986,3771211,3859140,3947197,4035991,4125110,4217696,4322062,4408652,4495333,4581711,4668369,4755824,4842098,4929244,5015684,5101382,5186918,5272607.0,5358205.0,5443615.0,5529412.0,5615089.0,5700955.0,5786173.0,5871769.0,5957840.0,6043735.0,6129997.0
19,870,814,resta,10,12,1,Finished,102366,194234,285497,376020,466543,556142,645463,734423,823194,912439,1001671,1090979,1179849,1269003,1358411,1450497,1556349,1644760,1733153,1821369,1909403,1997770,2086110,2174545,2263486,2351700,2440655,2528691,2616546,2704448,2792479,2880488,2968678,3056731,3144610,3232650,3320425,3410451,3512953,3599851,3686821,3774288,3861446,3948844,4036944,4126049,4216508,4303568,4390560,4478542,4565827,4652240,4738435,4824640,4911346,4997471,5083447,5169603,5256071.0,5342320.0,5428911.0,5515652.0,5602928.0,5689471.0,5776977.0,5864667.0,5952190.0,6039951.0,6128390.0
21,870,817,ricciardo,5,15,11,+1 Lap,102752,194890,286109,376886,467406,557374,647300,737285,826783,916295,1005857,1095378,1184621,1276230,1383720,1472362,1561199,1650143,1738831,1827418,1915872,2004271,2092819,2181273,2269702,2358497,2448143,2536551,2625711,2714096,2802756,2891341,2980655,3072777,3178374,3266802,3354275,3441736,3528969,3617590,3704721,3791987,3878995,3966167,4053632,4140794,4230465,4335822,4423614,4510758,4597839,4684582,4771550,4858894,4949343,5036817,5127537,5214503,5301011.0,5388225.0,5475711.0,5562807.0,5650189.0,5738719.0,5827648.0,5914517.0,6001299.0,6088248.0,
3,870,5,kovalainen,207,17,11,+1 Lap,103176,196275,287505,378348,468883,559216,649602,739781,829336,919252,1009449,1099508,1189169,1279069,1369056,1459357,1553218,1660760,1750812,1840782,1929986,2018908,2107862,2197524,2286860,2376157,2465036,2553997,2643027,2732147,2821501,2910995,3000393,3089261,3179980,3271909,3379666,3468107,3558214,3650292,3741004,3829494,3917866,4006489,4096793,4185233,4273623,4365720,4455821,4544383,4634212,4722519,4811096,4899293,4988116,5079448,5184991,5271792,5360847.0,5448247.0,5535083.0,5621678.0,5708608.0,5795624.0,5882665.0,5969536.0,6057105.0,6144499.0,
22,870,818,vergne,5,16,11,+1 Lap,103469,195599,286774,377529,468073,558499,648504,738413,828013,918086,1007979,1100802,1207357,1296069,1385361,1476024,1565068,1654489,1743670,1832689,1921700,2010474,2099261,2188207,2277008,2365945,2455172,2544527,2634568,2728581,2833871,2921742,3009381,3098055,3185720,3273182,3360678,3447799,3535069,3622347,3709626,3796806,3884713,3972644,4060588,4151216,4260838,4348395,4435449,4522536,4609501,4696680,4783252,4869773,4956792,5043772,5130353,5216769,5303017.0,5389547.0,5476943.0,5564008.0,5651558.0,5745240.0,5848139.0,5934200.0,6020326.0,6108485.0,
16,870,808,petrov,207,19,12,+2 Laps,104063,196851,288283,379402,469944,560140,650666,740621,830409,920741,1010891,1100984,1191541,1281930,1372037,1463044,1556090,1651120,1759088,1848600,1938817,2027800,2117248,2206286,2295001,2384009,2473173,2562158,2651279,2740484,2829645,2918836,3008138,3097832,3190712,3297814,3386820,3478014,3567186,3656707,3748617,3838308,3927330,4019254,4108908,4198565,4290003,4379216,4468083,4558528,4649756,4755189,4844368,4932148,5021604,5109598,5199211,5287721,5375350.0,5465411.0,5554294.0,5642076.0,5732288.0,5820460.0,5910043.0,5998582.0,6086719.0,,
14,870,155,kobayashi,15,18,12,+2 Laps,104433,197505,289284,380037,470833,560991,651446,744088,850786,940152,1029070,1117369,1206001,1294549,1384332,1473933,1564611,1653757,1742774,1831591,1920369,2008917,2098226,2187085,2275784,2364492,2453272,2542058,2632648,2721793,2810819,2899936,2988622,3077618,3166563,3256544,3345849,3435775,3526398,3620010,3726620,3813917,3900445,3987218,4074040,4159927,4246218,4333174,4420046,4506490,4592665,4678844,4765251,4851346,4937687,5024451,5111018,5197785,5284139.0,5370269.0,5456014.0,5542319.0,5628536.0,5715694.0,5802474.0,5889728.0,5983645.0,,
23,870,819,pic,206,20,12,+2 Laps,105467,199297,291671,383539,475171,566498,657553,748644,839249,930210,1021013,1111845,1202433,1292922,1383505,1475794,1567366,1658300,1749405,1842796,1949319,2038046,2127141,2216214,2304985,2393889,2482834,2571847,2661017,2752892,2842426,2932552,3025832,3115612,3204904,3294568,3386939,3479504,3573982,3681466,3775397,3865746,3954761,4043670,4132916,4222007,4311262,4400425,4489512,4578735,4667882,4758056,4847432,4936660,5027428,5116341,5207957,5298176,5386999.0,5478531.0,5567488.0,5657234.0,5746486.0,5837478.0,5929426.0,6018301.0,6109343.0,,
5,870,10,glock,206,21,13,+3 Laps,105902,199879,301984,393580,485239,577167,669040,761047,853449,945543,1037507,1129490,1221927,1314488,1406517,1499285,1591798,1688661,1800468,1895108,1987372,2079649,2171415,2265774,2357229,2450250,2541216,2635395,2727100,2818149,2908942,3002236,3092439,3182633,3272897,3363297,3456114,3548048,3638748,3732066,3839631,3931719,4021393,4111108,4202858,4292667,4384301,4477045,4568294,4657723,4746788,4835728,4926188,5016627,5105074,5193883,5282783,5373196,5462385.0,5556132.0,5647211.0,5736837.0,5828822.0,5918628.0,6010839.0,6105163.0,,,
11,870,37,rosa,164,22,13,+3 Laps,106612,201659,295550,388159,480612,572383,664355,756243,847949,939946,1032588,1124139,1215647,1307215,1399329,1492252,1584493,1676839,1768907,1861778,1954729,2050637,2164178,2257011,2349620,2444387,2535394,2628449,2720268,2813339,2904076,2994795,3085653,3176184,3268879,3361745,3455075,3546953,3637600,3728879,3824297,3933728,4023656,4113515,4204482,4295780,4385987,4479916,4570027,4659387,4748687,4839245,4928744,5018724,5107998,5196763,5287407,5379452,5469604.0,5559482.0,5648796.0,5738263.0,5829672.0,5920782.0,6011863.0,6105628.0,,,
12,870,39,karthikeyan,164,23,22,Suspension,107069,202381,296088,388923,481214,573783,666492,758492,850410,942909,1035294,1127135,1218572,1312163,1404731,1497465,1590196,1685687,1798931,1891730,1985200,2077322,2170610,2265252,2356600,2447947,2540620,2633623,2726618,2817767,2910549,3003262,3094373,3185373,3276807,3370754,3462337,3553147,3650610,3761444,3851710,3945152,4035460,4129681,4219990,4311265,4403683,4493890,4586786,4677224,4768525,4858285,4955994,5047942,5137558,5227064,5326894,5418768,5511284.0,5607252.0,,,,,,,,,
