,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0,356836.0,1,1,1,1,1,1,1,1,1,5,9,7,7,7,6,5,4,4,4,8,8,11,12,12,12,12,12,12,12,11,11,10,10,10,11,11,10,10,9,9,9,9,9,9
1,357845.0,2,2,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,359657.0,3,3,3,3,3,4,4,4,4,3,3,15,15,15,15,15,14,14,13,13,13,13,13,13,13,13,13,13,13,12,12,11,11,11,10,9,8,8,10,10,10,8,7,7
3,360291.0,4,4,4,4,6,6,6,6,6,6,5,3,3,2,1,2,5,3,3,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,361933.0,5,5,5,5,4,3,3,3,3,2,2,1,1,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,362519.0,6,6,6,6,5,5,5,5,5,4,4,2,2,1,3,7,7,6,5,5,5,4,4,4,4,4,4,4,5,4,4,3,3,3,3,3,11,0,0,0,0,0,0,0
6,363337.0,7,7,7,7,7,7,7,7,7,7,6,4,4,5,9,8,8,8,7,6,6,6,6,6,6,6,11,11,10,9,8,7,7,7,7,7,6,6,6,6,6,5,5,5
7,367797.0,8,8,8,8,8,8,8,8,8,8,7,5,5,3,2,1,3,7,6,4,4,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
8,367887.0,9,9,9,9,9,9,9,9,11,14,14,12,12,12,12,12,11,11,10,10,12,12,11,11,11,11,10,10,11,10,10,9,9,9,8,8,7,7,7,7,7,6,6,6
9,368637.0,10,10,10,10,11,11,11,11,10,10,10,8,8,8,7,9,12,12,12,9,9,8,8,7,7,7,6,6,6,5,6,5,5,5,5,5,4,4,4,4,4,0,0,0
10,369537.0,11,11,11,11,10,10,10,10,9,9,8,6,6,6,5,4,2,2,2,2,3,7,5,5,5,5,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,375619.0,12,15,15,15,12,12,12,12,12,11,11,9,9,9,8,6,6,5,8,11,10,9,9,8,8,8,7,7,7,6,7,6,6,6,6,6,5,5,5,5,5,4,4,4
12,370983.0,13,12,12,12,13,13,16,16,16,16,16,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,377508.0,14,16,16,16,16,16,15,14,14,13,13,11,11,11,11,11,10,10,9,7,7,5,7,10,10,10,9,9,9,7,5,4,4,4,4,4,3,3,3,3,3,3,3,3
14,373339.0,15,14,14,14,15,15,14,15,15,15,15,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,14,13,13,12,12,12,12,12,12,11,11,11,0,0,0,0
15,371905.0,16,13,13,13,14,14,13,13,13,12,12,10,10,10,10,10,9,9,11,12,11,10,10,9,9,9,8,8,8,8,9,8,8,8,9,10,9,9,8,8,8,7,8,8
