,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
21,914.0,826.0,kvyat,11.0,11.0,+1 Lap,203757.0,395150.0,1686898.0,1852286.0,2014903.0,2176484.0,2339365.0,2500370.0,2660772.0,2781541.0,2903700.0,3043305.0,3159682.0,3276561.0,3394059.0,3511318.0,3628522.0,3745063.0,3861330.0,3977676.0,4094227.0,4210626.0,4329568.0,4464775.0,4578796.0,4693766.0,4809952.0,4925891.0,5041204.0,5156430.0,5271600.0,5386667.0,5501753.0,5617082.0,5732715.0,5848665.0,5964009.0,6080589.0,6199515.0,6339188.0,6454540.0,6571175.0,6708409.0,
11,914.0,807.0,hulkenberg,8.0,1.0,Finished,205323.0,397424.0,1688142.0,1854013.0,2015968.0,2177581.0,2339894.0,2500840.0,2661272.0,2782340.0,2901409.0,3018946.0,3157107.0,3274253.0,3392061.0,3507476.0,3623131.0,3739142.0,3854386.0,3970520.0,4088606.0,4204511.0,4320554.0,4436605.0,4552550.0,4670907.0,4804338.0,4917152.0,5030741.0,5145295.0,5260116.0,5375387.0,5490588.0,5605950.0,5721295.0,5836578.0,5952461.0,6067917.0,6182958.0,6299247.0,6414953.0,6531816.0,6663105.0,6818969.0
6,914.0,16.0,sutil,21.0,3.0,Accident,206407.0,399723.0,1689100.0,1854869.0,2017436.0,2179550.0,2341178.0,2501911.0,2662313.0,2783987.0,2903119.0,3023346.0,3163732.0,3281351.0,3398691.0,3515718.0,3632167.0,3749182.0,3866061.0,3983528.0,4100784.0,4220904.0,4360783.0,4477212.0,4592965.0,4708855.0,4825189.0,4941135.0,5059070.0,5175469.0,5293061.0,5415792.0,5552024.0,5669727.0,5788834.0,5905511.0,6025805.0,6143150.0,6260529.0,6377524.0,,,,
17,914.0,821.0,gutierrez,13.0,11.0,+1 Lap,208209.0,403269.0,1691025.0,1856804.0,2018549.0,2180620.0,2342743.0,2502950.0,2662836.0,2784830.0,2907285.0,3047767.0,3166242.0,3286048.0,3404047.0,3521268.0,3638491.0,3757145.0,3874777.0,3993235.0,4110333.0,4227386.0,4343770.0,4460161.0,4576360.0,4692728.0,4809310.0,4925707.0,5043833.0,5162665.0,5279475.0,5395945.0,5512777.0,5633190.0,5772935.0,5890512.0,6008330.0,6124002.0,6239507.0,6354879.0,6472327.0,6592593.0,6734678.0,
9,914.0,154.0,grosjean,15.0,11.0,+1 Lap,211231.0,405673.0,1693173.0,1858419.0,2020178.0,2182427.0,2344142.0,2504690.0,2663662.0,2786404.0,2907997.0,3048228.0,3166411.0,3285125.0,3401643.0,3518149.0,3635069.0,3751825.0,3870362.0,3987599.0,4107150.0,4243215.0,4360237.0,4475785.0,4591516.0,4706887.0,4822953.0,4938255.0,5053927.0,5169680.0,5286534.0,5403996.0,5520607.0,5639569.0,5777997.0,5896025.0,6012668.0,6128952.0,6244915.0,6362996.0,6480134.0,6596910.0,6742780.0,
19,914.0,824.0,jules_bianchi,20.0,3.0,Accident,214131.0,408030.0,1695217.0,1861347.0,2022895.0,2184385.0,2345653.0,2506343.0,2664390.0,2787583.0,2907266.0,3025318.0,3146349.0,3289197.0,3407312.0,3525564.0,3644078.0,3762480.0,3880288.0,3998021.0,4115426.0,4233215.0,4350557.0,4471148.0,4609464.0,4728936.0,4844921.0,4964577.0,5081140.0,5197609.0,5314196.0,5432107.0,5549098.0,5667396.0,5785791.0,5904452.0,6025241.0,6142562.0,6259845.0,6377019.0,6494109.0,,,
10,914.0,155.0,kobayashi,19.0,11.0,+1 Lap,216255.0,410207.0,1696744.0,1863011.0,2024862.0,2185763.0,2346501.0,2507222.0,2664926.0,2788157.0,2910470.0,3055577.0,3174617.0,3293938.0,3413005.0,3530913.0,3649128.0,3768257.0,3886296.0,4004687.0,4122391.0,4241907.0,4359389.0,4479354.0,4599380.0,4724199.0,4867220.0,4983387.0,5099028.0,5214672.0,5330746.0,5446565.0,5566790.0,5683508.0,5800014.0,5917034.0,6033696.0,6156644.0,6304879.0,6444391.0,6560518.0,6697506.0,6839121.0,
15,914.0,818.0,vergne,9.0,1.0,Finished,219316.0,412849.0,1699490.0,1864491.0,2026660.0,2187934.0,2350438.0,2511913.0,2666242.0,2789070.0,2911379.0,3050014.0,3168045.0,3286554.0,3404503.0,3522656.0,3640633.0,3758772.0,3879150.0,4014655.0,4128277.0,4244161.0,4362053.0,4480066.0,4597324.0,4713503.0,4828658.0,4943976.0,5059598.0,5175866.0,5290449.0,5405281.0,5521591.0,5637697.0,5751259.0,5865359.0,5980759.0,6094937.0,6209406.0,6324459.0,6439236.0,6554896.0,6687464.0,6830659.0
16,914.0,820.0,chilton,18.0,11.0,+1 Lap,220077.0,415312.0,1701711.0,1865507.0,2028100.0,2188806.0,2350857.0,2512779.0,2667412.0,2792518.0,2917553.0,3061278.0,3180666.0,3300292.0,3419217.0,3539721.0,3660387.0,3779889.0,3899188.0,4019042.0,4137767.0,4256933.0,4379377.0,4519336.0,4635808.0,4756699.0,4874189.0,4991820.0,5109124.0,5228510.0,5347080.0,5465054.0,5582598.0,5699803.0,5818031.0,5939110.0,6057681.0,6175106.0,6292985.0,6411826.0,6533043.0,6670067.0,6816282.0,
12,914.0,813.0,maldonado,16.0,11.0,+1 Lap,222294.0,424701.0,1703713.0,1866307.0,2028503.0,2189312.0,2351452.0,2513272.0,2669969.0,2810469.0,2933747.0,3052002.0,3168746.0,3286930.0,3405197.0,3523449.0,3641163.0,3759259.0,3877528.0,3994424.0,4111208.0,4230288.0,4365771.0,4481192.0,4599527.0,4714229.0,4829408.0,4945307.0,5060776.0,5176708.0,5293383.0,5408621.0,5525836.0,5641290.0,5756789.0,5871812.0,5986564.0,6102680.0,6217930.0,6336117.0,6480576.0,6598702.0,6742898.0,
22,914.0,828.0,ericsson,17.0,11.0,+1 Lap,273955.0,440453.0,1705206.0,1867894.0,2029876.0,2191355.0,2353632.0,2514878.0,2669212.0,2791039.0,2916886.0,3064653.0,3182593.0,3300982.0,3420441.0,3538383.0,3655018.0,3772233.0,3889261.0,4006234.0,4123705.0,4240218.0,4356030.0,4473204.0,4593867.0,4732336.0,4847005.0,4962656.0,5078006.0,5193424.0,5309331.0,5425133.0,5540894.0,5659052.0,5777469.0,5895538.0,6012096.0,6128065.0,6248020.0,6386458.0,6502297.0,6619958.0,6770427.0,
