,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0,rosberg,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2
1,hamilton,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,bottas,3,3,3,3,3,3,3,3,3,3,4,9,5,4,4,4,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,6
3,massa,4,4,4,4,4,4,4,4,4,4,3,3,6,5,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,7
4,alonso,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,ricciardo,6,6,5,5,5,5,5,5,5,5,6,10,8,7,7,7,6,6,5,5,5,5,5,5,5,5,5,5,4,4,4,3,3,2,2,2,5,5,5,5,5,4,4,4
6,kevin_magnussen,7,7,6,6,6,6,6,6,6,6,7,11,9,8,11,20,19,19,19,18,18,17,17,17,15,15,15,15,14,14,14,13,15,16,14,14,14,14,14,14,16,15,14,0
7,button,8,8,7,7,7,7,7,7,12,19,18,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,4,4,4,4,4,5,5,5
8,vettel,9,9,8,8,8,8,8,8,7,7,5,4,7,6,6,5,5,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3
9,raikkonen,10,10,9,9,9,9,9,9,8,8,9,12,10,9,9,9,9,9,9,9,9,9,9,13,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,12,11,11,12,0
10,perez,11,11,10,10,10,10,10,10,9,9,10,13,13,12,12,11,11,11,11,11,11,11,11,9,9,11,11,11,11,10,10,10,10,10,10,10,10,10,9,9,9,9,9,0
11,kvyat,12,12,11,11,11,11,11,11,10,10,12,14,12,11,10,10,10,10,10,10,10,10,10,11,11,10,10,10,9,9,9,9,9,9,9,9,9,9,10,13,12,12,11,0
12,hulkenberg,13,13,12,12,12,12,12,12,11,11,8,5,11,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,6,6,6,6,6,8
13,sutil,14,14,13,13,13,13,13,13,13,12,11,6,14,13,13,12,12,12,12,12,12,12,16,15,14,14,14,14,15,15,16,17,18,18,18,18,18,18,18,18,0,0,0,0
14,gutierrez,15,15,14,14,14,14,14,14,14,13,14,15,15,15,15,14,14,14,14,14,14,13,12,10,10,9,9,9,10,11,11,11,11,11,15,15,15,15,15,15,13,13,13,0
15,grosjean,16,16,15,15,15,15,15,15,15,14,15,16,16,14,14,13,13,13,13,13,13,18,15,14,13,13,13,13,13,13,13,14,13,14,16,16,16,16,16,16,14,14,15,0
16,jules_bianchi,17,17,16,16,16,16,16,16,16,15,13,7,4,18,18,17,17,17,17,16,16,15,13,12,19,19,18,18,18,18,18,18,17,17,17,17,17,17,17,17,17,0,0,0
17,kobayashi,18,18,17,17,17,17,17,17,17,16,16,19,19,19,19,18,18,18,18,17,17,16,14,16,17,18,19,19,19,19,19,19,19,19,19,19,19,19,20,20,19,18,18,0
18,vergne,19,19,18,18,18,18,18,18,18,17,17,17,17,16,16,15,15,15,16,19,19,19,18,18,16,16,16,16,16,16,15,15,14,13,11,11,11,11,11,10,10,10,10,9
19,chilton,20,20,19,19,19,19,19,19,19,18,19,20,20,20,20,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19,19,18,17,17,0
20,maldonado,21,21,20,20,20,20,20,20,20,20,20,18,18,17,17,16,16,16,15,15,15,14,19,19,18,17,17,17,17,17,17,16,16,15,12,12,12,12,12,11,15,16,16,0
