,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
20,17.0,155.0,kobayashi,6.0,1.0,Finished,117861.0,224607.0,329358.0,433662.0,537356.0,640958.0,744004.0,846903.0,949599.0,1052191.0,1154593.0,1257178.0,1359322.0,1461405.0,1563497.0,1665273.0,1767349.0,1871571.0,1973930.0,2076544.0,2179056.0,2281321.0,2382946.0,2484509.0,2585993.0,2687449.0,2788828.0,2890345.0,2991565.0,3095042.0,3226175.0,3329926.0,3432801.0,3536842.0,3639407.0,3741646.0,3843913.0,3946436.0,4048553.0,4150254.0,4251732.0,4353478.0,4455488.0,4557452.0,4659793.0,4761474.0,4863014.0,4964510.0,5065900.0,5167296.0,5268203.0,5369193.0,5469988.0,5570978.0,5671757.0
7,17.0,8.0,raikkonen,12.0,1.0,Finished,118348.0,225780.0,331236.0,435937.0,540168.0,644011.0,747613.0,850960.0,953673.0,1056136.0,1158459.0,1260805.0,1363042.0,1465230.0,1567431.0,1669302.0,1773117.0,1876401.0,1978979.0,2081402.0,2183812.0,2286224.0,2388811.0,2491343.0,2593411.0,2695858.0,2797922.0,2900415.0,3004491.0,3136325.0,3240359.0,3344719.0,3448537.0,3552140.0,3655473.0,3758102.0,3860607.0,3962999.0,4065756.0,4167779.0,4270288.0,4373495.0,4475975.0,4578830.0,4681308.0,4784178.0,4886020.0,4988510.0,5089656.0,5191772.0,5292741.0,5393768.0,5494746.0,5595589.0,5697731.0
5,17.0,5.0,kovalainen,11.0,1.0,Finished,118783.0,226284.0,331802.0,436669.0,541142.0,645051.0,748739.0,852155.0,955158.0,1058134.0,1160556.0,1263245.0,1365612.0,1468180.0,1570245.0,1672217.0,1775614.0,1878167.0,1980546.0,2082700.0,2184992.0,2287668.0,2389693.0,2492151.0,2594356.0,2696794.0,2798759.0,2901399.0,3003613.0,3105496.0,3208447.0,3339230.0,3442274.0,3545505.0,3648930.0,3751809.0,3855026.0,3958541.0,4062358.0,4165814.0,4268887.0,4372003.0,4474766.0,4577431.0,4679678.0,4781657.0,4883481.0,4985237.0,5086854.0,5188580.0,5290206.0,5391887.0,5493203.0,5594623.0,5696212.0
6,17.0,6.0,nakajima,13.0,1.0,Finished,119339.0,227406.0,332994.0,437968.0,542785.0,646850.0,750438.0,854128.0,957762.0,1060975.0,1164044.0,1266865.0,1369862.0,1472630.0,1575327.0,1677893.0,1780624.0,1883268.0,1987107.0,2091335.0,2194871.0,2298243.0,2401301.0,2504445.0,2607144.0,2709720.0,2812344.0,2914832.0,3016909.0,3119330.0,3221290.0,3325295.0,3456014.0,3559558.0,3662950.0,3766106.0,3869003.0,3971498.0,4074117.0,4176690.0,4279153.0,4381641.0,4484094.0,4586234.0,4688378.0,4790593.0,4892555.0,4993999.0,5095594.0,5197114.0,5298634.0,5399914.0,5500991.0,5601745.0,5703253.0
16,17.0,24.0,liuzzi,15.0,1.0,Finished,119736.0,228098.0,334036.0,439259.0,544127.0,648413.0,752318.0,856137.0,959740.0,1063195.0,1166854.0,1270226.0,1373909.0,1477281.0,1580558.0,1683807.0,1786662.0,1889532.0,1992442.0,2095516.0,2198982.0,2302197.0,2404956.0,2507722.0,2610386.0,2712907.0,2815901.0,2918225.0,3020607.0,3122984.0,3228586.0,3361501.0,3465377.0,3569737.0,3674228.0,3778371.0,3883235.0,3986998.0,4090436.0,4195282.0,4298727.0,4401724.0,4504650.0,4607423.0,4710309.0,4813197.0,4915849.0,5018643.0,5121576.0,5223765.0,5325635.0,5427687.0,5529637.0,5630914.0,5737864.0
14,17.0,21.0,fisichella,16.0,11.0,+1 Lap,121194.0,229515.0,336053.0,441896.0,546816.0,651518.0,755597.0,860276.0,963962.0,1067471.0,1170444.0,1273758.0,1376943.0,1480097.0,1583170.0,1686043.0,1788701.0,1891568.0,1994588.0,2097450.0,2201150.0,2304116.0,2406964.0,2509610.0,2612218.0,2714809.0,2817317.0,2921299.0,3053753.0,3159456.0,3265494.0,3381438.0,3485556.0,3589641.0,3692840.0,3795820.0,3898783.0,4001674.0,4106678.0,4209254.0,4312013.0,4415148.0,4517693.0,4620566.0,4723366.0,4825900.0,4928789.0,5031057.0,5134064.0,5237016.0,5340327.0,5444051.0,5545765.0,5646897.0,
19,17.0,154.0,grosjean,18.0,11.0,+1 Lap,121604.0,229977.0,336566.0,443435.0,548992.0,654970.0,759108.0,863189.0,967390.0,1071927.0,1175649.0,1279362.0,1382850.0,1486251.0,1589463.0,1692851.0,1795983.0,1899334.0,2002555.0,2106681.0,2210548.0,2313826.0,2417004.0,2520139.0,2622855.0,2725624.0,2828548.0,2931507.0,3033963.0,3137285.0,3243002.0,3374309.0,3478025.0,3582312.0,3686056.0,3791399.0,3896928.0,4000526.0,4103731.0,4206953.0,4310115.0,4413326.0,4516657.0,4619597.0,4722230.0,4824980.0,4927254.0,5030175.0,5133303.0,5235699.0,5339803.0,5442723.0,5546596.0,5651396.0,
4,17.0,4.0,alonso,14.0,1.0,Finished,121915.0,230340.0,337149.0,442896.0,548493.0,653136.0,757137.0,861452.0,965115.0,1069063.0,1172765.0,1276148.0,1379600.0,1482813.0,1586033.0,1688979.0,1792002.0,1894896.0,1998353.0,2101538.0,2205215.0,2308267.0,2410765.0,2513262.0,2615437.0,2717856.0,2819974.0,2922133.0,3024142.0,3126034.0,3228260.0,3330618.0,3433440.0,3537369.0,3665227.0,3767940.0,3871015.0,3974631.0,4077800.0,4180975.0,4283783.0,4386311.0,4488962.0,4591136.0,4693626.0,4796365.0,4898126.0,5001360.0,5102843.0,5205645.0,5306760.0,5407765.0,5511409.0,5612166.0,5713101.0
18,17.0,153.0,alguersuari,20.0,6.0,Gearbox,123289.0,231244.0,337810.0,444510.0,551366.0,656675.0,761163.0,865304.0,969141.0,1073062.0,1177119.0,1280740.0,1384555.0,1488307.0,1591934.0,1695252.0,1798665.0,1926879.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,17.0,16.0,sutil,17.0,11.0,+1 Lap,124224.0,232216.0,338401.0,445277.0,551824.0,657397.0,762823.0,866803.0,970502.0,1074404.0,1178140.0,1282703.0,1386776.0,1490532.0,1596692.0,1701138.0,1804139.0,1907339.0,2010193.0,2112975.0,2216050.0,2318805.0,2423490.0,2528839.0,2659608.0,2762153.0,2864390.0,2966048.0,3067563.0,3169137.0,3270631.0,3372597.0,3473832.0,3574736.0,3676568.0,3778819.0,3881045.0,3982210.0,4083364.0,4184703.0,4288613.0,4417839.0,4520638.0,4623707.0,4726028.0,4828228.0,4930443.0,5032785.0,5137305.0,5238981.0,5341150.0,5445083.0,5547282.0,5650427.0,
