,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
0,hamilton,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,vettel,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,webber,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,4,2,2,2,2,2,2,2,2,2,2,2,2,2
3,button,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,9,6,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3
4,barrichello,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10,7,6,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4
5,kubica,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,13,13,11,11,10,10,10,10,10,10,10,10,10,9,8,7,7,7,7,7,7,7,7,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10
6,trulli,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,4,10,10,9,9,9,9,9,9,9,9,9,8,7,6,6,6,6,6,6,6,6,6,5,3,7,7,7,7,7,7,7,7,7,7,7,7,7
7,heidfeld,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,3,2,9,8,8,8,8,8,8,8,8,8,7,6,5,5,5,5,5,5,5,5,5,4,6,5,5,5,5,5,5,5,5,5,5,5,5,5
8,rosberg,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,5,12,12,11,11,11,11,11,11,11,11,11,10,9,8,8,8,8,8,8,9,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9
9,buemi,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,6,14,14,13,13,13,13,13,13,13,13,13,12,11,9,9,9,9,9,9,8,8,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8
10,kobayashi,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,9,8,5,4,3,3,3,3,3,3,3,3,3,3,12,11,10,10,10,10,10,10,9,8,8,7,6,6,6,6,6,6,6,6,6,6,6,6,6
11,raikkonen,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,8,7,6,6,6,6,6,6,6,6,7,15,15,14,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
12,kovalainen,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,9,8,7,7,7,7,7,7,7,7,6,6,5,13,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
13,nakajima,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,12,12,12,12,12,12,12,12,12,11,10,10,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
14,liuzzi,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,13,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
15,fisichella,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,15,15,15,15,15,15,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,16,0
16,grosjean,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,0
17,alonso,18,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,15,14,13,12,11,11,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
18,alguersuari,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
