,0,1,2
0,3,131,1:32.330
1,20,9,1:32.584
2,4,6,1:32.667
3,1,131,1:32.762
4,17,9,1:33.078
5,13,6,1:33.207
6,814,10,1:33.235
7,16,10,1:33.246
8,8,208,1:33.146
9,18,1,1:33.702
10,154,208,1:33.498
11,815,1,1:33.914
12,817,5,1:33.974
13,807,15,1:33.976
14,822,3,1:34.105
15,818,5,1:34.284
16,813,3,1:34.425
17,821,15,1:34.730
18,819,207,1:35.283
19,824,206,1:36.178
20,823,207,1:36.304
21,820,206,1:36.476
