,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
7,178.0,30.0,michael_schumacher,1.0,1.0,Finished,89618.0,174767.0,259082.0,343553.0,428674.0,512641.0,596381.0,679855.0,763260.0,847496.0,931081.0,1014837.0,1098413.0,1182643.0,1266673.0,1350047.0,1433025.0,1516712.0,1600253.0,1683786.0,1766761.0,1849965.0,1933063.0,2017283.0,2101437.0,2185149.0,2269031.0,2351981.0,2434931.0,2518116.0,2600777.0,2683065.0,2765656.0,2848673.0,2931727.0,3014185.0,3096844.0,3181351.0,3264066.0,3346957.0,3430647.0,3534097.0,3621923.0,3706889.0,3791613.0,3875376.0,3959230.0,4042313.0,4125387.0,4208348.0,4291496.0,4375876.0,4459996.0,4544346.0,4628538.0,4712677.0,4796100.0,4880555.0,4966140.0,5050317.0,5134218.0,5217371.0,5300622.0,5383583.0,5467081.0,5551071.0,5634889.0,5718676.0,5803142.0,5887445.0,5971299.0,6055148.0,6139376.0,6227031.0,6312889.0,6397837.0,6482116.0,6571812.0
15,178.0,57.0,hakkinen,3.0,1.0,Finished,91016.0,176707.0,261964.0,346922.0,432026.0,516704.0,601281.0,685481.0,769640.0,853693.0,937830.0,1022165.0,1106185.0,1190075.0,1275172.0,1359654.0,1445033.0,1529393.0,1613724.0,1697558.0,1781151.0,1864984.0,1948573.0,2032669.0,2116218.0,2200638.0,2284302.0,2367584.0,2450877.0,2534770.0,2618504.0,2702914.0,2788489.0,2873005.0,2957829.0,3041910.0,3125647.0,3209105.0,3309590.0,3393533.0,3477666.0,3561813.0,3646193.0,3729966.0,3813169.0,3896019.0,3979046.0,4062215.0,4145707.0,4248966.0,4337275.0,4420912.0,4504131.0,4586634.0,4669567.0,4752941.0,4837504.0,4921394.0,5004813.0,5088353.0,5173623.0,5256663.0,5340814.0,5424584.0,5512142.0,5595187.0,5677446.0,5761245.0,5845971.0,5930115.0,6014097.0,6098253.0,6182680.0,6267211.0,6351512.0,6436838.0,6522815.0,6609295.0
14,178.0,56.0,irvine,2.0,1.0,Finished,92353.0,178669.0,264158.0,349477.0,434846.0,519813.0,604344.0,688878.0,773422.0,857814.0,942928.0,1027345.0,1111604.0,1195772.0,1279658.0,1364103.0,1448424.0,1532046.0,1615878.0,1699808.0,1783796.0,1868073.0,1951198.0,2034548.0,2118012.0,2202269.0,2285965.0,2369260.0,2452781.0,2535993.0,2619426.0,2703783.0,2788954.0,2873778.0,2958627.0,3042606.0,3142626.0,3228330.0,3312074.0,3395042.0,3478267.0,3562400.0,3646668.0,3730844.0,3814400.0,3897705.0,3980571.0,4063361.0,4146317.0,4230399.0,4314074.0,4397387.0,4481274.0,4565431.0,4648638.0,4747712.0,4834017.0,4917738.0,5001384.0,5084549.0,5167302.0,5249874.0,5334254.0,5418670.0,5502744.0,5586204.0,5669898.0,5752810.0,5835781.0,5919551.0,6003530.0,6088265.0,6174061.0,6259385.0,6344810.0,6430284.0,6515494.0,6602288.0
1,178.0,14.0,coulthard,14.0,6.0,Gearbox,93117.0,179721.0,265481.0,351285.0,436547.0,521672.0,606656.0,691399.0,776907.0,861261.0,945852.0,1030434.0,1114419.0,1198217.0,1282123.0,1366044.0,1450483.0,1534670.0,1618377.0,1702396.0,1786518.0,1870609.0,1955124.0,2038807.0,2121788.0,2205145.0,2288802.0,2372009.0,2455188.0,2538666.0,2621549.0,2705289.0,2789799.0,2875234.0,2967131.0,3064063.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,178.0,22.0,barrichello,9.0,20.0,Spun off,94171.0,181391.0,268009.0,354197.0,440329.0,526089.0,611889.0,697436.0,782907.0,868400.0,953848.0,1039031.0,1124052.0,1209018.0,1294082.0,1379378.0,1464018.0,1548673.0,1633790.0,1719311.0,1804234.0,1889229.0,1974355.0,2059876.0,2144454.0,2228802.0,2313892.0,2398705.0,2483412.0,2569068.0,2653933.0,2740012.0,2825629.0,2910339.0,2994498.0,3078955.0,3164126.0,3250037.0,3334865.0,3419336.0,3503636.0,3587768.0,3672248.0,3756286.0,3840073.0,3923769.0,4007772.0,4091634.0,4175333.0,4277909.0,4367003.0,4451811.0,4535894.0,4619978.0,4703561.0,4787629.0,4872139.0,4956390.0,5041050.0,5125396.0,5210356.0,5294407.0,5378512.0,5462801.0,5547396.0,5632185.0,5716370.0,5801322.0,5885779.0,5972679.0,6057711.0,,,,,,,
12,178.0,49.0,frentzen,4.0,1.0,Finished,95455.0,182885.0,269822.0,356506.0,443058.0,528835.0,614860.0,700264.0,785828.0,871406.0,957027.0,1042162.0,1127220.0,1212012.0,1296923.0,1381745.0,1467294.0,1552368.0,1637155.0,1721818.0,1807749.0,1892690.0,1977712.0,2062710.0,2147384.0,2231868.0,2317096.0,2401660.0,2485795.0,2570345.0,2655239.0,2740736.0,2827174.0,2912293.0,2996813.0,3080776.0,3165217.0,3250804.0,3336193.0,3420765.0,3504949.0,3589768.0,3673790.0,3757673.0,3841572.0,3925245.0,4008865.0,4092810.0,4176392.0,4260913.0,4344932.0,4427952.0,4510637.0,4593768.0,4676571.0,4759184.0,4861400.0,4948889.0,5033104.0,5117337.0,5200978.0,5283903.0,5366738.0,5449209.0,5533533.0,5617220.0,5700233.0,5783705.0,5866703.0,5949763.0,6032506.0,6115549.0,6200540.0,6285130.0,6369614.0,6454106.0,6538507.0,6625821.0
2,178.0,15.0,trulli,7.0,11.0,+1 Lap,96079.0,183688.0,270623.0,357404.0,444155.0,530324.0,616680.0,702951.0,788881.0,874497.0,959822.0,1044734.0,1129654.0,1214168.0,1298817.0,1383163.0,1468930.0,1553523.0,1638304.0,1722804.0,1808320.0,1893242.0,1995513.0,2081391.0,2165665.0,2251061.0,2336842.0,2421608.0,2506276.0,2591145.0,2675970.0,2760939.0,2845911.0,2931238.0,3017369.0,3102103.0,3186695.0,3271921.0,3356879.0,3441665.0,3525787.0,3610041.0,3694243.0,3778575.0,3862664.0,3946581.0,4030826.0,4115034.0,4198680.0,4282343.0,4367905.0,4469382.0,4556824.0,4641480.0,4725774.0,4810471.0,4895352.0,4979917.0,5064408.0,5148718.0,5232958.0,5317210.0,5411319.0,5496057.0,5580965.0,5665548.0,5750202.0,5834537.0,5919733.0,6005453.0,6090141.0,6175792.0,6261070.0,6346602.0,6432360.0,6518735.0,6605845.0,
3,178.0,21.0,fisichella,5.0,11.0,+1 Lap,96910.0,184582.0,271645.0,358323.0,444901.0,531101.0,617278.0,703632.0,789432.0,875207.0,960744.0,1045983.0,1131228.0,1216300.0,1300956.0,1385736.0,1470702.0,1555704.0,1640213.0,1724629.0,1809973.0,1894535.0,1979364.0,2065405.0,2150353.0,2234663.0,2319314.0,2403430.0,2487328.0,2571589.0,2656230.0,2742197.0,2830145.0,2916015.0,2999802.0,3083748.0,3168241.0,3252851.0,3337444.0,3421919.0,3506458.0,3590799.0,3695201.0,3783573.0,3867714.0,3951451.0,4035260.0,4119219.0,4203196.0,4286800.0,4371068.0,4456010.0,4539879.0,4624210.0,4707804.0,4791755.0,4876464.0,4960332.0,5044915.0,5129037.0,5212815.0,5297375.0,5382080.0,5468102.0,5553567.0,5638101.0,5721574.0,5805570.0,5889381.0,5973626.0,6058291.0,6144390.0,6229232.0,6314467.0,6399425.0,6484541.0,6572705.0,
8,178.0,35.0,villeneuve,17.0,44.0,Oil leak,97984.0,186240.0,273838.0,360521.0,447292.0,533882.0,620753.0,707119.0,793022.0,879088.0,964745.0,1050283.0,1135472.0,1220585.0,1306352.0,1392156.0,1477904.0,1562621.0,1647075.0,1731521.0,1815617.0,1900384.0,1985737.0,2070261.0,2155074.0,2240247.0,2324441.0,2408251.0,2492089.0,2575963.0,2659500.0,2743711.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,178.0,70.0,zanardi,8.0,12.0,+2 Laps,99069.0,188228.0,276983.0,366223.0,454073.0,542028.0,629802.0,717130.0,804864.0,892076.0,978984.0,1065677.0,1152507.0,1251643.0,1338952.0,1426208.0,1512293.0,1598094.0,1686083.0,1772922.0,1858420.0,1943666.0,2028807.0,2114340.0,2202866.0,2292295.0,2378036.0,2464555.0,2550089.0,2636402.0,2721975.0,2807747.0,2893541.0,2979007.0,3065175.0,3150750.0,3236921.0,3323573.0,3409016.0,3493896.0,3578661.0,3663252.0,3747673.0,3831959.0,3915941.0,3999854.0,4083471.0,4167478.0,4250772.0,4354576.0,4443305.0,4528290.0,4613449.0,4697979.0,4782797.0,4867946.0,4952540.0,5038006.0,5123012.0,5207705.0,5292154.0,5377069.0,5465080.0,5552777.0,5640003.0,5725406.0,5810520.0,5896388.0,5984256.0,6069699.0,6155282.0,6242075.0,6328385.0,6413926.0,6500285.0,6589514.0,,
