,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
1,962,3,rosberg,131,1,1,Finished,158861,332864,445163,557654,669641,781580,892864,1003830,1115340,1226422,1337545,1448592,1559994,1671037,1782508,1901721,2034666,2146610,2257597,2368367,2479322,2590473,2701486,2812312,2923151,3034255,3145521,3257025,3368594,3480146,3591969,3704148,3823693,3955637,4066386,4177945.0,4289361.0,4399657.0,4510677.0,4621539.0,4732219.0,4842952.0,4953351.0,5064107.0,5174912.0,5285335.0,5396029.0,5507369.0,5618195.0,5728613.0,5838977.0,5949382.0,6060293.0,6171522.0,6282604.0,6393656.0,6503956.0,6614447.0,6725237.0,6836429.0,6948950.0
8,962,817,ricciardo,9,2,1,Finished,159985,333564,447320,559935,671823,783610,895618,1007404,1119308,1230925,1342706,1454621,1566380,1678183,1797945,1930591,2041764,2152813,2263611,2374554,2485053,2595613,2706143,2816840,2927496,3038220,3149401,3261024,3372653,3484460,3596628,3717141,3849061,3960569,4072071,4183205.0,4293965.0,4404907.0,4515240.0,4625646.0,4736548.0,4847269.0,4957602.0,5067923.0,5178222.0,5288415.0,5405833.0,5532818.0,5640005.0,5747635.0,5855414.0,5963205.0,6072095.0,6180966.0,6289645.0,6398943.0,6509300.0,6619070.0,6728711.0,6838527.0,6949438.0
0,962,1,hamilton,131,3,1,Finished,163356,333853,448474,562186,674024,785891,898194,1009428,1121682,1233660,1345195,1457738,1570196,1682471,1801451,1932552,2044486,2156582,2268627,2380043,2490835,2601756,2712548,2824816,2936498,3047873,3159461,3270711,3382137,3493382,3604921,3716150,3834535,3954207,4085345,4195669.0,4305985.0,4416519.0,4525782.0,4635579.0,4745575.0,4855491.0,4965576.0,5075274.0,5192189.0,5319929.0,5428546.0,5537271.0,5645578.0,5754658.0,5862743.0,5970495.0,6079220.0,6188814.0,6298829.0,6407681.0,6516747.0,6626110.0,6736340.0,6846714.0,6956988.0
3,962,8,raikkonen,6,4,1,Finished,165458,334528,449488,562965,675397,787384,899708,1011836,1123913,1236057,1348854,1460843,1573033,1685557,1798558,1911409,2032276,2162179,2272061,2382596,2493193,2604047,2714974,2826108,2937449,3048770,3160468,3271683,3383156,3494738,3606016,3717964,3840055,3968960,4079009,4189810.0,4300183.0,4410774.0,4520975.0,4631432.0,4742086.0,4852180.0,4962929.0,5073140.0,5183317.0,5300902.0,5429553.0,5538611.0,5647072.0,5755968.0,5864172.0,5972865.0,6081522.0,6190576.0,6300267.0,6409019.0,6518348.0,6627549.0,6737458.0,6848246.0,6959169.0
2,962,4,alonso,1,7,1,Finished,167051,335339,450953,565275,679244,792908,906348,1019477,1132348,1244943,1357538,1470317,1583265,1703757,1836955,1950683,2063555,2176431,2289717,2402640,2515487,2628670,2741461,2854222,2966893,3079250,3191581,3303332,3415342,3527470,3639382,3751513,3864323,3984273,4118193,4230228.0,4342491.0,4455122.0,4567601.0,4679742.0,4791545.0,4903642.0,5016224.0,5127832.0,5239918.0,5352252.0,5464158.0,5575705.0,5686954.0,5798387.0,5910059.0,6021842.0,6133779.0,6247849.0,6360816.0,6473358.0,6585726.0,6698446.0,6811339.0,6924533.0,7038148.0
12,962,826,kvyat,5,9,1,Finished,168472,335779,451332,565737,679913,793494,907137,1020283,1133346,1246153,1359105,1472112,1585335,1698338,1817713,1951161,2064246,2177712,2292020,2405699,2518035,2630539,2743149,2855683,2968232,3080654,3192907,3305141,3417818,3530216,3643116,3755510,3868449,3981619,4094854,4210074.0,4331140.0,4463720.0,4574664.0,4686271.0,4797309.0,4908842.0,5021587.0,5132942.0,5244630.0,5357119.0,5469371.0,5585859.0,5699632.0,5812097.0,5924688.0,6037488.0,6150918.0,6263794.0,6377443.0,6490691.0,6603996.0,6718453.0,6831916.0,6946296.0,7060507.0
16,962,832,sainz,5,14,11,+1 Lap,170619,336224,452020,566454,680627,794347,914998,1047443,1160353,1274016,1388058,1502329,1617874,1734378,1850107,1963346,2077958,2191158,2304282,2417585,2530526,2643640,2756811,2869746,2983273,3097124,3222079,3354469,3466412,3578645,3690997,3805009,3917949,4030739,4143603,4255922.0,4368037.0,4480077.0,4592723.0,4705372.0,4817832.0,4930387.0,5042962.0,5155831.0,5269193.0,5383167.0,5497858.0,5622174.0,5753377.0,5867523.0,5981361.0,6094704.0,6208870.0,6321754.0,6434407.0,6544939.0,6655538.0,6767124.0,6879801.0,6992556.0,
14,962,830,max_verstappen,9,6,1,Finished,171564,336602,452534,566912,681250,795042,908642,1021145,1134383,1247491,1360911,1474876,1596239,1727126,1839971,1951881,2064982,2178355,2292798,2406550,2519031,2631611,2744391,2857089,2970010,3082922,3203272,3332559,3442279,3553033,3666251,3778684,3889589,4000092,4110975,4222076.0,4335491.0,4446749.0,4557930.0,4669167.0,4780595.0,4892218.0,5004423.0,5123311.0,5252190.0,5361240.0,5470625.0,5583585.0,5693090.0,5802976.0,5912115.0,6022400.0,6134165.0,6245339.0,6355216.0,6465155.0,6575213.0,6685985.0,6797709.0,6909166.0,7020147.0
4,962,13,massa,3,12,11,+1 Lap,173116,337343,453361,567920,682193,795930,909565,1022885,1136106,1249360,1362684,1476327,1590128,1703226,1816790,1937385,2069578,2181661,2294264,2407584,2520441,2633179,2745836,2858686,2971521,3084372,3197479,3316789,3447954,3559971,3673274,3785189,3896682,4009119,4122284,4234665.0,4346596.0,4458670.0,4570826.0,4683446.0,4795772.0,4908174.0,5027971.0,5159988.0,5272656.0,5385826.0,5499149.0,5611743.0,5723346.0,5835204.0,5946753.0,6058468.0,6169923.0,6285010.0,6397480.0,6511155.0,6623827.0,6739186.0,6853039.0,6967239.0,
11,962,825,kevin_magnussen,4,10,1,Finished,174238,338463,454030,568784,683063,797332,911366,1025639,1139651,1253596,1367497,1481203,1594679,1708402,1822328,1936991,2058162,2189001,2300755,2412875,2524894,2637176,2749417,2861669,2974029,3086666,3199299,3311824,3424537,3537177,3650149,3763097,3877558,3990806,4104539,4220881.0,4335253.0,4457558.0,4589832.0,4701160.0,4812289.0,4923416.0,5034681.0,5145539.0,5256809.0,5367942.0,5479057.0,5590584.0,5702862.0,5814674.0,5926740.0,6039236.0,6151980.0,6265139.0,6378507.0,6491590.0,6605309.0,6719302.0,6834209.0,6948272.0,7068902.0
