,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
0,rosberg,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,ricciardo,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,hamilton,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,raikkonen,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,alonso,5,5,5,5,5,5,5,5,5,5,5,5,5,7,11,10,8,7,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,6,8,8,8,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6
5,kvyat,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,11,9,8,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,5,5,5,5,10,9,9,9,9,8,8,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6,sainz,7,7,7,7,7,7,13,19,18,18,17,17,17,17,15,15,14,12,11,11,11,11,11,11,11,10,13,16,15,15,14,14,13,13,13,12,11,11,11,11,11,11,11,10,10,10,10,13,13,13,13,13,13,13,13,13,13,13,13,13,0
7,max_verstappen,8,8,8,8,8,8,7,7,7,7,7,7,9,13,13,12,10,9,8,8,8,8,8,8,7,7,9,12,10,10,9,9,8,8,7,7,7,5,5,5,5,5,5,5,8,8,8,6,6,6,6,6,6,5,5,5,5,5,5,5,5
8,massa,9,9,9,9,9,9,8,8,8,8,8,8,7,6,5,6,12,10,9,9,9,9,9,9,8,8,7,8,12,12,12,11,11,11,11,10,10,9,8,8,8,8,9,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,0
9,kevin_magnussen,10,10,10,10,10,10,9,9,9,9,9,9,8,8,7,5,7,11,10,10,10,10,10,10,10,9,8,7,7,7,7,7,7,7,6,6,6,8,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
10,ericsson,11,11,11,11,11,11,10,13,19,19,18,18,18,18,16,16,16,14,13,13,14,14,14,14,17,18,18,17,17,17,16,16,16,15,15,16,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0
11,perez,12,13,13,13,13,13,12,11,11,11,11,11,11,10,9,8,6,5,5,5,5,5,5,5,9,12,11,10,9,9,10,10,9,9,9,9,9,7,7,7,7,7,7,7,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7
12,gutierrez,13,12,12,12,12,12,11,10,10,10,10,10,10,9,8,7,5,6,12,12,12,12,12,12,12,11,10,9,8,8,8,8,10,10,10,11,12,12,12,12,12,12,12,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,0
13,button,14,19,19,19,19,19,19,18,17,17,16,16,16,16,18,19,19,19,18,17,17,17,17,17,16,16,17,18,18,18,18,17,17,17,16,15,14,14,14,14,14,14,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,bottas,15,18,18,18,17,17,17,16,15,15,15,15,15,15,17,18,18,18,16,16,16,16,16,16,14,14,14,13,13,14,17,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,wehrlein,16,14,14,15,15,15,15,14,13,13,13,13,13,12,12,13,13,13,19,18,18,18,18,18,18,17,16,15,16,16,15,15,15,14,14,14,16,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0
16,ocon,17,15,16,16,16,16,16,15,14,14,14,14,14,14,14,14,15,15,17,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,0,0
17,nasr,18,16,15,14,14,14,14,12,12,12,12,12,12,11,10,9,11,16,14,14,13,13,13,13,13,13,12,11,11,11,11,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,0
18,jolyon_palmer,19,17,17,17,18,18,18,17,16,16,19,19,19,19,19,17,17,17,15,15,15,15,15,15,15,15,15,14,14,13,13,13,14,16,17,17,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0
