,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
6,871,18,button,1,1,1,Finished,146028,333798,516471,701024,818115.0,935594.0,1053002.0,1170434.0,1287835.0,1405401.0,1522757.0,1639880.0,1756693.0,1873616.0,1990595.0,2107474.0,2224112.0,2340969.0,2457612.0,2578129.0,2703434.0,2818351.0,2933537.0,3048365.0,3163681.0,3279024.0,3394202.0,3509800.0,3625553.0,3740746.0,3855490.0,3970600.0,4085809.0,4200665.0,4315000.0,4429697.0,4544552.0,4659268.0,4774294.0,4888587.0,5003144.0,5117755.0,5232367.0,5348530.0
2,871,8,raikkonen,208,3,1,Finished,146728,334424,517558,701777,822066.0,940622.0,1058908.0,1176888.0,1294629.0,1413184.0,1536706.0,1664598.0,1780470.0,1898691.0,2014641.0,2131135.0,2247080.0,2363134.0,2479099.0,2595130.0,2711049.0,2826878.0,2942611.0,3058458.0,3174091.0,3289828.0,3405935.0,3525567.0,3651893.0,3767255.0,3883287.0,3999994.0,4116295.0,4229935.0,4344000.0,4457927.0,4573297.0,4687435.0,4801664.0,4916062.0,5030384.0,5144667.0,5259072.0,5373864.0
12,871,807,hulkenberg,10,4,1,Finished,147525,335359,518282,702260,820929.0,939287.0,1057667.0,1175713.0,1293508.0,1411717.0,1529708.0,1647615.0,1768713.0,1899248.0,2017904.0,2134155.0,2250143.0,2366359.0,2482617.0,2599080.0,2715230.0,2831167.0,2946533.0,3062145.0,3177871.0,3293988.0,3412897.0,3539421.0,3653827.0,3768624.0,3883876.0,4000698.0,4116824.0,4233282.0,4349496.0,4463274.0,4577089.0,4691844.0,4805905.0,4919665.0,5033477.0,5147851.0,5262243.0,5376373.0
16,871,814,resta,10,10,1,Finished,148499,335705,518764,702760,822974.0,942647.0,1061330.0,1180102.0,1299079.0,1421964.0,1553028.0,1670458.0,1787840.0,1905348.0,2023572.0,2141499.0,2259117.0,2377866.0,2496726.0,2615884.0,2733365.0,2849827.0,2967912.0,3085297.0,3202085.0,3322389.0,3449433.0,3563995.0,3679065.0,3794280.0,3909589.0,4024753.0,4139856.0,4255152.0,4371112.0,4488344.0,4603342.0,4719116.0,4836635.0,4952787.0,5067620.0,5182514.0,5297715.0,5412313.0
8,871,30,michael_schumacher,131,7,1,Finished,149379,336769,519956,703125,823475.0,941704.0,1059945.0,1177961.0,1295860.0,1414006.0,1531892.0,1649673.0,1767590.0,1885279.0,2002971.0,2120465.0,2238097.0,2355698.0,2477625.0,2607427.0,2723615.0,2840646.0,2957243.0,3073233.0,3188786.0,3303922.0,3419551.0,3535165.0,3651039.0,3766884.0,3883525.0,3999765.0,4116026.0,4233171.0,4352755.0,4478301.0,4591808.0,4709863.0,4825255.0,4940340.0,5055509.0,5170793.0,5285955.0,5401904.0
17,871,817,ricciardo,5,9,1,Finished,150376,338116,520973,703615,824186.0,943380.0,1062114.0,1180801.0,1299581.0,1417174.0,1535132.0,1656298.0,1784985.0,1901784.0,2018885.0,2137512.0,2255781.0,2372665.0,2489300.0,2605700.0,2723078.0,2840288.0,2957025.0,3074597.0,3191472.0,3308685.0,3425465.0,3546584.0,3674674.0,3789890.0,3905107.0,4020591.0,4137271.0,4254245.0,4370418.0,4486710.0,4601862.0,4718194.0,4835599.0,4951690.0,5066571.0,5181176.0,5296556.0,5411512.0
18,871,818,vergne,5,8,1,Finished,151611,339574,522234,704062,824756.0,944376.0,1062834.0,1181673.0,1300266.0,1419383.0,1537581.0,1655661.0,1773717.0,1891879.0,2014175.0,2143162.0,2259718.0,2378208.0,2497203.0,2616277.0,2732257.0,2848193.0,2963918.0,3079761.0,3195829.0,3311929.0,3428108.0,3544452.0,3664374.0,3792027.0,3906022.0,4021107.0,4136268.0,4253924.0,4369835.0,4485595.0,4600997.0,4717840.0,4832957.0,4949829.0,5064152.0,5178492.0,5293147.0,5407395.0
5,871,17,webber,9,6,1,Finished,154265,340433,523802,705175,825862.0,945474.0,1064000.0,1183146.0,1302569.0,1421118.0,1543415.0,1673099.0,1789002.0,1905772.0,2021569.0,2138128.0,2254329.0,2370288.0,2485959.0,2601625.0,2717105.0,2832957.0,2948483.0,3063930.0,3179396.0,3295101.0,3414891.0,3540274.0,3654494.0,3769031.0,3884420.0,4000989.0,4117209.0,4233933.0,4349861.0,4465500.0,4579584.0,4694744.0,4809224.0,4923253.0,5037037.0,5150805.0,5265121.0,5379774.0
14,871,811,bruno_senna,3,12,1,Finished,155591,341475,523318,704871,825380.0,944941.0,1063578.0,1182778.0,1301218.0,1420132.0,1538637.0,1656591.0,1775586.0,1894066.0,2012398.0,2134245.0,2264317.0,2381024.0,2497885.0,2616718.0,2734203.0,2850684.0,2966931.0,3083292.0,3200091.0,3316725.0,3433463.0,3549588.0,3666917.0,3783883.0,3900722.0,4017421.0,4133878.0,4250180.0,4366537.0,4483230.0,4600082.0,4717624.0,4839775.0,4966853.0,5080169.0,5194162.0,5306984.0,5420059.0
1,871,5,kovalainen,207,17,11,+1 Lap,157127,342967,525224,705887,829133.0,955549.0,1077592.0,1198123.0,1318771.0,1438403.0,1558333.0,1678466.0,1798575.0,1923892.0,2087597.0,2206208.0,2324957.0,2443679.0,2562358.0,2680594.0,2799122.0,2917317.0,3035504.0,3153812.0,3272438.0,3392005.0,3516015.0,3646920.0,3764539.0,3886728.0,4004153.0,4122730.0,4239205.0,4356101.0,4474090.0,4593078.0,4711283.0,4828593.0,4953678.0,5073736.0,5192444.0,5312138.0,5429401.0,
4,871,13,massa,6,5,1,Finished,157957,343372,525632,706307,826334.0,945880.0,1065671.0,1184273.0,1303037.0,1421780.0,1540503.0,1661590.0,1789759.0,1906317.0,2023979.0,2140216.0,2258132.0,2374111.0,2490061.0,2606264.0,2721699.0,2837093.0,2953497.0,3069705.0,3185370.0,3301277.0,3420390.0,3549773.0,3664132.0,3777596.0,3891645.0,4005663.0,4119648.0,4234798.0,4350430.0,4464697.0,4578635.0,4694393.0,4808475.0,4922249.0,5036001.0,5149802.0,5263637.0,5378375.0
7,871,20,vettel,9,2,1,Finished,159182,345124,527753,706570,826599.0,946269.0,1065075.0,1183694.0,1301975.0,1420474.0,1539048.0,1656835.0,1775303.0,1892418.0,2008603.0,2124897.0,2241002.0,2357218.0,2474896.0,2591226.0,2711077.0,2837668.0,2953038.0,3067395.0,3182100.0,3296678.0,3411599.0,3526069.0,3640680.0,3755525.0,3870275.0,3985257.0,4100187.0,4214676.0,4329282.0,4444041.0,4558888.0,4673242.0,4787440.0,4902917.0,5017492.0,5132179.0,5246867.0,5362154.0
0,871,3,rosberg,131,11,1,Finished,160148,345861,528492,707157,828133.0,947917.0,1067323.0,1186543.0,1305334.0,1424260.0,1543120.0,1661510.0,1779720.0,1898355.0,2017815.0,2138546.0,2257935.0,2377500.0,2496572.0,2618694.0,2746994.0,2861654.0,2977840.0,3093346.0,3209116.0,3324832.0,3440369.0,3555965.0,3671590.0,3787410.0,3903597.0,4019632.0,4135821.0,4253235.0,4369560.0,4491333.0,4617608.0,4730711.0,4843784.0,4957432.0,5072261.0,5186222.0,5300148.0,5413641.0
