,0,1,2
0,35,3,1:24.473
1,49,3,1:25.271
2,44,20,1:25.491
3,30,6,1:25.773
4,22,24,1:25.942
5,23,17,1:26.218
6,56,6,1:26.327
7,65,15,1:26.564
8,21,17,1:26.619
9,14,1,1:26.799
10,55,22,1:27.076
11,77,22,1:27.259
12,71,21,1:27.281
13,78,15,1:27.690
14,76,24,1:28.035
15,50,25,1:28.094
16,57,1,1:28.135
17,15,18,1:28.160
18,63,25,1:28.224
19,75,20,1:28.366
20,79,18,1:28.413
21,64,21,1:28.696
