,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0,raikkonen,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1
1,massa,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,3,3,3,2,2,2,2,2,2,2,2
2,alonso,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,4,4,4,4,3,3,3,3,3,3,3
3,hamilton,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,2,2,3,4,4,4,4,4,4,4
4,rosberg,5,5,5,5,5,5,5,5,5,5,5,5,5,6,9,8,8,8,8,7,7,7,6,6,6,6,6,6,6,6,8,7,7,6,6,6,6,6,6,6,6,6,6,6
5,kovalainen,6,6,7,8,8,8,8,8,8,8,9,9,9,9,7,6,6,6,5,5,5,6,10,10,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8
6,webber,7,7,6,6,6,6,6,6,6,6,6,6,6,7,10,9,9,9,9,9,8,8,7,7,7,7,7,7,7,7,6,8,8,7,7,7,7,7,7,7,7,7,7,7
7,heidfeld,8,8,8,7,7,7,7,7,7,7,7,7,7,5,5,4,3,3,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
8,ralf_schumacher,9,9,9,9,10,10,10,10,10,10,10,10,10,10,8,7,7,7,7,8,13,13,13,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
9,coulthard,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,9,9,8,8,10,13,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,trulli,11,11,12,12,13,13,13,13,13,13,13,13,13,15,19,19,17,17,17,17,16,15,15,15,13,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
11,button,12,13,14,14,14,14,14,14,14,14,14,14,14,13,13,12,12,12,12,12,11,11,11,12,15,15,14,14,14,13,13,13,12,12,12,16,0,0,0,0,0,0,0,0
12,kubica,13,12,10,10,9,9,9,9,9,9,8,8,8,8,6,11,11,11,11,11,10,10,9,9,8,8,8,8,8,8,7,6,6,9,9,9,9,9,9,9,9,9,9,9
13,liuzzi,14,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,13,13,13,13,12,12,12,13,17,17,16,16,16,15,14,14,13,13,13,12,12,12,12,12,12,12,12,0
14,sutil,15,14,13,13,12,12,12,12,12,12,12,12,12,12,12,13,18,18,18,18,17,16,16,16,14,14,13,13,13,12,16,16,16,15,15,14,14,14,14,14,14,14,14,0
15,wurz,16,21,21,21,21,21,21,20,20,20,19,19,19,19,18,18,16,16,16,16,18,19,20,20,20,19,19,19,19,18,18,18,19,19,0,0,0,0,0,0,0,0,0,0
16,barrichello,17,16,17,18,18,18,17,17,17,17,17,17,17,17,16,16,15,15,15,15,15,14,14,14,12,12,17,17,17,16,15,15,15,14,14,13,13,13,13,13,13,13,13,0
17,vettel,18,17,16,16,16,16,18,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,sato,19,18,18,17,17,17,16,16,16,16,16,16,16,16,15,15,14,14,14,14,14,17,17,17,16,16,15,15,15,14,12,12,14,16,16,15,15,15,15,15,15,15,15,0
19,yamamoto,20,19,19,19,19,19,19,18,18,18,18,18,18,18,17,17,19,20,20,20,20,20,19,19,19,18,18,18,18,17,17,19,18,18,18,18,17,17,17,17,17,17,17,0
20,davidson,21,20,20,20,20,20,20,19,19,19,20,20,20,20,20,20,20,19,19,19,19,18,18,18,18,20,20,20,20,19,19,17,17,17,17,17,16,16,16,16,16,16,16,0
