,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82
10,217.0,15.0,trulli,7.0,1.0,Finished,9559.0,10902.0,12936.0,14731.0,15137.0,15399.0,14791.0,15355.0,14764.0,13655.0,14816.0,16837.0,19280.0,21801.0,23954.0,24922.0,26703.0,28622.0,30124.0,31623.0,33251.0,35849.0,37341.0,38553.0,36605.0,43940.0,65119.0,67459.0,66624.0,48571.0,49125.0,48482.0,50880.0,52320.0,53041.0,54857.0,56667.0,58704.0,61047.0,63945.0,65927.0,68240.0,71604.0,73484.0,77774.0,99902.0,101316.0,102227.0,99652.0,101376.0,102281.0,84204.0,85590.0,87608.0,89151.0,91183.0,92391.0,94232.0,96187.0,98658.0,100329.0,102474.0,103901.0,106447.0,109367.0,109592.0,110720.0,111000.0,111434.0,111439.0,110644.0,109628.0,108190.0,106508.0,98188.0,81913.0,75552.0
11,217.0,22.0,barrichello,19.0,5.0,Engine,10307.0,12233.0,14657.0,16566.0,17506.0,17673.0,17067.0,16218.0,16873.0,15363.0,16425.0,18509.0,20458.0,22707.0,25023.0,26025.0,27712.0,29570.0,30711.0,32326.0,33839.0,37850.0,39188.0,40162.0,41886.0,65566.0,66019.0,70039.0,69021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,217.0,21.0,fisichella,17.0,20.0,Spun off,10560.0,12660.0,15048.0,17033.0,17966.0,18150.0,17601.0,16618.0,17409.0,15934.0,16858.0,18869.0,20904.0,23247.0,25670.0,26827.0,28602.0,29873.0,31058.0,32682.0,34637.0,38549.0,39538.0,40604.0,37905.0,39859.0,37327.0,43587.0,61961.0,41217.0,39796.0,38580.0,37690.0,37543.0,38311.0,37370.0,36388.0,36432.0,38204.0,40354.0,43162.0,45958.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,217.0,23.0,ralf_schumacher,5.0,1.0,Finished,11232.0,13375.0,15805.0,17857.0,18969.0,19153.0,18370.0,17478.0,18076.0,16671.0,17763.0,19629.0,21733.0,23912.0,26322.0,27524.0,29343.0,30975.0,32028.0,33577.0,35618.0,41144.0,43258.0,44289.0,45990.0,67560.0,66713.0,71557.0,70319.0,51531.0,50341.0,49374.0,51325.0,52796.0,53640.0,55307.0,57202.0,59164.0,61521.0,61463.0,60574.0,59915.0,60639.0,59873.0,58315.0,59535.0,59753.0,58151.0,53250.0,52658.0,54229.0,53230.0,53985.0,53995.0,54333.0,54263.0,54795.0,55953.0,56563.0,58489.0,60514.0,61520.0,62648.0,64323.0,65677.0,66155.0,66432.0,66171.0,65547.0,65238.0,65204.0,64283.0,62659.0,60998.0,52469.0,34433.0,30715.0
14,217.0,75.0,nakano,6.0,1.0,Finished,11513.0,13814.0,16306.0,18477.0,19514.0,19612.0,18978.0,17922.0,19858.0,18237.0,19116.0,20831.0,22879.0,24812.0,27036.0,28076.0,29843.0,31323.0,32586.0,33992.0,35973.0,41452.0,44344.0,44509.0,41631.0,42256.0,45056.0,70828.0,69316.0,50475.0,49443.0,48746.0,49175.0,48848.0,48025.0,48052.0,47929.0,48295.0,48564.0,48973.0,49228.0,50401.0,50764.0,51275.0,50925.0,52491.0,59349.0,83292.0,78737.0,77841.0,73467.0,52840.0,53801.0,56237.0,57045.0,57186.0,57448.0,58072.0,59627.0,61710.0,61565.0,62265.0,63101.0,64569.0,66686.0,66772.0,67068.0,67595.0,66575.0,66352.0,66434.0,65393.0,63383.0,61648.0,53099.0,35307.0,41512.0
15,217.0,50.0,verstappen,15.0,6.0,Gearbox,11944.0,14497.0,16828.0,19324.0,20546.0,21256.0,20491.0,19401.0,22273.0,22953.0,27018.0,31962.0,36648.0,41007.0,45336.0,54109.0,77196.0,78969.0,79754.0,81129.0,82727.0,85072.0,90413.0,91856.0,89059.0,92599.0,93513.0,97502.0,97172.0,79632.0,80319.0,80118.0,80606.0,83418.0,85436.0,88058.0,93916.0,100979.0,105104.0,108993.0,116385.0,137858.0,138686.0,139756.0,139746.0,143210.0,145044.0,146606.0,144241.0,144827.0,143682.0,124189.0,125082.0,126850.0,128823.0,132501.0,134863.0,142512.0,146419.0,153480.0,186664.0,,,,,,,,,,,,,,,,
16,217.0,79.0,katayama,10.0,11.0,+1 Lap,12374.0,15106.0,17662.0,20049.0,21215.0,21669.0,21108.0,19894.0,22618.0,23351.0,27308.0,32226.0,36835.0,41351.0,45878.0,49911.0,52860.0,58294.0,61961.0,69205.0,90736.0,92317.0,95598.0,96921.0,93400.0,95849.0,96062.0,99387.0,98612.0,81312.0,82395.0,82622.0,83501.0,84426.0,85975.0,88669.0,90749.0,91693.0,92208.0,92716.0,92852.0,93998.0,94699.0,94959.0,93995.0,94000.0,99342.0,122164.0,118459.0,118702.0,115800.0,97582.0,99224.0,101998.0,104628.0,106727.0,108929.0,113671.0,114827.0,117127.0,117808.0,118614.0,118800.0,119051.0,118907.0,118555.0,118051.0,118018.0,118014.0,118281.0,118548.0,118779.0,118331.0,116562.0,107267.0,91750.0,
17,217.0,63.0,salo,13.0,12.0,+2 Laps,12882.0,15660.0,18471.0,21066.0,23581.0,25345.0,25319.0,25212.0,25313.0,25437.0,27987.0,32772.0,37618.0,42416.0,46720.0,50955.0,54207.0,62983.0,85893.0,88183.0,89161.0,92013.0,95344.0,98665.0,97299.0,101416.0,104254.0,108981.0,109799.0,96547.0,100277.0,100724.0,101734.0,103498.0,105872.0,110617.0,113574.0,119439.0,124219.0,129769.0,135937.0,149192.0,182421.0,187488.0,188523.0,191255.0,194015.0,196849.0,196226.0,199854.0,199848.0,182985.0,186557.0,189133.0,194044.0,196122.0,201695.0,226093.0,226532.0,227265.0,229045.0,230718.0,232342.0,234336.0,235817.0,235357.0,235129.0,234524.0,234517.0,235095.0,235996.0,236352.0,235038.0,233065.0,224678.0,,
18,217.0,58.0,marques,12.0,12.0,+2 Laps,13487.0,16386.0,19037.0,21591.0,23950.0,25828.0,26469.0,25919.0,25737.0,25829.0,28688.0,33176.0,38328.0,42918.0,47299.0,51420.0,54660.0,59643.0,62550.0,65606.0,67630.0,75085.0,143221.0,145164.0,143249.0,150668.0,152334.0,156452.0,155986.0,138980.0,139607.0,139177.0,139981.0,141108.0,142298.0,144621.0,147662.0,149945.0,152095.0,153819.0,155431.0,157198.0,158611.0,159510.0,159388.0,160736.0,166195.0,168896.0,165882.0,170982.0,192604.0,172200.0,172378.0,173297.0,174801.0,176069.0,176884.0,178412.0,180345.0,182180.0,184040.0,185837.0,187848.0,191417.0,193052.0,193936.0,194744.0,194730.0,194861.0,195604.0,195989.0,202108.0,231637.0,231709.0,223893.0,,
19,217.0,64.0,diniz,16.0,10.0,Electrical,13899.0,16839.0,19359.0,22097.0,24296.0,26222.0,26994.0,26436.0,26161.0,26196.0,29304.0,33730.0,38683.0,43309.0,47687.0,55021.0,79085.0,80608.0,82546.0,83646.0,84604.0,89671.0,92493.0,94108.0,91034.0,94002.0,94423.0,98611.0,97840.0,80938.0,81687.0,81086.0,82945.0,83996.0,85719.0,88257.0,89533.0,90462.0,90959.0,91458.0,91681.0,92637.0,93540.0,98364.0,117694.0,117344.0,117812.0,118303.0,114837.0,115754.0,114821.0,94527.0,94246.0,,,,,,,,,,,,,,,,,,,,,,,,
20,217.0,81.0,morbidelli,21.0,5.0,Engine,22600.0,23202.0,24933.0,26207.0,28899.0,29592.0,38026.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
