,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
8,341,17,webber,9,1,1,Finished,91460,179890,267964,355954,443562,531267,618937,706524,794083,881717,969167,1056880,1144467,1231824,1319432,1407140,1496921,1601675,1689149.0,1776418.0,1863517.0,1950579.0,2038055.0,2125060.0,2211962.0,2299092.0,2385747.0,2472322.0,2559079.0,2645547.0,2732288.0,2818873.0,2905989.0,2992677.0,3078831.0,3165942.0,3252532.0,3339413.0,3425333.0,3511443.0,3597517.0,3683415.0,3769231.0,3854378.0,3939512.0,4025104.0,4110365.0,4195844.0,4281957.0,4368350.0,4454072.0,4540092.0,4625937.0,4711563.0,4797206.0,4883221.0,4969222.0,5054867.0,5140770.0,5226068.0,5310988.0,5395816.0,5481515.0,5566762.0,5653305.0,5744101.0
10,341,20,vettel,9,3,1,Finished,92211,180826,269194,357291,445264,533211,620926,708718,796557,884525,972342,1060060,1147961,1235747,1323610,1413974,1522763,1611812,1699353.0,1786945.0,1875126.0,1962508.0,2049708.0,2136892.0,2224032.0,2310910.0,2398275.0,2485330.0,2572311.0,2658989.0,2745652.0,2832363.0,2919245.0,3005858.0,3092602.0,3179494.0,3266208.0,3352938.0,3439609.0,3525971.0,3611960.0,3698160.0,3784609.0,3870428.0,3956638.0,4042458.0,4128681.0,4214363.0,4299904.0,4385512.0,4471042.0,4556863.0,4643840.0,4733041.0,4837128.0,4922304.0,5008504.0,5093683.0,5179312.0,5265648.0,5353257.0,5440608.0,5527856.0,5615072.0,5703829.0,5795439.0
0,341,1,hamilton,1,14,29,Puncture,93114,181625,270019,358044,446108,534101,622080,710018,797950,885946,973898,1061974,1149995,1238027,1326150,1414217,1504473,1610872,1698014.0,1785201.0,1872597.0,1959927.0,2047490.0,2134965.0,2222260.0,2309493.0,2396609.0,2483435.0,2570289.0,2657310.0,2743991.0,2830476.0,2917298.0,3003853.0,3090571.0,3177641.0,3264143.0,3350872.0,3437088.0,3523539.0,3609922.0,3695988.0,3782610.0,3868424.0,3954440.0,4040556.0,4126575.0,4212240.0,4297870.0,4383473.0,4468998.0,4554611.0,4641588.0,4726760.0,4812214.0,4898076.0,4983486.0,5068649.0,5153006.0,5237763.0,5322805.0,5407934.0,5493670.0,5579272.0,,
2,341,4,alonso,6,2,1,Finished,93939,182869,271381,359572,447837,536673,624860,713065,801340,889406,977384,1065413,1153550,1241493,1329650,1420497,1525874,1614636,1702384.0,1790082.0,1877881.0,1966190.0,2053836.0,2141022.0,2228099.0,2315003.0,2402240.0,2489423.0,2576772.0,2663793.0,2750537.0,2837061.0,2924070.0,3011077.0,3097514.0,3184073.0,3270949.0,3357643.0,3445042.0,3531431.0,3617299.0,3703002.0,3788888.0,3874935.0,3960720.0,4046828.0,4132582.0,4218479.0,4303705.0,4389505.0,4475212.0,4561359.0,4647083.0,4735068.0,4820842.0,4906097.0,4990943.0,5075840.0,5161481.0,5247413.0,5333060.0,5418797.0,5504432.0,5590523.0,5677640.0,5768166.0
9,341,18,button,1,5,1,Finished,94658,183881,272421,360791,449300,537608,626002,714458,802707,891145,979339,1067662,1155845,1243862,1332146,1423004,1535016,1623112,1712091.0,1800985.0,1889072.0,1977927.0,2066623.0,2156420.0,2244896.0,2332514.0,2420313.0,2508036.0,2596861.0,2684833.0,2772509.0,2860208.0,2947941.0,3035475.0,3123020.0,3210087.0,3297342.0,3384736.0,3472375.0,3559568.0,3646545.0,3734042.0,3821626.0,3908666.0,3995847.0,4082650.0,4169610.0,4256456.0,4343198.0,4429676.0,4516631.0,4602976.0,4689463.0,4775649.0,4862069.0,4947977.0,5033865.0,5119841.0,5205677.0,5291730.0,5377617.0,5465147.0,5550869.0,5636035.0,5722181.0,5807829.0
13,341,30,michael_schumacher,131,4,1,Finished,95377,185028,274174,362791,451512,539914,628666,717098,805735,894428,982792,1071374,1159722,1250424,1356822,1445598,1534479,1622736,1711687.0,1800541.0,1888705.0,1977456.0,2066246.0,2156028.0,2244386.0,2332018.0,2419784.0,2507621.0,2596063.0,2683875.0,2771701.0,2859295.0,2947298.0,3034561.0,3122078.0,3209374.0,3296587.0,3383923.0,3471257.0,3558399.0,3645904.0,3733381.0,3820974.0,3907911.0,3994668.0,4081339.0,4168160.0,4254636.0,4341233.0,4427796.0,4514423.0,4600890.0,4687196.0,4773269.0,4859556.0,4945316.0,5031064.0,5117019.0,5202759.0,5288753.0,5374990.0,5461756.0,5547607.0,5633136.0,5719578.0,5806296.0
5,341,13,massa,6,6,1,Finished,96207,185837,275021,363866,452621,541261,630165,718602,807340,896352,984693,1073209,1161910,1253394,1359572,1447910,1536585,1624943,1713531.0,1802122.0,1890462.0,1978869.0,2067601.0,2157889.0,2246487.0,2334311.0,2421935.0,2509406.0,2597676.0,2685591.0,2773527.0,2861220.0,2948986.0,3036578.0,3124242.0,3212477.0,3299926.0,3387070.0,3474096.0,3561167.0,3648282.0,3735331.0,3822577.0,3909663.0,3997190.0,4083880.0,4170621.0,4257421.0,4344323.0,4430889.0,4517713.0,4604296.0,4690730.0,4776969.0,4863424.0,4949574.0,5035533.0,5121513.0,5207323.0,5293390.0,5379168.0,5465978.0,5552089.0,5637586.0,5723666.0,5809868.0
7,341,16,sutil,10,7,1,Finished,96717,186871,276150,365115,454321,543346,632430,721381,810493,899353,988209,1077156,1166036,1254852,1343612,1432213,1523421,1629944,1718254.0,1806458.0,1894590.0,1983066.0,2071548.0,2160639.0,2250605.0,2338753.0,2426427.0,2513961.0,2601858.0,2689760.0,2777454.0,2865176.0,2953135.0,3041245.0,3128890.0,3216365.0,3303988.0,3391463.0,3479116.0,3566795.0,3653965.0,3741231.0,3828701.0,3916791.0,4003858.0,4090521.0,4177282.0,4264062.0,4350622.0,4437006.0,4523574.0,4610285.0,4696542.0,4782891.0,4869252.0,4955496.0,5041759.0,5128313.0,5214558.0,5300559.0,5386516.0,5472662.0,5558879.0,5644994.0,5730839.0,5817042.0
16,341,153,alguersuari,5,10,11,+1 Lap,97513,187503,277245,366406,455767,545200,634494,723738,812986,902098,991009,1080115,1169114,1258194,1347264,1439178,1556086,1644998,1734842.0,1824268.0,1913651.0,2003757.0,2092024.0,2179639.0,2267470.0,2355286.0,2443428.0,2531723.0,2620282.0,2708224.0,2795992.0,2883678.0,2971260.0,3061563.0,3159013.0,3246338.0,3333724.0,3420883.0,3508125.0,3595644.0,3685321.0,3772683.0,3859778.0,3946330.0,4033448.0,4120456.0,4207372.0,4294255.0,4381251.0,4468284.0,4559963.0,4649502.0,4738068.0,4825969.0,4912253.0,4998350.0,5084429.0,5170506.0,5256971.0,5342819.0,5428718.0,5514419.0,5600074.0,5685812.0,5773288.0,
3,341,9,kubica,4,8,1,Finished,98045,187969,277641,367094,456269,545686,634971,724336,813681,902893,991905,1081055,1170128,1259120,1348172,1439821,1545260,1633338,1721308.0,1809477.0,1897374.0,1985329.0,2073573.0,2161949.0,2250956.0,2339661.0,2427866.0,2515909.0,2603607.0,2691474.0,2779253.0,2866644.0,2954354.0,3042299.0,3129927.0,3217402.0,3305111.0,3392349.0,3480007.0,3567787.0,3655361.0,3742554.0,3829776.0,3917290.0,4004914.0,4092086.0,4178711.0,4265184.0,4351889.0,4438314.0,4524802.0,4611512.0,4697728.0,4784189.0,4870537.0,4956829.0,5043070.0,5129319.0,5215420.0,5301695.0,5387484.0,5473703.0,5559522.0,5646411.0,5732312.0,5817778.0
