,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
13,1032.0,840.0,stroll,7.0,1.0,Finished,95274.0,214081.0,315204.0,387564.0,458222.0,529030.0,599298.0,669781.0,740113.0,810592.0,880939.0,950730.0,1020615.0,1090639.0,1160685.0,1231280.0,1300683.0,1370602.0,1440296.0,1509931.0,1579582.0,1649018.0,1718554.0,1787781.0,1857220.0,1926396.0,1995480.0,2064867.0,2133934.0,2203273.0,2272489.0,2341647.0,2414103.0,2499738.0,2568617.0,2637766.0,2705971.0,2774326.0,2842699.0,2910903.0,2979191.0,3047526.0,3115696.0,3184122.0,3254288.0,3323114.0,3391762.0,3460878.0,3529440.0,3598319.0,3666949.0,3735593.0,3804232.0,3872465.0,3940877.0,4009159.0,4077668.0,4146153.0,4214459.0,4282865.0,4350796.0,4419077.0,4487077.0,4555052.0,4622885.0,4690977.0,4759010.0,4826861.0,4894803.0,4963537.0,5033136.0
18,1032.0,847.0,russell,16.0,12.0,+2 Laps,96361.0,215663.0,315543.0,394937.0,466845.0,537611.0,608655.0,679552.0,750579.0,821806.0,892483.0,963124.0,1033840.0,1104615.0,1175161.0,1245714.0,1316345.0,1387198.0,1457905.0,1528828.0,1599483.0,1670404.0,1741180.0,1811839.0,1882422.0,1953420.0,2023793.0,2094275.0,2164744.0,2235093.0,2305610.0,2376801.0,2448494.0,2522359.0,2608588.0,2677189.0,2746033.0,2814904.0,2884233.0,2954123.0,3024047.0,3094110.0,3164019.0,3233816.0,3304038.0,3373790.0,3443384.0,3513117.0,3582734.0,3651972.0,3721759.0,3791249.0,3860114.0,3929399.0,3999660.0,4070437.0,4139730.0,4208946.0,4277938.0,4346690.0,4415622.0,4484429.0,4553403.0,4624586.0,4694690.0,4763918.0,4832924.0,4903888.0,4972830.0,,
8,1032.0,825.0,kevin_magnussen,12.0,11.0,+1 Lap,97594.0,216659.0,315893.0,388298.0,459993.0,531394.0,603397.0,675217.0,746012.0,816537.0,888454.0,958752.0,1030175.0,1100695.0,1171185.0,1241558.0,1311861.0,1382325.0,1452464.0,1522571.0,1592479.0,1662389.0,1732339.0,1802355.0,1872339.0,1942410.0,2012083.0,2081818.0,2151776.0,2221568.0,2294943.0,2381869.0,2450950.0,2519946.0,2588552.0,2657182.0,2728489.0,2797824.0,2867433.0,2937666.0,3007481.0,3076367.0,3145332.0,3214615.0,3284573.0,3354223.0,3425466.0,3496397.0,3566139.0,3635472.0,3704356.0,3772872.0,3841689.0,3910247.0,3978574.0,4047270.0,4115648.0,4184094.0,4252651.0,4321349.0,4389915.0,4459041.0,4527899.0,4596748.0,4665015.0,4733523.0,4802057.0,4872407.0,4940416.0,5009073.0,
9,1032.0,826.0,kvyat,10.0,11.0,+1 Lap,98763.0,218511.0,316517.0,388767.0,460929.0,532090.0,602366.0,672662.0,743172.0,813505.0,883645.0,953981.0,1024188.0,1094594.0,1164935.0,1235289.0,1305716.0,1376050.0,1446253.0,1516318.0,1586256.0,1656609.0,1727012.0,1797372.0,1867458.0,1937555.0,2007418.0,2077351.0,2147122.0,2216811.0,2286661.0,2356293.0,2426010.0,2496094.0,2565903.0,2638827.0,2726767.0,2797142.0,2866487.0,2935560.0,3005882.0,3074616.0,3143427.0,3212759.0,3281350.0,3350172.0,3419419.0,3488775.0,3557901.0,3628343.0,3697284.0,3766046.0,3834764.0,3903513.0,3972335.0,4041086.0,4109691.0,4178320.0,4246835.0,4315213.0,4383651.0,4452214.0,4520675.0,4589268.0,4657894.0,4726321.0,4794913.0,4863623.0,4932402.0,5000934.0,
14,1032.0,841.0,giovinazzi,14.0,11.0,+1 Lap,100400.0,219520.0,317231.0,389937.0,461717.0,532745.0,603916.0,674293.0,744807.0,815223.0,885344.0,955729.0,1025990.0,1096133.0,1166481.0,1236772.0,1307228.0,1377465.0,1447735.0,1517986.0,1588058.0,1658139.0,1728315.0,1798525.0,1868772.0,1938872.0,2008804.0,2078756.0,2148707.0,2218506.0,2288335.0,2358021.0,2427534.0,2497316.0,2567190.0,2637266.0,2707499.0,2777754.0,2851270.0,2938296.0,3006954.0,3075685.0,3144620.0,3213927.0,3283201.0,3352057.0,3421300.0,3492228.0,3561297.0,3630303.0,3699347.0,3768362.0,3837175.0,3905687.0,3974422.0,4043080.0,4111652.0,4180544.0,4250680.0,4319963.0,4388732.0,4457572.0,4526404.0,4595238.0,4664225.0,4732773.0,4801430.0,4873468.0,4943722.0,5014373.0,
3,1032.0,20.0,vettel,20.0,130.0,Collision damage,101037.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1032.0,815.0,perez,6.0,1.0,Finished,101190.0,220338.0,317567.0,389100.0,460341.0,530213.0,600754.0,671058.0,741643.0,811969.0,882275.0,952706.0,1022444.0,1092055.0,1162161.0,1232350.0,1302576.0,1372118.0,1441834.0,1511522.0,1581131.0,1650586.0,1720025.0,1789251.0,1858825.0,1928066.0,1997102.0,2066232.0,2135164.0,2204263.0,2273322.0,2342512.0,2411643.0,2480307.0,2548917.0,2617650.0,2686312.0,2758172.0,2844579.0,2912551.0,2980653.0,3048700.0,3116720.0,3184938.0,3253601.0,3321951.0,3390213.0,3459274.0,3527311.0,3594889.0,3662402.0,3729944.0,3797491.0,3864901.0,3932598.0,4000680.0,4069156.0,4136871.0,4204560.0,4272146.0,4339861.0,4407257.0,4474670.0,4542260.0,4609546.0,4676908.0,4744247.0,4811435.0,4881461.0,4955221.0,5033070.0
20,1032.0,849.0,latifi,17.0,12.0,+2 Laps,102190.0,222209.0,318098.0,390901.0,462642.0,533640.0,606081.0,677179.0,747823.0,820045.0,890429.0,961057.0,1031875.0,1102693.0,1173487.0,1244217.0,1314958.0,1385720.0,1456516.0,1527361.0,1598049.0,1668658.0,1739195.0,1810137.0,1880945.0,1951717.0,2021939.0,2092207.0,2162575.0,2233050.0,2303595.0,2377879.0,2464717.0,2534206.0,2603981.0,2674938.0,2744552.0,2813832.0,2883351.0,2953410.0,3023236.0,3093014.0,3162877.0,3232829.0,3302912.0,3372565.0,3442274.0,3511986.0,3581689.0,3651067.0,3720815.0,3790467.0,3861169.0,3931492.0,4002331.0,4072074.0,4141566.0,4210785.0,4280172.0,4349070.0,4420665.0,4489963.0,4560247.0,4631117.0,4700751.0,4769661.0,4838765.0,4907571.0,4976474.0,,
4,1032.0,154.0,grosjean,13.0,11.0,+1 Lap,103860.0,223586.0,318484.0,391451.0,463390.0,534463.0,605017.0,675963.0,746714.0,817284.0,887535.0,957575.0,1027688.0,1097981.0,1168107.0,1238440.0,1309081.0,1380746.0,1450980.0,1521675.0,1591493.0,1663289.0,1733136.0,1803064.0,1873095.0,1943340.0,2012976.0,2082798.0,2152824.0,2222826.0,2292678.0,2361989.0,2431246.0,2502436.0,2572295.0,2642238.0,2716223.0,2804137.0,2872979.0,2941441.0,3009919.0,3080388.0,3149200.0,3218090.0,3287358.0,3356587.0,3426020.0,3495506.0,3565598.0,3634648.0,3703497.0,3772056.0,3840886.0,3909273.0,3977750.0,4046323.0,4114855.0,4183243.0,4251585.0,4320552.0,4389440.0,4458233.0,4527121.0,4596008.0,4665868.0,4734102.0,4802720.0,4873242.0,4941289.0,5009618.0,
2,1032.0,8.0,raikkonen,11.0,11.0,+1 Lap,105821.0,225458.0,318871.0,391908.0,463820.0,535014.0,606582.0,677814.0,748375.0,818997.0,889213.0,959295.0,1029095.0,1099171.0,1169283.0,1239403.0,1309647.0,1379528.0,1449423.0,1519447.0,1589194.0,1660221.0,1730289.0,1800279.0,1870226.0,1940404.0,2010253.0,2080262.0,2150246.0,2220071.0,2289751.0,2359520.0,2428933.0,2498599.0,2568154.0,2638501.0,2708869.0,2778407.0,2848433.0,2917773.0,2987316.0,3056629.0,3126049.0,3199594.0,3285710.0,3354736.0,3424457.0,3493479.0,3562491.0,3631459.0,3700675.0,3769271.0,3837855.0,3906424.0,3975281.0,4044020.0,4112402.0,4181132.0,4250124.0,4318840.0,4387428.0,4456092.0,4525026.0,4593845.0,4662702.0,4731375.0,4800122.0,4868930.0,4938831.0,5008802.0,
