,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
1,191,15,trulli,20,12,6,Gearbox,109455,207785.0,306446.0,404448.0,502162.0,599879.0,697673.0,795791.0,893322.0,990058.0,1086895.0,1183919.0,1280493.0,1377247.0,1473884.0,1570491.0,1666698.0,1763874.0,1860080.0,1956436.0,2052098.0,2148578.0,2244832.0,2339717.0,2434926.0,2529936.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,191,55,alesi,15,11,5,Engine,110388,209115.0,307963.0,406793.0,505470.0,604174.0,702117.0,799734.0,897167.0,997619.0,1094524.0,1191407.0,1287729.0,1384187.0,1480446.0,1576740.0,1673035.0,1769157.0,1865433.0,1961593.0,2057626.0,2153991.0,2253726.0,2352744.0,2448795.0,2544157.0,2639035.0,2734101.0,2855059.0,2954209.0,3050430.0,3148060.0,3245785.0,3343433.0,3440775.0,3537709.0,3635361.0,3732036.0,3828646.0,3924889.0,4021687.0,,,,,,,,,,,,,,,,,
12,191,63,salo,21,14,6,Gearbox,110665,207907.0,306882.0,404918.0,502901.0,600813.0,698592.0,796177.0,893902.0,990744.0,1087557.0,1184584.0,1281009.0,1377683.0,1474252.0,1570988.0,1667020.0,1764254.0,1884070.0,1982560.0,2079059.0,2175926.0,2273019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,191,23,ralf_schumacher,17,19,4,Collision,110966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,191,76,magnussen,24,20,4,Collision,112353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,191,68,takagi,25,21,20,Spun off,113124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,191,74,tuero,18,15,5,Engine,113572,213320.0,312164.0,411187.0,510526.0,610163.0,709141.0,807729.0,905950.0,1004475.0,1102471.0,1226554.0,1327912.0,1425457.0,1524615.0,1623609.0,1723520.0,1853165.0,1957639.0,2054114.0,2152367.0,2250400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,191,73,rosset,25,13,6,Gearbox,114402,214032.0,313687.0,414172.0,516319.0,617832.0,718691.0,818569.0,918855.0,1019289.0,1121802.0,1222013.0,1322814.0,1423699.0,1524279.0,1623070.0,1722970.0,1846949.0,1950311.0,2048427.0,2152126.0,2256068.0,2358874.0,2572701.0,2746499.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,191,44,panis,20,9,11,+1 Lap,114986,214867.0,314513.0,414866.0,516663.0,618276.0,719130.0,819045.0,919192.0,1019660.0,1119392.0,1215592.0,1311666.0,1408001.0,1503841.0,1599611.0,1696911.0,1794461.0,1890235.0,1986016.0,2081901.0,2177552.0,2274113.0,2372490.0,2467943.0,2564092.0,2661624.0,2782806.0,2882168.0,2980410.0,3078641.0,3176570.0,3274470.0,3372459.0,3469585.0,3566352.0,3662817.0,3759355.0,3855764.0,3952529.0,4049213.0,4145603.0,4241620.0,4337952.0,4433382.0,4529348.0,4624240.0,4719466.0,4814190.0,4909094.0,5005069.0,5099773.0,5194307.0,5288702.0,5383021.0,5478064.0,5572446.0,
19,191,75,nakano,18,16,86,Halfshaft,115556,215232.0,314950.0,415477.0,516949.0,618748.0,719496.0,914323.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
