,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
0,rosberg,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,kevin_magnussen,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,10,9,9,7,7,6,6,6,5,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7
2,massa,3,3,3,3,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,hamilton,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,vettel,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,15,13,11,9,8,8,6,6,5,5,5,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,6,6,6,6,6,6,6
5,button,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,11,11,10,10,9,9,9,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9
6,alonso,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,7,7,7,8,12,12,12,11,11,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,perez,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,8,10,14,13,11,10,10,8,9,8,8,8,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8
8,hulkenberg,9,9,9,9,10,11,12,12,12,12,12,12,12,12,12,12,12,12,13,17,17,15,15,14,13,13,13,13,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12
9,raikkonen,10,10,10,10,9,9,9,9,10,10,10,10,10,10,10,10,10,9,8,9,14,13,13,13,12,12,11,10,10,10,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10,bottas,11,11,11,11,11,10,10,10,9,9,9,9,9,8,8,7,7,5,5,5,4,4,4,3,9,8,7,7,7,6,6,6,6,6,6,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4
11,ricciardo,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,9,8,7,6,5,4,3,4,12,12,11,11,10,10,10,9,9,9,9,9,9,8,7,7,7,6,6,6,5,5,5,5,5,5,5
12,vergne,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,11,10,9,7,6,7,14,14,14,14,13,13,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13
13,maldonado,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,12,12,17,16,16,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0
14,sutil,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,14,14,15,18,18,18,17,16,16,16,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0
15,gutierrez,16,16,16,16,17,17,17,17,18,20,20,20,20,20,20,20,20,20,20,20,19,18,17,17,16,16,16,16,15,15,15,15,15,15,15,15,17,17,17,17,17,17,17,17,17,17,17,17,18,19,19,0,0
16,kobayashi,17,17,18,18,18,18,18,18,17,17,17,17,17,17,17,17,17,17,17,16,16,16,19,19,19,19,19,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,0
17,jules_bianchi,18,19,19,19,19,19,19,19,19,18,18,19,19,19,19,19,19,19,19,18,18,19,18,18,17,17,17,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,18,18,18,0
18,chilton,19,20,21,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,kvyat,20,18,17,17,16,16,15,15,15,15,15,15,15,15,15,15,15,15,12,11,10,8,7,6,5,5,4,4,4,9,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,11,11,11,11,11,11,11,11
20,grosjean,21,21,20,21,21,20,20,20,20,19,19,18,18,18,18,18,18,18,18,19,20,20,20,20,20,20,20,18,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0
