,raceId,driverId,driverRef,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
16,231.0,71.0,damon_hill,1.0,1.0,Finished,89495.0,174192.0,258393.0,343006.0,426754.0,510371.0,593670.0,677628.0,761716.0,845086.0,928341.0,1011632.0,1094580.0,1177483.0,1260542.0,1343693.0,1426935.0,1509710.0,1592386.0,1674798.0,1757681.0,1840350.0,1924050.0,2007353.0,2089975.0,2172371.0,2254840.0,2354892.0,2439580.0,2522456.0,2604722.0,2686946.0,2769170.0,2851703.0,2933813.0,3015770.0,3098246.0,3181476.0,3263960.0,3346718.0,3429923.0,3512654.0,3594926.0,3677532.0,3759825.0,3842655.0,3925044.0,4007265.0,4089354.0,4188712.0,4273497.0,4357615.0,4440463.0,4523345.0,4606741.0,4689410.0,4771861.0,4854632.0,4937217.0,5019433.0,5101561.0,5183594.0,5265632.0,5347629.0,5429754.0,5512435.0,5595154.0,5678372.0,5763465.0
5,231.0,35.0,villeneuve,2.0,1.0,Finished,91547.0,177098.0,261747.0,346229.0,430839.0,514681.0,598524.0,682699.0,766581.0,850227.0,933572.0,1017295.0,1100901.0,1184516.0,1267587.0,1350444.0,1433521.0,1516315.0,1599408.0,1683714.0,1767108.0,1850119.0,1933184.0,2016088.0,2099147.0,2183091.0,2265802.0,2349845.0,2432589.0,2515090.0,2597443.0,2679827.0,2762162.0,2844726.0,2927379.0,3031364.0,3118471.0,3201380.0,3284222.0,3367574.0,3451034.0,3533940.0,3617298.0,3700419.0,3783828.0,3866581.0,3950112.0,4035655.0,4119250.0,4202373.0,4285269.0,4368676.0,4451471.0,4533837.0,4616173.0,4698664.0,4781034.0,4863447.0,4945590.0,5027724.0,5109692.0,5191742.0,5274321.0,5356538.0,5438888.0,5521123.0,5603039.0,5685227.0,5767648.0
9,231.0,55.0,alesi,3.0,1.0,Finished,92438.0,178013.0,262636.0,347036.0,431619.0,515943.0,600024.0,684283.0,768407.0,852218.0,935829.0,1019849.0,1103638.0,1187471.0,1271410.0,1355302.0,1439618.0,1523551.0,1607064.0,1693225.0,1777841.0,1861769.0,1945495.0,2029868.0,2113254.0,2196492.0,2279851.0,2363193.0,2446207.0,2529548.0,2612623.0,2696708.0,2780097.0,2862933.0,2946089.0,3028913.0,3132406.0,3219139.0,3302660.0,3386059.0,3470196.0,3553781.0,3638133.0,3722349.0,3805815.0,3889381.0,3973418.0,4057305.0,4140880.0,4224259.0,4307661.0,4391017.0,4474274.0,4557698.0,4641276.0,4724930.0,4808214.0,4891747.0,4976067.0,5060021.0,5144430.0,5229223.0,5314076.0,5398101.0,5482119.0,5565980.0,5649605.0,5732852.0,5818121.0
10,231.0,56.0,irvine,22.0,22.0,Suspension,93016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,231.0,57.0,hakkinen,5.0,11.0,+1 Lap,93942.0,179635.0,264706.0,349933.0,435580.0,521401.0,606657.0,691840.0,776867.0,861408.0,946710.0,1031626.0,1115659.0,1199884.0,1283872.0,1367733.0,1451714.0,1535701.0,1619838.0,1704591.0,1788861.0,1872626.0,1957399.0,2041693.0,2127321.0,2211527.0,2295327.0,2378899.0,2462612.0,2545807.0,2629635.0,2713087.0,2796674.0,2880627.0,2964782.0,3048413.0,3164948.0,3251201.0,3335521.0,3420547.0,3505574.0,3589884.0,3674370.0,3758766.0,3844483.0,3928978.0,4013769.0,4098554.0,4182947.0,4267326.0,4351621.0,4435771.0,4520207.0,4604231.0,4687708.0,4771041.0,4855796.0,4940035.0,5023794.0,5107363.0,5190874.0,5276248.0,5359677.0,5442747.0,5526328.0,5609550.0,5694060.0,5779585.0,
18,231.0,77.0,berger,11.0,20.0,Spun off,94505.0,180428.0,265323.0,350251.0,435223.0,519190.0,602858.0,687214.0,771726.0,855813.0,939543.0,1023225.0,1106547.0,1189713.0,1273597.0,1356943.0,1440397.0,1524209.0,1607891.0,1693628.0,1778459.0,1862560.0,1946033.0,2030461.0,2114494.0,2197726.0,2280828.0,2364095.0,2447343.0,2531245.0,2614704.0,2697909.0,2781220.0,2864683.0,2968135.0,3055162.0,3139081.0,3223302.0,3307044.0,3390830.0,3474727.0,3558275.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,231.0,84.0,brundle,6.0,11.0,+1 Lap,94928.0,180820.0,265868.0,350775.0,435807.0,521081.0,605221.0,689578.0,773660.0,857536.0,941531.0,1025674.0,1109375.0,1193230.0,1277165.0,1360842.0,1444554.0,1527752.0,1611357.0,1695907.0,1779724.0,1863599.0,1947191.0,2031074.0,2133480.0,2220409.0,2303486.0,2387287.0,2471548.0,2554810.0,2638253.0,2721472.0,2805176.0,2889043.0,2972461.0,3056212.0,3140266.0,3224716.0,3308613.0,3392501.0,3476204.0,3559416.0,3645115.0,3728650.0,3831695.0,3953520.0,4040028.0,4123391.0,4208233.0,4291910.0,4376052.0,4459684.0,4543437.0,4626769.0,4710268.0,4794197.0,4878132.0,4962034.0,5045656.0,5129390.0,5212523.0,5296447.0,5380467.0,5464120.0,5547451.0,5630446.0,5713976.0,5796934.0,
7,231.0,49.0,frentzen,18.0,6.0,Gearbox,95662.0,181484.0,267418.0,352159.0,437657.0,523053.0,607872.0,693674.0,779084.0,863749.0,948791.0,1033832.0,1118409.0,1203016.0,1287654.0,1372062.0,1456205.0,1540287.0,1624487.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,231.0,22.0,barrichello,16.0,8.0,Clutch,96165.0,181827.0,268325.0,352865.0,437299.0,521661.0,607026.0,692767.0,777379.0,861876.0,946428.0,1030250.0,1114003.0,1198846.0,1282511.0,1365679.0,1448895.0,1531923.0,1615006.0,1698660.0,1802456.0,1935456.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,231.0,14.0,coulthard,4.0,1.0,Finished,96893.0,182696.0,268793.0,354186.0,438982.0,523873.0,608758.0,693978.0,779476.0,864443.0,949350.0,1034341.0,1119128.0,1203578.0,1288095.0,1372481.0,1456710.0,1540836.0,1624953.0,1710313.0,1794074.0,1877458.0,1961040.0,2044880.0,2128649.0,2213404.0,2296867.0,2380314.0,2463861.0,2547633.0,2630949.0,2714441.0,2798329.0,2881453.0,2965054.0,3048793.0,3133139.0,3216625.0,3299657.0,3383200.0,3486069.0,3572917.0,3657332.0,3741251.0,3824790.0,3908168.0,3992031.0,4075863.0,4159406.0,4242839.0,4326545.0,4410199.0,4493526.0,4576958.0,4660798.0,4744622.0,4828428.0,4912289.0,4995868.0,5079070.0,5162324.0,5245337.0,5328300.0,5411260.0,5494417.0,5577810.0,5660957.0,5744197.0,5827138.0
