,raceId,driverId,driverRef,constructorId,positionOrder,statusId,status,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
5,965,18,button,1,9,11,+1 Lap,112960,219978.0,326384.0,432514.0,538959.0,645217.0,751216.0,857463.0,963901.0,1071130.0,1196143.0,1302583.0,1408756.0,1514634.0,1620674.0,1726441.0,1832221.0,1938002.0,2043516.0,2149026.0,2254946.0,2360740.0,2466497.0,2572127.0,2677271.0,2782956.0,2888917.0,2994915.0,3121479.0,3242026.0,3380977.0,3502734.0,3607248.0,3711998.0,3816654.0,3921201.0,4025669.0,4130325.0,4234966.0,4339717.0,4444512.0,4549435.0,4655814.0,4760382.0,4864911.0,4969960.0,5074494.0,5180401.0,5285231.0,5389919.0,5496281.0,5601319.0,5705918.0,5810562.0,5915617.0,
14,965,826,kvyat,5,11,11,+1 Lap,113989,221209.0,328452.0,434774.0,542568.0,650382.0,757440.0,864748.0,971968.0,1079190.0,1186402.0,1293899.0,1401211.0,1507621.0,1613721.0,1720330.0,1828184.0,1935101.0,2042241.0,2150155.0,2259623.0,2398582.0,2503344.0,2608262.0,2713760.0,2819660.0,2927396.0,3033348.0,3139077.0,3264458.0,3401964.0,3519096.0,3623975.0,3730064.0,3834988.0,3939762.0,4044861.0,4151658.0,4256903.0,4363101.0,4468312.0,4573833.0,4678918.0,4784122.0,4891626.0,4998154.0,5103574.0,5208304.0,5314200.0,5419442.0,5524886.0,5629864.0,5736872.0,5842293.0,5947442.0,
15,965,828,ericsson,15,14,11,+1 Lap,114791,221903.0,329946.0,436416.0,543944.0,651235.0,758339.0,865553.0,972692.0,1079927.0,1187052.0,1295769.0,1403582.0,1510992.0,1618000.0,1725293.0,1835096.0,1961926.0,2067066.0,2172911.0,2278976.0,2384782.0,2490420.0,2596572.0,2703362.0,2810116.0,2915990.0,3023684.0,3130096.0,3253083.0,3390143.0,3511135.0,3616776.0,3722062.0,3828087.0,3935005.0,4041000.0,4146855.0,4254626.0,4360144.0,4466389.0,4572262.0,4677974.0,4783356.0,4890294.0,4997582.0,5105286.0,5211337.0,5317213.0,5423430.0,5531010.0,5637857.0,5745721.0,5852336.0,5958588.0,
19,965,835,jolyon_palmer,4,13,11,+1 Lap,115475,225171.0,332917.0,439758.0,546886.0,654098.0,761784.0,868897.0,976394.0,1083923.0,1191261.0,1299423.0,1407848.0,1517333.0,1626214.0,1750885.0,1856051.0,1960775.0,2065648.0,2171049.0,2276499.0,2381848.0,2487349.0,2592473.0,2697738.0,2803814.0,2930182.0,3035422.0,3141197.0,3267705.0,3406173.0,3522827.0,3627771.0,3732904.0,3838469.0,3945301.0,4054301.0,4159625.0,4264845.0,4369868.0,4475241.0,4582503.0,4688463.0,4794101.0,4899641.0,5005323.0,5110697.0,5216660.0,5321717.0,5426706.0,5532260.0,5638424.0,5743906.0,5848932.0,5953772.0,
7,965,154,grosjean,210,10,11,+1 Lap,115601,222475.0,329120.0,435522.0,541692.0,648050.0,754101.0,860059.0,966130.0,1073023.0,1199037.0,1303985.0,1410678.0,1516404.0,1622101.0,1728031.0,1834777.0,1940481.0,2046142.0,2151981.0,2258781.0,2364393.0,2469883.0,2575832.0,2681940.0,2788164.0,2895355.0,3022590.0,3127378.0,3249653.0,3387320.0,3508249.0,3612968.0,3717365.0,3821700.0,3926369.0,4030864.0,4135371.0,4240271.0,4345019.0,4451712.0,4556636.0,4661813.0,4766433.0,4873292.0,4978105.0,5084598.0,5189441.0,5294053.0,5398730.0,5503176.0,5607978.0,5713036.0,5818112.0,5923518.0,
13,965,825,kevin_magnussen,4,12,11,+1 Lap,115986,224183.0,331786.0,438751.0,545964.0,653053.0,760381.0,867637.0,974871.0,1082459.0,1189937.0,1297915.0,1406968.0,1531470.0,1637279.0,1742867.0,1848456.0,1953954.0,2059708.0,2165721.0,2272303.0,2379112.0,2485241.0,2590767.0,2696575.0,2802552.0,2908921.0,3034395.0,3140346.0,3266669.0,3404155.0,3521334.0,3627042.0,3731896.0,3836576.0,3941627.0,4048179.0,4153362.0,4259584.0,4364588.0,4469850.0,4575214.0,4680812.0,4802401.0,4904876.0,5007969.0,5111294.0,5214802.0,5318786.0,5423658.0,5527190.0,5630734.0,5734827.0,5839437.0,5943131.0,
9,965,815,perez,10,8,11,+1 Lap,116976,224767.0,330541.0,436821.0,543277.0,649332.0,755956.0,861450.0,967367.0,1073962.0,1197725.0,1303051.0,1409863.0,1515460.0,1621417.0,1727353.0,1833375.0,1939168.0,2044607.0,2150636.0,2257107.0,2362731.0,2468171.0,2573748.0,2678988.0,2784421.0,2890312.0,3013814.0,3117934.0,3238229.0,3374084.0,3498059.0,3601984.0,3705970.0,3810238.0,3914314.0,4018545.0,4122895.0,4227383.0,4331670.0,4436334.0,4541175.0,4645758.0,4750769.0,4855585.0,4960270.0,5065156.0,5172343.0,5277722.0,5382413.0,5488963.0,5594101.0,5699369.0,5804857.0,5913660.0,
21,965,839,ocon,209,18,12,+2 Laps,117282,226215.0,335529.0,444974.0,552557.0,661256.0,769528.0,878893.0,988188.0,1097056.0,1205152.0,1313069.0,1421476.0,1530497.0,1639835.0,1748384.0,1857542.0,1983689.0,2088867.0,2195105.0,2301298.0,2409192.0,2515466.0,2624979.0,2733845.0,2842286.0,2973432.0,3080388.0,3191168.0,3328488.0,3464440.0,3571233.0,3677129.0,3782773.0,3888225.0,3993685.0,4099472.0,4208956.0,4316645.0,4422858.0,4529462.0,4636074.0,4742787.0,4849933.0,4975219.0,5078804.0,5183162.0,5287501.0,5393833.0,5498469.0,5602972.0,5707440.0,5811823.0,5916495.0,,
17,965,831,nasr,15,15,11,+1 Lap,117537,227487.0,336293.0,445400.0,553296.0,661915.0,770219.0,877854.0,986135.0,1094358.0,1202360.0,1309483.0,1416920.0,1523539.0,1630081.0,1736732.0,1843286.0,1950270.0,2056819.0,2163834.0,2271464.0,2378599.0,2486826.0,2595483.0,2702927.0,2812019.0,2919329.0,3027063.0,3137157.0,3291020.0,3427369.0,3539507.0,3643852.0,3749406.0,3854721.0,3961519.0,4068518.0,4174616.0,4280689.0,4386991.0,4493848.0,4599979.0,4705833.0,4813259.0,4919827.0,5026621.0,5132777.0,5237945.0,5343694.0,5449274.0,5555561.0,5661507.0,5766901.0,5871245.0,5975362.0,
20,965,836,wehrlein,209,17,11,+1 Lap,117898,226697.0,335801.0,444057.0,550678.0,657782.0,764882.0,871926.0,979397.0,1086678.0,1194381.0,1302111.0,1412941.0,1541812.0,1647478.0,1753843.0,1859847.0,1966131.0,2072121.0,2178534.0,2285060.0,2391394.0,2497452.0,2603817.0,2709952.0,2816483.0,2923214.0,3031857.0,3138661.0,3266910.0,3422987.0,3538216.0,3645291.0,3751108.0,3857928.0,3963379.0,4069179.0,4175764.0,4282368.0,4388749.0,4496160.0,4602463.0,4708643.0,4815061.0,4921440.0,5028119.0,5134437.0,5240067.0,5345919.0,5451725.0,5557760.0,5664322.0,5771328.0,5878666.0,5986822.0,
8,965,807,hulkenberg,10,22,4,Collision,143182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
